Name of the station,Year,srcStateName,StateCode,StateName,IntermediateRatio
"GAWKADAL, SRG *(SHERGHARI, SRG),J&K",2013,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"SANKH AT BOLBA,",2019,JHARKHAND,20,JHARKHAND,1
KRISHNA AT D/S DEVASAGAR BDG.,2012,KARNATAKA,29,KARNATAKA,1
"RIVER NARMADA NEAR PUNASA DAM, PUNASA",2018,MADHYA PRADESH,23,MADHYA PRADESH,1
SERUA AT CUTTACK FD/s (SERUA) AT SANKHATRASA,2019,ODISHA,21,ODISHA,1
WARDHA RIVER D/S OF ACC GHUGGUS.,2013,MAHARASHTRA,27,MAHARASHTRA,1
CHANDRABHAGA U/S OF PANDHARPUR TOWN,2017,MAHARASHTRA,27,MAHARASHTRA,1
"GODAVARI AT BURGAMPAHAD, KHAMMAM, A.P",2018,TELANGANA,36,TELANGANA,1
DHELA RIVER DS AT THAKURDWARA ALIGANJ ROAD,2018,UTTARAKHAND,5,UTTARAKHAND,1
DAMSITE AT THEIN,2019,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"BHOGDOI RIVER (PUJADUBI GHAT) INTAKE POINT OF URBAN WATER SUPPLY, JORHAT",2017,ASSAM,18,ASSAM,1
"TUNGHA AT D/S OF SHIMOGA TOWN, KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
"TALCHER FU/S (INTAKE WELL OF MCL, TALCHER)",2014,ODISHA,21,ODISHA,1
"GAWKADAL, SRG *(SHERGHARI, SRG),J&K",2014,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
U/S HARBORA BEFORE SUGAR MILL NEAR ROAD BRIDGE NARKATIGANJ,2016,BIHAR,10,BIHAR,1
SWARG ASHRAM1,2019,UTTARAKHAND,5,UTTARAKHAND,1
KSHIPRA AT TRIVENISANGAM (1 KM. D/S OF SANGAM),2012,MADHYA PRADESH,23,MADHYA PRADESH,1
GANGUA AT PALASUNI,2017,ODISHA,21,ODISHA,1
"GHAGHARA AT DEORIA D/S, U.P.",2018,UTTAR PRADESH,9,UTTAR PRADESH,1
BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,2017,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
BANGANGA (IN FRONT OF PONY SHED NEAR REASI BRIDGE)KATRA,2017,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"BOGINADI NEAR BRIDGE NH52, LAKHIMPUR",2016,ASSAM,18,ASSAM,1
