Station code,Name of the station,srcYear,srcStateName,Minimum temperature for river water,Maximum temperature for river water,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in river water,Maximum potential of Hydrogen value in river water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum of Nitrate N + Nitrite N required for river water,Maximum of Nitrate N + Nitrite N required for river water,Minimum of Faecal Coliforms required for river water,Maximum  of Faecal Coliforms required for river water,Minimum coliform required for river water,Maximum coliform required for river water,YearCode,Year
1262,BRAHAMPUTRA AT NIMATIGHAT,2012,ASSAM,17,28,5.4,7.7,6.7,7.8,85,210,0.6,2.5,0.1,2.1,0,910,300,2300,2012,"Calendar Year (Jan - Dec), 2012"
1526,BRAHMPUTRA AT DHENUKHAPAHAR,2012,ASSAM,18,27,7.9,8.7,6.8,7.7,79,253,0.4,3.6,0.1,0.22,0,360,0,2000,2012,"Calendar Year (Jan - Dec), 2012"
1031,BRAHAMPUTRA AT PANDU,2012,ASSAM,20,31,5.5,8.8,6.6,7.8,95,224,0.9,2.1,0.1,0.21,0,360,700,2000,2012,"Calendar Year (Jan - Dec), 2012"
1299,BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE,2012,ASSAM,18,30,5.6,6.9,7.1,8.1,85,234,0.8,2,0.1,0.3,0,0,720,1500,2012,"Calendar Year (Jan - Dec), 2012"
2069,"BRAHMPUTRA NR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI",2012,ASSAM,18,30,6.7,8.2,7,8,101,205,1.3,2.8,0.16,0.46,0,360,700,1400,2012,"Calendar Year (Jan - Dec), 2012"
2064,"BRAHMAPUTRA AT CHANDRAPUR, GUWAHATI",2012,ASSAM,20,32,5.5,8,7,7.7,73,359,0.8,1,0.1,0.31,0,0,300,700,2012,"Calendar Year (Jan - Dec), 2012"
2067,"BRAHMPUTRA AT SUALKUCHI, DIST. KAMRUP",2012,ASSAM,22,30,6.6,8.5,6.9,7.3,101,210,0.5,0.9,0.1,0.14,0,0,720,910,2012,"Calendar Year (Jan - Dec), 2012"
2066,BRAHMAPUTRA AT DHUBRI,2012,ASSAM,20,31,6.5,7.2,7.2,7.6,67,198,0.7,2.6,0.1,0.22,0,360,360,1100,2012,"Calendar Year (Jan - Dec), 2012"
1796,DHANSIRI AT FULL NAGARJAN,2012,NAGALAND,19,32,2.3,5,5.5,8.5,113,229,0.8,10,0,5.6,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1799,DHANSIRI AT TOWN BOUNDARY BDG (DIPHU RD),2012,NAGALAND,15,33,2.2,4.4,6.6,8.2,184,203,0.4,9,0,5.6,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1797,"DHANSIRI AT BRIDGE NEAR PURANA BAZAAR,",2012,NAGALAND,18,32,2.1,4.2,6.4,8.2,138,324,2.8,11,0,5.6,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1800,DHANSIRI AT NUTON BASTI,2012,NAGALAND,15,31,0.3,0.4,6.2,7.6,170,270,2.8,22,0,5,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1798,DHANSIRI NEAR CHECK GATE (DIMAPUR KHUTKHUTI ROAD),2012,NAGALAND,19,33,2.3,5.5,6.5,8.6,114,298,1.2,11,0,5.6,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1259,DHANSIRI AT GOLAGHAT,2012,ASSAM,24,34,4.4,10.5,6.8,7.3,89,213,0.8,3.2,0,0.23,0,0,300,2000,2012,"Calendar Year (Jan - Dec), 2012"
1928,"DHANSIRI AT NAGALAND-ASSAM BORDER, DIMAPUR",2012,NAGALAND,20,32,2,4,6.4,7.9,123,398,0.8,16,0,5.6,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1930,DZU D/S KOHIMA TOWN,2012,NAGALAND,10,25,3.9,5,7.4,9,263,490,1.2,10,0,2.3,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1929,"CHATHE AT MEDZIPHEMA, DIMAPUR",2012,NAGALAND,19,31,2.3,4.4,6.8,9.1,79,122,0.4,9,0,2.3,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1261,SUBANSIRI AT GEREKAMUKH (B/C WITH BRAH.),2012,ASSAM,18,22,8.9,9.5,6.2,7.1,46,98,0.5,1.5,0,0.25,0,0,0,720,2012,"Calendar Year (Jan - Dec), 2012"
2061,KHARSANG B/C/ WITH BURIDIHING NEAR KHARSANG (ASSAM-ARUNANCHAL BORDER),2012,ASSAM,16,25,4.2,8,6.4,7.4,111,228,1.3,3.1,0.17,0.6,0,0,0,730,2012,"Calendar Year (Jan - Dec), 2012"
1422,BURHIDIHING AT MARGHERITA,2012,ASSAM,19,26,5.6,7.2,6.7,7.7,114,262,1.7,3.6,0.12,0.23,0,0,300,910,2012,"Calendar Year (Jan - Dec), 2012"
2062,"BURIDIHING NEAR DULIAJAN AT D/S, TINSUKIA",2012,ASSAM,20,27,5.4,6.7,6.9,7.7,89,263,1.2,5.5,0.1,0.16,0,700,730,1500,2012,"Calendar Year (Jan - Dec), 2012"
2230,BURHIDIHING AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.),2012,ASSAM,20,27,6.1,6.9,6.7,7.7,88,263,0.5,4.2,0.1,0.15,0,0,0,2100,2012,"Calendar Year (Jan - Dec), 2012"
2065,"PAGLDIA NEAR NALBARI TOWN, DIST. NALBARI",2012,ASSAM,22,30,5.5,8.6,7,7.8,190,245,1.2,3.6,0.1,0.11,0,300,300,910,2012,"Calendar Year (Jan - Dec), 2012"
1530,"DIGBOI RIVER AT LAKHIPATHE, RESERVE FOREST, DIGBOI",2012,ASSAM,18,27,6.4,9.8,6.6,7.1,94,331,1.5,6.5,0.17,0.22,0,0,360,730,2012,"Calendar Year (Jan - Dec), 2012"
2063,"JAI BHARALI NR BISWANATH CHARALI, SONITPUR",2012,ASSAM,19,25,8.2,9.1,6.7,7.3,52,94,0.9,2.1,0.1,0.28,0,0,0,730,2012,"Calendar Year (Jan - Dec), 2012"
2237,"KALONG RIVER AT U/S OF ANANDARAM DEKIAL PHUKAN BRIDGE, NAGAON",2012,ASSAM,18,29,6.5,7.1,6.5,7.4,128,239,0.9,4.3,0.1,0.19,0,300,730,3500,2012,"Calendar Year (Jan - Dec), 2012"
2059,KOLONG RIVER AT MARIGAON,2012,ASSAM,22,35,6.4,7.5,6.5,8.6,66,116,1.2,2,0.1,0.2,0,730,300,1500,2012,"Calendar Year (Jan - Dec), 2012"
2060,"MANAS RIVER AT NH-31 CROSSING, BARPETA",2012,ASSAM,17,29,6.4,6.8,7.1,8.2,156,449,0.9,2.7,0.16,0.3,0,0,0,910,2012,"Calendar Year (Jan - Dec), 2012"
2058,"DISANG RIVER AT DILLIGHAT, DIBRUGARH",2012,ASSAM,17,28,3.9,7.8,6,7,87,193,1.1,2.7,0.1,0.52,0,300,300,2100,2012,"Calendar Year (Jan - Dec), 2012"
1298,DISANG AT GUNDAMGHAT,2012,ASSAM,20,26,4.4,7.6,6.2,7.7,44,196,1.2,2.7,0.14,0.25,0,0,300,720,2012,"Calendar Year (Jan - Dec), 2012"
1258,JHANJI AT N.H. CROSSING JORHAT,2012,ASSAM,19,28,5,6.8,7,7.4,50,164,1,2.3,0.1,0.14,0,360,360,2000,2012,"Calendar Year (Jan - Dec), 2012"
1527,BHOGDOI RIVER AT JORHAT,2012,ASSAM,18,29,4.8,5.9,6.9,7.5,54,199,0.9,3.3,0.1,0.21,0,720,910,1500,2012,"Calendar Year (Jan - Dec), 2012"
1531,MORA BHARALI AT TEZPUR,2012,ASSAM,19,26,6.6,7.3,6.7,7.5,99,236,1.4,3.2,0.15,0.52,0,0,700,2000,2012,"Calendar Year (Jan - Dec), 2012"
1423,BORAK AT PANCHAGRAM,2012,ASSAM,9,20,6.7,7.2,6.9,7,51,168,1.4,3,0.11,0.46,0,300,0,1500,2012,"Calendar Year (Jan - Dec), 2012"
1528,BHARALU RIVER AT GUWAHATI,2012,ASSAM,20,27,0,0.5,6.8,7.2,568,799,15,50,0.25,2.36,910,1500,2300,9300,2012,"Calendar Year (Jan - Dec), 2012"
1529,DEEPAR BILL,2012,ASSAM,22,29,2.2,7.9,6.7,7.2,134,211,2.2,4.4,0.1,0.21,0,360,300,1100,2012,"Calendar Year (Jan - Dec), 2012"
2068,"U/S OF KATHAKAL AT MATIJURI, HAILAKANDI",2012,ASSAM,10,18,6.3,7.1,6.7,7.3,71,180,1.5,3.1,0.15,0.58,0,300,0,730,2012,"Calendar Year (Jan - Dec), 2012"
1232,MAHI D/S CONF WITH R. CHAP (UNDER SAGWARA-SARHI RD. BDG.),2012,RAJASTHAN,23,32,4.4,6.7,7.4,8.6,280,900,0.5,2.7,0.14,1.14,3,7,4,20,2012,"Calendar Year (Jan - Dec), 2012"
1864,MAHI AT MUJPUR,2012,GUJARAT,26,26,7.8,7.8,8.5,8.5,1276,1276,1.8,1.8,0.16,0.16,21,21,40,40,2012,"Calendar Year (Jan - Dec), 2012"
4,MAHI AT SEVALIA,2012,GUJARAT,25,28,6.8,20,7.9,8.6,192,472,0.3,6,0,0.14,1,4,4,20,2012,"Calendar Year (Jan - Dec), 2012"
1233,MAHI AT BADNAWAR,2012,MADHYA PRADESH,24,24,8,8,7.6,7.6,400,400,1.6,1.6,0.89,0.89,1,1,210,210,2012,"Calendar Year (Jan - Dec), 2012"
4,"MAHI AT SEVALIA, GUJARAT",2013,GUJARAT,25,28,7.1,9,8.1,8.3,270,384,2.2,3.1,0.14,2.66,2,4,11,15,2013,"Calendar Year (Jan - Dec), 2013"
2102,"RIVER SHIVNA AT RAMGHAT, MANDSAUR",2012,MADHYA PRADESH,26,30,6.7,7.8,7.3,8.2,410,843,1.6,3.2,0,2.4,,,,,2012,"Calendar Year (Jan - Dec), 2012"
2103,"RIVER JAMMER AT DHOLOWAD, RATLAM",2012,MADHYA PRADESH,24,32,7,7.8,7,8.5,264,440,1,1.8,0,1.01,,,,,2012,"Calendar Year (Jan - Dec), 2012"
2104,RIVER MALEI AT JAORA,2012,MADHYA PRADESH,25,28,6,7.6,7.2,8.4,180,1100,1,4.2,0.14,1.42,,,,,2012,"Calendar Year (Jan - Dec), 2012"
2105,RIVER CHILLAR AT SHAJAPUR,2012,MADHYA PRADESH,23,32,6.8,7.8,7.4,8.2,223,551,1,3,0.14,1.92,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1407,"SABARMATI AT GANDHI NAGAR CHILODA BRIDGE,LEKAWADA",2012,GUJARAT,26,28,7.6,8.3,8.1,8.3,356,845,3,7,,,140,1500,390,4300,2012,"Calendar Year (Jan - Dec), 2012"
1482,"SABARMATI AT MAHUDI JAIN TEMPLE, 150 KM. FORM ORIGIN",2012,GUJARAT,26,30,2.5,8.7,8,8.5,340,566,1,2,0.2,0.99,23,64,120,210,2012,"Calendar Year (Jan - Dec), 2012"
1222,SHEDHI AT KHEDA,2012,GUJARAT,26,31,1.2,8.3,7.4,8.6,668,3500,0.7,26,0,0.42,1,90,12,170,2012,"Calendar Year (Jan - Dec), 2012"
1241,NARMADA AT MANDLA NEAR ROAD BDG,2012,MADHYA PRADESH,19,29,6.8,7.7,7.2,7.6,255,441,1.1,7.8,0,1.1,4,4,7,210,2012,"Calendar Year (Jan - Dec), 2012"
44,NARMADA AT SETHANIGHAT,2012,MADHYA PRADESH,21,32,5.3,11.2,7.3,8.6,170,2130,0.8,3.3,0.42,2.75,0,8,11,1600,2012,"Calendar Year (Jan - Dec), 2012"
1240,NARMADA AT NARSINGHPUR,2012,MADHYA PRADESH,15,26,6.7,8.2,7.2,7.8,1,613,1.1,2.4,0.15,0.83,,,11,460,2012,"Calendar Year (Jan - Dec), 2012"
1234,NARMADA AT HOSHANGABAD U S,2012,MADHYA PRADESH,21,32,5.6,10.5,7.6,8.7,160,460,0.9,4.5,0.35,2.67,0,44,8,1600,2012,"Calendar Year (Jan - Dec), 2012"
2123,NARMADA AT KORIGHAT HOSHANGABAD,2012,MADHYA PRADESH,21,32,5.9,10.7,6.2,8.6,149,840,0.8,4.2,0.1,2.36,0,6,8,1600,2012,"Calendar Year (Jan - Dec), 2012"
1235,NARMADA AT HOSHANGABAD D S,2012,MADHYA PRADESH,21,27,5.8,13,7.8,8.7,150,410,0.8,4.2,0.37,2.86,0,7,11,1600,2012,"Calendar Year (Jan - Dec), 2012"
2106,RIVER NARMADA AT NEMAWAR,2012,MADHYA PRADESH,19,28,2.2,7.9,7.3,8.2,160,680,0.9,2.2,0,2.68,,,,,2012,"Calendar Year (Jan - Dec), 2012"
45,NARMADA AT MANDLESHWAR,2012,MADHYA PRADESH,23,23,8.2,8.2,7.7,7.7,284,284,1.6,1.6,1.15,1.15,1,1,110,110,2012,"Calendar Year (Jan - Dec), 2012"
1239,NARMADA AT BADWANI,2012,MADHYA PRADESH,23,28,8.1,8.4,7.6,7.8,304,324,1.3,2,0.18,1.29,1,1,170,220,2012,"Calendar Year (Jan - Dec), 2012"
1430,NARMADA AT D S OMKARESHWAR,2012,MADHYA PRADESH,23,23,7.8,8.1,7.4,7.9,247,330,0.9,1.5,0.44,2.26,1,1,120,220,2012,"Calendar Year (Jan - Dec), 2012"
1431,NARMADA AT MAHESHWAR,2012,MADHYA PRADESH,23,27,7.6,8.2,7.7,8.1,284,364,1.1,1.6,0.19,0.76,1,1,150,210,2012,"Calendar Year (Jan - Dec), 2012"
2099,"NARMADA LALPUR, JABALPUR",2012,MADHYA PRADESH,19,25,6.8,7.9,7.1,7.9,261,486,0.8,2.7,0.05,2.8,0,0,9,75,2012,"Calendar Year (Jan - Dec), 2012"
2112,"RIVER NARMADA NEAR MORTAKKA BRIDGE, BADWAH",2012,MADHYA PRADESH,22,27,7.8,8.2,7.1,7.6,301,319,0.7,1.3,0.21,0.36,1,1,70,170,2012,"Calendar Year (Jan - Dec), 2012"
2113,"RIVER NARMADA NEAR PUNASA DAM, PUNASA",2012,MADHYA PRADESH,23,28,7.6,8,7.5,7.8,308,346,1.1,1.1,0.43,0.74,1,1,120,140,2012,"Calendar Year (Jan - Dec), 2012"
3322,"NARMADA AT MANDLA, NEAR SHAMSHANGHAT, JABALPUR",2012,MADHYA PRADESH,19,29,6.8,7.6,7.2,7.7,284,455,0.9,2,0,1.5,4,4,17,240,2012,"Calendar Year (Jan - Dec), 2012"
3323,"NARMADA AT LALPUR, NR WATER SUPPLY INTAKE POINT, JABALPUR",2012,MADHYA PRADESH,23,28,6.8,7.8,7.2,7.8,310,412,1.6,2.8,0.16,0.82,,,7,120,2012,"Calendar Year (Jan - Dec), 2012"
3324,"NARMADA AT PANCHWATIGHAT, BEFORE MIXING WITH BAWANGANGA , JABALPUR",2012,MADHYA PRADESH,20,28,6.8,7.6,7.3,7.9,312,570,1.4,2.7,0,1.31,,,17,120,2012,"Calendar Year (Jan - Dec), 2012"
3325,"NARMADA AT SARSWATIGHAT, AFTER MIXING WITH BAWANGANGA, JABALPUR",2012,MADHYA PRADESH,20,28,6.6,7.8,7.2,7.9,324,592,1.6,7.9,0,1.34,,,12,120,2012,"Calendar Year (Jan - Dec), 2012"
7,NARMADA AT GARUDESHWAR,2012,GUJARAT,22,32,5.5,10.2,7.9,8.5,214,709,0.6,5,0.02,1.07,2,1300,8,1300,2012,"Calendar Year (Jan - Dec), 2012"
1243,"NARMADA AT BHARUCH, ZADESHVAR",2012,GUJARAT,28,30,6.6,9,8,8.7,297,1142,0.1,6,0,0.86,2,5000,40,9000,2012,"Calendar Year (Jan - Dec), 2012"
1244,NARMADA AT PANETHA,2012,GUJARAT,24,32,2.8,9,7.4,8.4,246,806,0.3,5,0.11,0.81,1,1300,9,1700,2012,"Calendar Year (Jan - Dec), 2012"
1245,NARMADA AT CHANDOD,2012,GUJARAT,23,26,7.2,8,8.3,8.8,267,290,0.8,2.2,0.05,0.17,1,8,2,28,2012,"Calendar Year (Jan - Dec), 2012"
1981,"NARMADA AT ZANOR (NTPC), BHARUCH",2012,GUJARAT,30,30,8,8,8.3,8.3,279,279,1.1,1.1,0.39,0.39,14,14,140,140,2012,"Calendar Year (Jan - Dec), 2012"
1236,CHOTA TAWA BEFORE CONFL. WITH RIVER NARMADA,2012,MADHYA PRADESH,24,28,5.5,7.9,7,7.6,0,394,1.4,3,0.87,1.29,1,1,84,300,2012,"Calendar Year (Jan - Dec), 2012"
2100,"GOUR RIVER BHOGA DOOR, JABALPUR",2012,MADHYA PRADESH,18,26,6.6,7.9,7.2,8.1,285,648,1.2,2.8,0,1.94,,,4,460,2012,"Calendar Year (Jan - Dec), 2012"
2101,KATNI RIVER NEAR NAGAR NIGAM,2012,MADHYA PRADESH,20,25,6.8,7.8,7.4,8.3,350,739,1.4,2.6,0.03,1.44,,,11,460,2012,"Calendar Year (Jan - Dec), 2012"
2114,KUNDA AT KHARGONE,2012,MADHYA PRADESH,23,23,6.4,6.4,7.7,7.7,946,946,4.2,4.2,7.25,7.25,1,1,920,920,2012,"Calendar Year (Jan - Dec), 2012"
3305,"BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT, JABALPUR",2012,MADHYA PRADESH,21,24,6.8,7.8,7.2,7.6,353,430,1.6,3.6,0.16,1.64,,,17,120,2012,"Calendar Year (Jan - Dec), 2012"
1313,TAPI AT AJNAND VILLAGE,2012,MAHARASHTRA,30,43,3.7,6.5,7.2,8.8,159,1000,3,18,0,38.8,11,26,33,80,2012,"Calendar Year (Jan - Dec), 2012"
1251,TAPI AT BHUSAWAL US,2012,MAHARASHTRA,30,43,4.4,6.5,7,8.6,197,936,3.5,9,0,37.75,11,30,26,90,2012,"Calendar Year (Jan - Dec), 2012"
1314,TAPI AT UPHAD VILLAGE,2012,MAHARASHTRA,21,28,3.3,6.7,7.1,8.8,163,1150,3,10,0.1,38,11,50,26,140,2012,"Calendar Year (Jan - Dec), 2012"
9,TAPI AT NEPANAGAR,2012,MADHYA PRADESH,20,29,7.3,7.7,7.6,8.3,462,540,0.8,1.2,0.5,0.69,1,1,70,1600,2012,"Calendar Year (Jan - Dec), 2012"
10,TAPI AT BURHANPUR,2012,MADHYA PRADESH,22,29,6.8,7.7,7.6,8.3,694,735,1.5,3.8,0.1,2.05,1,3,280,1600,2012,"Calendar Year (Jan - Dec), 2012"
1250,TAPI AT HATHNUR,2012,MADHYA PRADESH,21,29,7.2,7.2,7.5,7.8,570,744,1,1.8,0.66,1.23,1,3,150,350,2012,"Calendar Year (Jan - Dec), 2012"
2115,RIVER TAPTI AT NEPA NAGAR 100 METRE D/S AFTER MIXING PANDHAR NALLA,2012,MADHYA PRADESH,20,25,6.8,7.1,7.5,8.3,554,560,1.8,2.1,0.63,0.89,1,1,150,430,2012,"Calendar Year (Jan - Dec), 2012"
1253,GIRNA AT MALEGAON (MANMAD),2012,MAHARASHTRA,27,27,4.8,4.8,7.5,7.7,192,291,5,7,4.04,5.66,17,17,60,70,2012,"Calendar Year (Jan - Dec), 2012"
1252,GIRNA AT JALGAON,2012,MAHARASHTRA,28,43,3.9,6.8,6.6,8.8,154,5900,2,6,0,38.75,11,50,30,140,2012,"Calendar Year (Jan - Dec), 2012"
1907,RANGAVALI D/S OF NAVAPUR,2012,MAHARASHTRA,21,26,4.6,6.4,7.2,8.8,246,876,3,12,0,16.3,11,27,33,110,2012,"Calendar Year (Jan - Dec), 2012"
2127,"DENWA NEAR SARNI, RD BDG",2012,MADHYA PRADESH,23,30,3.7,9.8,7.7,8.3,243,835,0.8,18,0.15,3.65,0,9,11,1600,2012,"Calendar Year (Jan - Dec), 2012"
2155,"PURNA RIVER A/C OF MORNA, NANDURA VILLAGE",2012,MAHARASHTRA,20,22,3,7,8,9,1,1215,4,26,0,5,80,500,240,900,2012,"Calendar Year (Jan - Dec), 2012"
2652,"AMRAVATI RIVER D/S OF DONDAICHA, DHULE",2012,MAHARASHTRA,19,27,4,6.5,7.3,8.7,200,1578,3.5,14,0.1,23.25,13,33,34,140,2012,"Calendar Year (Jan - Dec), 2012"
2658,"BORI D/S OF AMALNER, JALGAON",2012,MAHARASHTRA,31,41,6.2,6.5,7.2,8.8,678,890,3,4.2,0,15.9,17,26,50,70,2012,"Calendar Year (Jan - Dec), 2012"
2659,"BURAI RIVER BEFORE CONFLUECE TO TAPI RIVER, MUKUDAS, DHULE",2012,MAHARASHTRA,20,24,2.4,6.9,7.1,8.2,183,357,3,9,1.2,6.2,11,22,40,90,2012,"Calendar Year (Jan - Dec), 2012"
2666,"GOMAI RIVER, D/S. OF SHAHADA, DHULE.",2012,MAHARASHTRA,18,28,2.9,6.9,7.2,8.1,89,456,3,10,2.39,9.88,11,21,22,90,2012,"Calendar Year (Jan - Dec), 2012"
2667,"HIWARA RIVER, D/S OF PACHORA., JALGAON",2012,MAHARASHTRA,31,37,5.8,6.2,7.2,8,756,860,3.5,4,0,2.25,11,22,23,70,2012,"Calendar Year (Jan - Dec), 2012"
2674,"MOR RIVER, NEAR PADALSHE VILLAGE, JALGAON.",2012,MAHARASHTRA,31,37,6.3,6.5,7.2,8.8,700,853,3,4,0,0.24,11,22,30,70,2012,"Calendar Year (Jan - Dec), 2012"
2675,MORNA RIVER AT D/S OF RAILWAY BRIDGE AT AKOLA.,2012,MAHARASHTRA,22,22,1.3,5.2,7.7,8.6,602,1196,6.2,34,2.88,11.2,140,300,280,900,2012,"Calendar Year (Jan - Dec), 2012"
2684,"PANZARA RIVER, NEAR PANZARAKAN SSK LTD., DHULE.",2012,MAHARASHTRA,19,27,4.8,6.9,7.3,8.8,258,859,3,6,0.1,11.22,22,50,60,170,2012,"Calendar Year (Jan - Dec), 2012"
2695,"PEDHI RIVER NEAR ROAD BRIDGE AT DADHI-PEDHI VILLAGE, BHATKULI, AMRAVATI",2012,MAHARASHTRA,21,24,3.4,5.8,7.3,9.2,452,2302,6.2,14,3.57,8.2,80,300,240,900,2012,"Calendar Year (Jan - Dec), 2012"
2710,"TITUR RIVER, D/S OF CHALISGAON, JALGOAN.",2012,MAHARASHTRA,33,36,6.1,6.8,7.3,8.8,799,7700,3,4.5,0.102,19.9,11,50,34,100,2012,"Calendar Year (Jan - Dec), 2012"
2718,"WAGHUR RIVER, AT- SAKEGAON BEFORE, CONFLUENCE WITH TAPI RIVER, JALGAON.",2012,MAHARASHTRA,33,36,6.1,6.6,7.3,8.8,850,1000,3,4,0,2.36,9,22,27,60,2012,"Calendar Year (Jan - Dec), 2012"
1851,MAHANADI AT SIHAWA,2012,CHHATTISGARH,22,34,7.8,9.4,7.5,7.7,126,302,0.6,3.2,0.4,5.4,,,11,350,2012,"Calendar Year (Jan - Dec), 2012"
1264,MAHANADI AT RUDRI U/S AT DHAMTORI RESERVOIR,2012,CHHATTISGARH,23,33,7.6,8.6,7.3,7.9,190,497,1,3.5,1.3,4.9,,,14,900,2012,"Calendar Year (Jan - Dec), 2012"
1099,MAHANADI AT U/S OF RAJIM,2012,CHHATTISGARH,20,38,7.5,8.6,7.4,7.8,167,390,1.6,3.8,1.1,5.1,,,26,900,2012,"Calendar Year (Jan - Dec), 2012"
1852,"MAHANADI AT ARRANG, RAIPUR",2012,CHHATTISGARH,21,32,7.2,8.4,7.8,7.8,235,434,1.6,3.8,1.1,5.15,,,11,500,2012,"Calendar Year (Jan - Dec), 2012"
1100,MAHANADI AT KHARAD,2012,CHHATTISGARH,20,33,6,7.5,7.5,7.5,196,477,,,0.06,1.6,,,14,120,2012,"Calendar Year (Jan - Dec), 2012"
1282,MAHANADI AT SHEORINARAYAN,2012,CHHATTISGARH,20,30,5.6,6.5,7.5,7.5,312,470,,,1.24,2.36,,,20,28,2012,"Calendar Year (Jan - Dec), 2012"
1467,MAHANADI A/C WITH RIVER MAND,2012,CHHATTISGARH,20,32,6.3,7.8,7.5,7.5,203,333,,,0.05,1.7,,,15,126,2012,"Calendar Year (Jan - Dec), 2012"
1101,MAHANADI AT INTERSTATE BOUNDRY,2012,CHHATTISGARH,22,30,6.9,7.4,7.4,7.6,31,311,1,1,1.17,1.29,,,39,460,2012,"Calendar Year (Jan - Dec), 2012"
1281,MAHANADI AT HIRAKUD RSVR,2012,ORISSA,20,33,6.2,8.3,7.3,8.3,134,220,1,1.8,0.05,2,130,1500,310,2400,2012,"Calendar Year (Jan - Dec), 2012"
1270,MAHANADI AT SAMBALPUR U/S,2012,ORISSA,20,34,7.1,9.7,7.7,8.3,137,206,1.1,2.4,0.07,1.84,330,16000,700,16000,2012,"Calendar Year (Jan - Dec), 2012"
1271,MAHANADI AT SAMBALPUR D/S,2012,ORISSA,21,35,4,8.9,7.4,8.4,151,250,1.7,4.9,0.08,3.91,1300,200000,3500,200000,2012,"Calendar Year (Jan - Dec), 2012"
2405,SAMBHALPUR FDS AT HUMA,2012,ORISSA,22,32,6.1,8.9,6.9,8.4,144,212,1,3,0.04,2.92,580,17000,840,35000,2012,"Calendar Year (Jan - Dec), 2012"
1272,MAHANADI D/S (A/C R. SONG SONEPUR U/S),2012,ORISSA,22,36,7.1,9.6,0.2,8.3,136,237,0.9,2.3,0.12,2.12,130,2200,170,3500,2012,"Calendar Year (Jan - Dec), 2012"
1274,MAHANADI A/C WITH R.TEL (SONEPUR D/S),2012,ORISSA,22,36,5.5,9.6,7.6,8.4,187,252,1.4,2.6,0.07,1.22,140,2400,270,5400,2012,"Calendar Year (Jan - Dec), 2012"
1275,MAHANADI AT TIKARPADA,2012,ORISSA,22,32,7.3,9.6,6.9,8.4,127,206,1,1.8,0.04,1.49,170,2800,460,5400,2012,"Calendar Year (Jan - Dec), 2012"
1276,MAHANADI AT NARSINGHPUR,2012,ORISSA,22,34,6.3,9.4,7.7,8.4,145,285,0.5,1.9,0.1,1.52,490,4600,1100,9400,2012,"Calendar Year (Jan - Dec), 2012"
1277,MAHANADI AT CUTTACK U/S,2012,ORISSA,23,40,7,10.3,7.4,8.3,141,281,1,2,0.05,1.11,140,9200,470,11000,2012,"Calendar Year (Jan - Dec), 2012"
1278,MAHANADI AT CUTTACK D/S,2012,ORISSA,24,39,6.8,9.1,6.8,8.4,142,246,1.6,3.9,0.02,0.95,13000,92000,24000,200000,2012,"Calendar Year (Jan - Dec), 2012"
2409,CUTTACK FDS (SERUA) AT SANKHATRASA,2012,ORISSA,21,38,5.9,11.9,7,8.4,148,243,1.4,3.6,0.05,1.12,7900,92000,11000,200000,2012,"Calendar Year (Jan - Dec), 2012"
2406,MUNDALI(WATER INTAKE POINT OF BHUBANESWAR CITY,2012,ORISSA,21,35,6.6,8.9,7.4,8.4,153,221,0.4,2.4,0.1,0.84,130,5400,330,9200,2012,"Calendar Year (Jan - Dec), 2012"
2404,POWER CHANNEL D/S NEAR BURLA,2012,ORISSA,20,31,5.6,8.5,7.5,8.4,122,219,1.2,2,0.04,1.68,80,1300,170,2800,2012,"Calendar Year (Jan - Dec), 2012"
2407,PARADEEP U/S (BEFORE INDL ACTIVITY AT PARADEEP),2012,ORISSA,22,35,6.3,8.9,7.3,8.4,155,18660,0.8,2.6,0.36,1.75,330,13000,2100,22000,2012,"Calendar Year (Jan - Dec), 2012"
1639,MAHANADI AT PARADEEPD/S,2012,ORISSA,22,37,5.7,8.5,7.6,8.4,617,39030,0.7,3.7,0.05,2.13,790,7000,790,11000,2012,"Calendar Year (Jan - Dec), 2012"
1107,SEONATH AT U/S RAJNANDGAON,2012,CHHATTISGARH,19,33,6.9,8,7.3,7.7,321,331,1.3,2.2,0.28,0.6,,,120,2400,2012,"Calendar Year (Jan - Dec), 2012"
1845,RIVER SHEONATH AT DURG,2012,CHHATTISGARH,20,30,6.7,7.6,7.4,7.6,316,331,1,1.8,0.28,0.39,,,120,2400,2012,"Calendar Year (Jan - Dec), 2012"
