Station code,Name of the station,srcYear,srcStateName,Minimum temperature for river water,Maximum temperature for river water,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in river water,Maximum potential of Hydrogen value in river water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum of Nitrate N + Nitrite N required for river water,Maximum of Nitrate N + Nitrite N required for river water,Minimum of Faecal Coliforms required for river water,Maximum  of Faecal Coliforms required for river water,Minimum coliform required for river water,Maximum coliform required for river water,YearCode,Year
2179,"GODAVARI RIVER AT HANUMAN GHAT, NASHIK CITY",2016,MAHARASHTRA,20,32,4.7,7.5,7.2,8.1,262,709,2,16,0,1.8,2,8.2,40,280,2016,"Calendar Year (Jan - Dec), 2016"
2183,GODAVARI RIVER AT NANDUR MADMESHWAR DAM.,2016,MAHARASHTRA,20,34,5.8,7.6,7.1,8.2,139,587,2.4,5,0,3.9,2,4,60,220,2016,"Calendar Year (Jan - Dec), 2016"
2181,"GODAVARI RIVER AT KAPILA GODAVARI CONFLUENCE POINT, TAPOVAN",2016,MAHARASHTRA,20,34,4.2,6.8,7.3,8.2,251,749,3,8,0,2,2,10,80,350,2016,"Calendar Year (Jan - Dec), 2016"
2180,GODAVARI RIVER NEAR TAPOVAN.,2016,MAHARASHTRA,20,34,5.2,7,7.3,8.4,259,739,3,7,0,1.5,2,9.2,40,280,2016,"Calendar Year (Jan - Dec), 2016"
1096,"GODAVARI AT PANCHAVATI AT RAMKUND, MAHARASHTRA",2016,MAHARASHTRA,20,33,5.2,7.1,7.1,8.2,149,1045,2,10,0,1.6,2,12,70,350,2016,"Calendar Year (Jan - Dec), 2016"
1211,"GODAVARI AT NASIK D/S, MAHARASHTRA",2016,MAHARASHTRA,20,33,4,7,7.4,8,278,806,2.6,12,0,1.1,2,17,40,500,2016,"Calendar Year (Jan - Dec), 2016"
1095,"GODAVARI AT U/S OF GANGAPUR DAM, NASIK, MAHARASHTRA",2016,MAHARASHTRA,20,34,5.4,7.1,7.1,7.9,147,841,2,8,0,2.7,2,9.3,40,170,2016,"Calendar Year (Jan - Dec), 2016"
2160,"GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE",2016,MAHARASHTRA,20,23,6.8,7.4,7.6,8.7,299,1084,2,5,0.1,0.3,2,6,110,240,2016,"Calendar Year (Jan - Dec), 2016"
2158,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI,2016,MAHARASHTRA,20,24,6.6,7.6,7.7,8.8,301,1709,3,5,0,0.8,2,4,110,170,2016,"Calendar Year (Jan - Dec), 2016"
2159,GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE,2016,MAHARASHTRA,20,23,6.7,7.4,7.7,9,294,2404,2,6,0,0.4,2,6,110,240,2016,"Calendar Year (Jan - Dec), 2016"
2161,"GODAVARI AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD",2016,MAHARASHTRA,23,33,5.8,7.2,7.5,8.4,141,1196,3,8,0,0.8,2,6,130,240,2016,"Calendar Year (Jan - Dec), 2016"
12,GODAVARI AT DHALEGAON,2016,MAHARASHTRA,16,25,6.9,7.2,7.4,8.3,263,1532,2,4,0,0.4,2,4,110,220,2016,"Calendar Year (Jan - Dec), 2016"
1210,GODAVARI AT NANDED,2016,MAHARASHTRA,20,28,6.2,7.6,7.3,8.6,289,1186,2,7,0,1.5,2,6,110,240,2016,"Calendar Year (Jan - Dec), 2016"
