srcStateName,City,Year,StateCode,StateName,IntermediateRatio
Tamil Nadu,Aygudi,2021,33,TAMIL NADU,1
Gujarat,Junagadh,2021,24,GUJARAT,1
Manipur,Oinam,2021,14,MANIPUR,1
Maharashtra,Deola Np,2021,27,MAHARASHTRA,1
Kerala,Kasaragod,2021,32,KERALA,1
Uttar Pradesh,Gulariya Bhindara,2021,9,UTTAR PRADESH,1
Bihar,Phulwari Sharif,2021,10,BIHAR,1
Telangana,Kosgi,2021,36,TELANGANA,1
Madhya Pradesh,Barghat,2021,23,MADHYA PRADESH,1
Uttar Pradesh,Maruadih Railway Settlement,2021,9,UTTAR PRADESH,1
Rajasthan,Lawera Khurd,2021,8,RAJASTHAN,1
Tamil Nadu,Lakkampatti,2021,33,TAMIL NADU,1
Maharashtra,Vangani,2021,27,MAHARASHTRA,1
Madhya Pradesh,Soyatkalan,2021,23,MADHYA PRADESH,1
Andhra Pradesh,Kondan Rajupalem,2021,28,ANDHRA PRADESH,1
Tamil Nadu,Nattarasankottai,2021,33,TAMIL NADU,1
Uttar Pradesh,Railway Settlement Roza,2021,9,UTTAR PRADESH,1
Tamil Nadu,Vikramasingapuram,2021,33,TAMIL NADU,1
Karnataka,Hassan,2021,29,KARNATAKA,1
Jammu and Kashmir,Badami Bagh,2021,1,JAMMU AND KASHMIR,1
Andhra Pradesh,Puttur,2021,28,ANDHRA PRADESH,1
Andhra Pradesh,Rayanapadu,2021,28,ANDHRA PRADESH,1
Chhattisgarh,Bhairamgarh,2021,22,CHHATTISGARH,1
Bihar,Janakpur Road,2021,10,BIHAR,1
Rajasthan,Chhatrapura,2021,8,RAJASTHAN,1
Gujarat,Radhanpur,2021,24,GUJARAT,1
Tamil Nadu,Velankanni,2021,33,TAMIL NADU,1
Uttar Pradesh,Mahmudabad,2021,9,UTTAR PRADESH,1
Maharashtra,Tarodi (Khurd),2021,27,MAHARASHTRA,1
Uttar Pradesh,Sarfabad,2021,9,UTTAR PRADESH,1
Uttar Pradesh,Atarra,2021,9,UTTAR PRADESH,1
Arunachal Pradesh,Yingkiong,2021,12,ARUNACHAL PRADESH,1
Tamil Nadu,Thudiyalur,2021,33,TAMIL NADU,1
Uttar Pradesh,Rithora,2021,9,UTTAR PRADESH,1
Bihar,Bairgania,2021,10,BIHAR,1
Jammu and Kashmir,Kupwara,2021,1,JAMMU AND KASHMIR,1
West Bengal,Beldanga,2021,19,WEST BENGAL,1
West Bengal,Cooper'S Camp,2021,19,WEST BENGAL,1
Uttar Pradesh,Khalilabad,2021,9,UTTAR PRADESH,1
Tamil Nadu,Pacode,2021,33,TAMIL NADU,1
