srcStateName,City,Year,StateCode,StateName,IntermediateRatio
Uttar Pradesh,Charthawal,2021,9,UTTAR PRADESH,1
Kerala,Nilambur,2021,32,KERALA,1
West Bengal,Barasat,2021,19,WEST BENGAL,1
Tamil Nadu,Uthiramerur,2021,33,TAMIL NADU,1
Bihar,Islampur,2021,10,BIHAR,1
Maharashtra,Sasvad,2021,27,MAHARASHTRA,1
Rajasthan,Pali,2021,8,RAJASTHAN,1
Tamil Nadu,Adiramapattinam,2021,33,TAMIL NADU,1
Maharashtra,Jintur,2021,27,MAHARASHTRA,1
Uttar Pradesh,Mandawar,2021,9,UTTAR PRADESH,1
Tamil Nadu,Otteri,2021,33,TAMIL NADU,1
Tamil Nadu,Mamallapuram,2021,33,TAMIL NADU,1
Chhattisgarh,Aamadi,2021,22,CHHATTISGARH,1
Gujarat,Valasan,2021,24,GUJARAT,1
West Bengal,Gangarampur,2021,19,WEST BENGAL,1
Uttar Pradesh,Rampur Maniharan,2021,9,UTTAR PRADESH,1
Odisha,Basudebpur,2021,21,ODISHA,1
Tamil Nadu,Thisayanvilai,2021,33,TAMIL NADU,1
Telangana,Pedapalli,2021,36,TELANGANA,1
Andhra Pradesh,Salur,2021,28,ANDHRA PRADESH,1
Andhra Pradesh,Darsi,2021,28,ANDHRA PRADESH,1
Uttar Pradesh,Vrindavan,2021,9,UTTAR PRADESH,1
Andhra Pradesh,Suryaraopeta (Part),2021,28,ANDHRA PRADESH,1
Rajasthan,Pindwara,2021,8,RAJASTHAN,1
Chhattisgarh,Balod,2021,22,CHHATTISGARH,1
West Bengal,Budge Budge,2021,19,WEST BENGAL,1
Rajasthan,Nagla Samawadi,2021,8,RAJASTHAN,1
Karnataka,Hosakote,2021,29,KARNATAKA,1
Uttar Pradesh,Mahmoodpur,2021,9,UTTAR PRADESH,1
Kerala,Kalamassery,2021,32,KERALA,1
Chhattisgarh,Pandatarai,2021,22,CHHATTISGARH,1
Bihar,Chanpatia,2021,10,BIHAR,1
Odisha,Talcher,2021,21,ODISHA,1
Himachal Pradesh,Chamba,2021,2,HIMACHAL PRADESH,1
Andhra Pradesh,Chittoor,2021,28,ANDHRA PRADESH,1
Tamil Nadu,Manavalakurichi,2021,33,TAMIL NADU,1
Tamil Nadu,Kuppam,2021,33,TAMIL NADU,1
Rajasthan,Kheri,2021,8,RAJASTHAN,1
Madhya Pradesh,Kothri,2021,23,MADHYA PRADESH,1
Telangana,Bodhan,2021,36,TELANGANA,1
Maharashtra,Dehu( J. S.),2021,27,MAHARASHTRA,1
Maharashtra,Umarga,2021,27,MAHARASHTRA,1
Andhra Pradesh,Jaggaiahpet,2021,28,ANDHRA PRADESH,1
Tamil Nadu,Edaganasalai,2021,33,TAMIL NADU,1
Uttarakhand,Dharchula,2021,5,UTTARAKHAND,1
Andhra Pradesh,Perakalapudi,2021,28,ANDHRA PRADESH,1
Arunachal Pradesh,Tezu,2021,12,ARUNACHAL PRADESH,1
Karnataka,Balganur,2021,29,KARNATAKA,1
Chhattisgarh,Bhanupratappur,2021,22,CHHATTISGARH,1
Gujarat,Sachin (INA),2021,24,GUJARAT,1
Chhattisgarh,Sariya,2021,22,CHHATTISGARH,1
Bihar,Rajauli,2021,10,BIHAR,1
Punjab,Kot Shamir,2021,3,PUNJAB,1
Chhattisgarh,Saraipali,2021,22,CHHATTISGARH,1
Uttar Pradesh,Ronchi Khadar,2021,9,UTTAR PRADESH,1
Andhra Pradesh,Chavali,2021,28,ANDHRA PRADESH,1
Karnataka,Shedbal,2021,29,KARNATAKA,1
Tamil Nadu,Sembarambakkam,2021,33,TAMIL NADU,1
Uttar Pradesh,Phoolpur,2021,9,UTTAR PRADESH,1
Punjab,Moga,2021,3,PUNJAB,1
Nagaland,Tuensang,2021,13,NAGALAND,1
Odisha,Kochinda,2021,21,ODISHA,1
