ROWID,Country,State LGD Code,State,City,SourceYear,Amount invested for building houses under Pradhan Mantri Awas Yojana,Amount sanctioned for building houses under Pradhan Mantri Awas Yojana,Amount released for building houses under Pradhan Mantri Awas Yojana,Houses sanctioned under Pradhan Mantri Awas Yojana mission,Houses grounded under Pradhan Mantri Awas Yojana mission,Houses completed construction under Pradhan Mantri Awas Yojana mission,YearCode,Year
1,India,8,Rajasthan,3A,2021,0.19,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
2,India,12,Arunachal Pradesh,Aalo,2021,13.43,1.93,1.31,110,98,51,2021,"Calendar Year (Jan - Dec), 2021"
3,India,22,Chhattisgarh,Aamadi,2021,16.24,7.89,3.62,527,442,248,2021,"Calendar Year (Jan - Dec), 2021"
4,India,27,Maharashtra,Aambarvet,2021,0.11,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
5,India,27,Maharashtra,Aambegaon,2021,1.81,0.36,0.36,15,15,15,2021,"Calendar Year (Jan - Dec), 2021"
6,India,27,Maharashtra,Aambethan,2021,0.37,0.04,0.04,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
7,India,27,Maharashtra,Aambi,2021,0.12,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
8,India,27,Maharashtra,Aashti (Wardha),2021,50.17,10.74,,716,248,2,2021,"Calendar Year (Jan - Dec), 2021"
9,India,27,Maharashtra,Aavhalwadi,2021,0.45,0.1,0.1,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
10,India,9,Uttar Pradesh,Abdul Nabipur Khader,2021,0.08,0.01,0.01,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
11,India,22,Chhattisgarh,Abhanpur,2021,37.57,16.14,15.19,1078,1008,366,2021,"Calendar Year (Jan - Dec), 2021"
12,India,18,Assam,Abhayapuri,2021,47.39,17.32,6.9,1154,478,96,2021,"Calendar Year (Jan - Dec), 2021"
13,India,33,Tamil Nadu,Abiramam,2021,0.9,0.51,0.41,34,34,34,2021,"Calendar Year (Jan - Dec), 2021"
14,India,34,Puducherry,Abishegapakkam,2021,0.25,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
15,India,3,Punjab,Abohar,2021,26.31,7.83,4.13,535,332,145,2021,"Calendar Year (Jan - Dec), 2021"
16,India,13,Nagaland,Aboi,2021,23.3,8.55,,570,0,0,2021,"Calendar Year (Jan - Dec), 2021"
17,India,24,Gujarat,Abrama,2021,0.07,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
18,India,8,Rajasthan,Abu Road,2021,25.55,7.82,0.66,511,34,34,2021,"Calendar Year (Jan - Dec), 2021"
2672,India,24,Gujarat,Katwad,2021,0.72,0.06,0.06,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
19,India,1,Jammu And Kashmir,Achabal,2021,12.19,3.17,0.8,211,143,9,2021,"Calendar Year (Jan - Dec), 2021"
20,India,27,Maharashtra,Achalpur,2021,49.24,11.31,3.49,726,1074,862,2021,"Calendar Year (Jan - Dec), 2021"
21,India,36,Telangana,Achampet,2021,38.51,9.32,3.32,613,13,13,2021,"Calendar Year (Jan - Dec), 2021"
22,India,33,Tamil Nadu,Achampudur,2021,7.88,3.73,0.87,248,248,87,2021,"Calendar Year (Jan - Dec), 2021"
23,India,28,Andhra Pradesh,Achanta,2021,527.14,231.96,21.71,15464,962,178,2021,"Calendar Year (Jan - Dec), 2021"
24,India,33,Tamil Nadu,Acharapakkam,2021,19.69,6.77,3.58,428,428,192,2021,"Calendar Year (Jan - Dec), 2021"
25,India,9,Uttar Pradesh,Achhalda,2021,15.3,6.87,2.56,458,517,124,2021,"Calendar Year (Jan - Dec), 2021"
26,India,9,Uttar Pradesh,Achheja,2021,2.38,0.64,0.64,28,28,28,2021,"Calendar Year (Jan - Dec), 2021"
27,India,9,Uttar Pradesh,Achhnera,2021,40.51,18.18,5.39,1211,759,351,2021,"Calendar Year (Jan - Dec), 2021"
28,India,24,Gujarat,Adalaj,2021,5.15,1.02,1.02,47,47,47,2021,"Calendar Year (Jan - Dec), 2021"
29,India,33,Tamil Nadu,Adambakkam,2021,2.23,0.08,0.08,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
30,India,3,Punjab,Adampur,2021,2.97,0.89,0.33,64,45,21,2021,"Calendar Year (Jan - Dec), 2021"
31,India,9,Uttar Pradesh,Adari,2021,24.24,10.97,7.91,731,561,392,2021,"Calendar Year (Jan - Dec), 2021"
32,India,22,Chhattisgarh,Adbhar,2021,34.32,13.76,6.58,917,468,215,2021,"Calendar Year (Jan - Dec), 2021"
33,India,28,Andhra Pradesh,Addam,2021,0.12,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
34,India,28,Andhra Pradesh,Addanki,2021,294.31,113.31,38.07,7536,2856,1285,2021,"Calendar Year (Jan - Dec), 2021"
35,India,28,Andhra Pradesh,Addepalli,2021,0.11,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
36,India,24,Gujarat,Adhewada,2021,0.5,0.07,0.07,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
37,India,33,Tamil Nadu,Adikaratti,2021,6.66,3.27,1.29,230,122,96,2021,"Calendar Year (Jan - Dec), 2021"
38,India,36,Telangana,Adilabad,2021,142.86,28.33,8.11,1832,1202,771,2021,"Calendar Year (Jan - Dec), 2021"
39,India,33,Tamil Nadu,Adiramapattinam,2021,60.32,16.96,6.44,1130,608,148,2021,"Calendar Year (Jan - Dec), 2021"
40,India,20,Jharkhand,Adityapur,2021,535.39,115.84,38.49,7586,7565,1128,2021,"Calendar Year (Jan - Dec), 2021"
41,India,28,Andhra Pradesh,Adoni,2021,654.27,223.01,38.66,14844,6071,5626,2021,"Calendar Year (Jan - Dec), 2021"
42,India,32,Kerala,Adoor,2021,20.56,6.42,2.87,418,261,208,2021,"Calendar Year (Jan - Dec), 2021"
43,India,33,Tamil Nadu,Aduthurai,2021,8.92,3.92,3.08,261,254,100,2021,"Calendar Year (Jan - Dec), 2021"
44,India,9,Uttar Pradesh,Afzalgarh,2021,38.23,16.78,4.33,1118,549,275,2021,"Calendar Year (Jan - Dec), 2021"
45,India,29,Karnataka,Afzalpur,2021,114.1,37.77,9.31,2527,1701,1085,2021,"Calendar Year (Jan - Dec), 2021"
46,India,23,Madhya Pradesh,Agar,2021,101.35,37.07,15.06,2473,2139,736,2021,"Calendar Year (Jan - Dec), 2021"
47,India,33,Tamil Nadu,Agaram,2021,12.56,5.42,3.41,359,359,220,2021,"Calendar Year (Jan - Dec), 2021"
48,India,19,West Bengal,Agarpara,2021,0.08,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
49,India,16,Tripura,Agartala,2021,1272.81,607.11,335.19,36888,22259,16239,2021,"Calendar Year (Jan - Dec), 2021"
50,India,9,Uttar Pradesh,Agarwal Mandi (Tatiri),2021,12.29,5.06,1.45,337,221,89,2021,"Calendar Year (Jan - Dec), 2021"
51,India,33,Tamil Nadu,Agastheeswaram,2021,16.72,5.78,2.81,386,386,262,2021,"Calendar Year (Jan - Dec), 2021"
52,India,28,Andhra Pradesh,Agatha Varappadu,2021,1.46,0.12,0.12,6,6,6,2021,"Calendar Year (Jan - Dec), 2021"
53,India,9,Uttar Pradesh,Aghwanpur,2021,44.54,17.42,1.5,1158,687,66,2021,"Calendar Year (Jan - Dec), 2021"
54,India,28,Andhra Pradesh,Agiripalle,2021,0.15,0.01,0.01,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
55,India,8,Rajasthan,Agolai,2021,0.8,0.17,0.17,8,8,8,2021,"Calendar Year (Jan - Dec), 2021"
56,India,33,Tamil Nadu,Agoor,2021,0.25,0.04,0.04,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
57,India,9,Uttar Pradesh,Agra,2021,2225.87,659.38,328.18,41648,30821,20350,2021,"Calendar Year (Jan - Dec), 2021"
58,India,9,Uttar Pradesh,Agra(CB),2021,18.93,2.37,2.37,114,114,114,2021,"Calendar Year (Jan - Dec), 2021"
59,India,27,Maharashtra,Aheri,2021,5.91,1.46,0.14,94,6,6,2021,"Calendar Year (Jan - Dec), 2021"
60,India,27,Maharashtra,Ahire,2021,0.12,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
61,India,22,Chhattisgarh,Ahiwara,2021,51.16,23.75,14.41,1582,983,426,2021,"Calendar Year (Jan - Dec), 2021"
62,India,24,Gujarat,Ahmadabad Cantonment,2021,27.38,3.84,3.84,167,167,167,2021,"Calendar Year (Jan - Dec), 2021"
63,India,27,Maharashtra,Ahmadnagar,2021,825.79,132.74,99.9,6715,5127,4814,2021,"Calendar Year (Jan - Dec), 2021"
64,India,27,Maharashtra,Ahmadnagar(CB),2021,19.51,2.87,2.87,122,122,122,2021,"Calendar Year (Jan - Dec), 2021"
65,India,27,Maharashtra,Ahmadpur,2021,29.26,6.4,2.37,406,117,117,2021,"Calendar Year (Jan - Dec), 2021"
66,India,24,Gujarat,Ahmedabad,2021,24007.62,3802.23,2332.74,228910,168570,130527,2021,"Calendar Year (Jan - Dec), 2021"
67,India,3,Punjab,Ahmedgarh,2021,12.83,5.5,1.16,370,162,44,2021,"Calendar Year (Jan - Dec), 2021"
68,India,9,Uttar Pradesh,Ahraura,2021,150.21,68.03,38.66,4535,3676,1922,2021,"Calendar Year (Jan - Dec), 2021"
69,India,9,Uttar Pradesh,Ailam,2021,53.47,22.17,9.58,1475,1184,713,2021,"Calendar Year (Jan - Dec), 2021"
70,India,29,Karnataka,Ainapur,2021,10.01,3.8,0.99,253,246,168,2021,"Calendar Year (Jan - Dec), 2021"
71,India,1,Jammu And Kashmir,Aishmuquam,2021,22.78,5.77,0.5,399,137,22,2021,"Calendar Year (Jan - Dec), 2021"
72,India,15,Mizoram,Aizawl,2021,166.32,109.32,19.14,6733,1794,1128,2021,"Calendar Year (Jan - Dec), 2021"
73,India,23,Madhya Pradesh,Ajaigarh,2021,26.46,9.45,6.58,630,630,288,2021,"Calendar Year (Jan - Dec), 2021"
74,India,9,Uttar Pradesh,Ajayabpur,2021,0.18,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
75,India,9,Uttar Pradesh,Ajhuwa,2021,50.69,22.65,12.56,1510,1046,721,2021,"Calendar Year (Jan - Dec), 2021"
76,India,8,Rajasthan,Ajmer,2021,491.69,136.83,43.51,7662,3364,1916,2021,"Calendar Year (Jan - Dec), 2021"
77,India,3,Punjab,Ajnala,2021,13.7,6.3,2.24,428,318,41,2021,"Calendar Year (Jan - Dec), 2021"
78,India,22,Chhattisgarh,Akaltara,2021,65.78,24.26,5.89,1616,561,411,2021,"Calendar Year (Jan - Dec), 2021"
79,India,19,West Bengal,Akandakeshari,2021,0.1,0.03,0.03,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
80,India,9,Uttar Pradesh,Akbarpur,2021,0.49,0.06,0.06,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
81,India,9,Uttar Pradesh,Akbarpur (NP),2021,133.54,57.42,25.08,3826,2837,924,2021,"Calendar Year (Jan - Dec), 2021"
82,India,9,Uttar Pradesh,Akbarpur (NPP),2021,277.69,112.99,44.78,7554,3609,2366,2021,"Calendar Year (Jan - Dec), 2021"
83,India,8,Rajasthan,Akeda Chaud,2021,0.25,0.07,0.07,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
84,India,8,Rajasthan,Akedadoongar (CT),2021,0.32,0.08,0.08,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
85,India,8,Rajasthan,Akhepura,2021,0.19,0.05,0.05,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
86,India,1,Jammu And Kashmir,Akhnoor,2021,11.36,3.38,0.75,226,119,10,2021,"Calendar Year (Jan - Dec), 2021"
87,India,28,Andhra Pradesh,Akiveedu,2021,49.78,23.32,0.02,1555,2,2,2021,"Calendar Year (Jan - Dec), 2021"
88,India,27,Maharashtra,Akkalkot,2021,30.84,7.11,2.08,468,149,65,2021,"Calendar Year (Jan - Dec), 2021"
89,India,28,Andhra Pradesh,Akkarampalle,2021,0.87,0.08,0.08,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
90,India,8,Rajasthan,Aklera,2021,8.22,2.36,0.91,152,103,20,2021,"Calendar Year (Jan - Dec), 2021"
91,India,23,Madhya Pradesh,Akoda,2021,4.47,1.7,0.89,113,113,33,2021,"Calendar Year (Jan - Dec), 2021"
92,India,23,Madhya Pradesh,Akodia,2021,34.16,13.2,6.66,883,782,152,2021,"Calendar Year (Jan - Dec), 2021"
93,India,8,Rajasthan,Akola,2021,0.48,0.06,0.06,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
94,India,27,Maharashtra,Akola,2021,626.97,121.82,51.76,7555,2874,1876,2021,"Calendar Year (Jan - Dec), 2021"
95,India,27,Maharashtra,Akole,2021,20.71,5.0,2.09,331,103,41,2021,"Calendar Year (Jan - Dec), 2021"
96,India,27,Maharashtra,Akot,2021,130.91,32.08,8.7,2109,274,166,2021,"Calendar Year (Jan - Dec), 2021"
97,India,27,Maharashtra,Akurdi,2021,0.98,0.09,0.09,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
98,India,33,Tamil Nadu,Aladu,2021,0.19,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
99,India,33,Tamil Nadu,Alagappapuram,2021,6.99,3.26,1.58,219,219,97,2021,"Calendar Year (Jan - Dec), 2021"
100,India,33,Tamil Nadu,Alampalayam,2021,32.0,8.36,4.92,558,476,453,2021,"Calendar Year (Jan - Dec), 2021"
101,India,9,Uttar Pradesh,Alampur,2021,0.07,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
102,India,24,Gujarat,Alampur,2021,0.14,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
103,India,23,Madhya Pradesh,Alampur,2021,14.97,5.72,2.5,381,381,51,2021,"Calendar Year (Jan - Dec), 2021"
104,India,29,Karnataka,Aland,2021,181.14,52.88,11.16,3529,690,337,2021,"Calendar Year (Jan - Dec), 2021"
105,India,27,Maharashtra,Alandi,2021,177.43,21.45,20.2,947,883,848,2021,"Calendar Year (Jan - Dec), 2021"
106,India,27,Maharashtra,Alandi (Gramin),2021,0.36,0.06,0.06,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
107,India,27,Maharashtra,Alandi Mhatobachi,2021,0.1,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
108,India,33,Tamil Nadu,Alandur,2021,60.68,4.06,4.06,182,182,182,2021,"Calendar Year (Jan - Dec), 2021"
109,India,32,Kerala,Alangad (CT),2021,1.58,0.14,0.14,7,7,7,2021,"Calendar Year (Jan - Dec), 2021"
110,India,33,Tamil Nadu,Alanganallur,2021,12.47,4.59,2.71,300,300,183,2021,"Calendar Year (Jan - Dec), 2021"
111,India,33,Tamil Nadu,Alangayam,2021,27.01,12.28,4.58,818,688,417,2021,"Calendar Year (Jan - Dec), 2021"
112,India,33,Tamil Nadu,Alangudi,2021,16.71,8.04,1.22,533,349,83,2021,"Calendar Year (Jan - Dec), 2021"
113,India,33,Tamil Nadu,Alangulam,2021,11.69,4.66,2.94,305,305,249,2021,"Calendar Year (Jan - Dec), 2021"
114,India,8,Rajasthan,Alanpur (Rural),2021,0.13,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
115,India,33,Tamil Nadu,Alanthurai,2021,71.95,15.9,6.99,1058,1056,200,2021,"Calendar Year (Jan - Dec), 2021"
116,India,33,Tamil Nadu,Alapakkam,2021,0.4,0.05,0.05,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
117,India,32,Kerala,Alappuzha,2021,251.95,71.08,41.39,4698,3657,2419,2021,"Calendar Year (Jan - Dec), 2021"
118,India,33,Tamil Nadu,Alathur,2021,0.06,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
119,India,3,Punjab,Alawalpur,2021,3.39,1.58,0.48,104,75,8,2021,"Calendar Year (Jan - Dec), 2021"
120,India,27,Maharashtra,Alibag,2021,65.27,8.13,8.13,350,350,350,2021,"Calendar Year (Jan - Dec), 2021"
121,India,9,Uttar Pradesh,Aliganj,2021,74.92,30.49,11.86,2033,1537,994,2021,"Calendar Year (Jan - Dec), 2021"
122,India,9,Uttar Pradesh,Aligarh,2021,1190.35,298.05,96.44,19079,8294,4387,2021,"Calendar Year (Jan - Dec), 2021"
123,India,33,Tamil Nadu,Alinjivakkam,2021,0.49,0.04,0.04,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
124,India,19,West Bengal,Alipurduar,2021,144.81,50.71,18.93,3362,2045,1106,2021,"Calendar Year (Jan - Dec), 2021"
125,India,23,Madhya Pradesh,Alirajpur,2021,40.3,13.59,7.68,900,843,408,2021,"Calendar Year (Jan - Dec), 2021"
126,India,28,Andhra Pradesh,Allagadda,2021,229.86,68.58,50.46,4549,3655,1199,2021,"Calendar Year (Jan - Dec), 2021"
127,India,9,Uttar Pradesh,Allahabad,2021,763.52,134.73,89.5,8596,4315,3183,2021,"Calendar Year (Jan - Dec), 2021"
128,India,9,Uttar Pradesh,Allahabad (CB),2021,8.82,0.79,0.79,42,42,42,2021,"Calendar Year (Jan - Dec), 2021"
129,India,9,Uttar Pradesh,Allahganj,2021,20.1,7.94,3.12,529,445,327,2021,"Calendar Year (Jan - Dec), 2021"
130,India,9,Uttar Pradesh,Allapur,2021,41.3,16.53,12.01,1102,1009,481,2021,"Calendar Year (Jan - Dec), 2021"
131,India,33,Tamil Nadu,Allapuram,2021,1.94,0.13,0.13,8,8,8,2021,"Calendar Year (Jan - Dec), 2021"
132,India,9,Uttar Pradesh,Almaspur (CT),2021,0.25,0.06,0.06,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
133,India,29,Karnataka,Almel,2021,81.68,33.81,9.88,2253,2041,1477,2021,"Calendar Year (Jan - Dec), 2021"
134,India,5,Uttarakhand,Almora,2021,6.45,1.46,0.53,92,53,40,2021,"Calendar Year (Jan - Dec), 2021"
135,India,5,Uttarakhand,Almora (CB),2021,1.01,0.09,0.09,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
136,India,29,Karnataka,Alnavar,2021,15.96,5.8,2.08,388,373,132,2021,"Calendar Year (Jan - Dec), 2021"
137,India,23,Madhya Pradesh,Alot,2021,56.4,19.73,15.24,1314,1294,427,2021,"Calendar Year (Jan - Dec), 2021"
138,India,28,Andhra Pradesh,Alur,2021,292.53,146.27,,9751,0,0,2021,"Calendar Year (Jan - Dec), 2021"
139,India,29,Karnataka,Alur,2021,3.41,0.95,0.27,63,63,31,2021,"Calendar Year (Jan - Dec), 2021"
140,India,33,Tamil Nadu,Alur,2021,9.54,4.5,1.99,302,302,157,2021,"Calendar Year (Jan - Dec), 2021"
141,India,32,Kerala,Aluva,2021,49.07,5.79,5.42,321,298,294,2021,"Calendar Year (Jan - Dec), 2021"
142,India,8,Rajasthan,Alwar,2021,579.93,137.42,96.44,6178,4678,4323,2021,"Calendar Year (Jan - Dec), 2021"
143,India,33,Tamil Nadu,Alwarkurichi,2021,13.36,6.42,1.68,428,269,170,2021,"Calendar Year (Jan - Dec), 2021"
144,India,8,Rajasthan,Alwar (Rural),2021,0.63,0.15,0.15,6,6,6,2021,"Calendar Year (Jan - Dec), 2021"
145,India,33,Tamil Nadu,Alwarthirunagiri,2021,4.81,2.24,1.03,150,115,79,2021,"Calendar Year (Jan - Dec), 2021"
146,India,28,Andhra Pradesh,Amadalavalasa,2021,555.55,222.71,32.0,14839,3008,2007,2021,"Calendar Year (Jan - Dec), 2021"
147,India,28,Andhra Pradesh,Amalapuram,2021,270.1,96.33,21.95,6399,1965,1808,2021,"Calendar Year (Jan - Dec), 2021"
148,India,27,Maharashtra,Amalner,2021,128.09,24.86,13.31,1470,841,712,2021,"Calendar Year (Jan - Dec), 2021"
149,India,23,Madhya Pradesh,Amanganj,2021,30.63,11.15,5.89,743,743,242,2021,"Calendar Year (Jan - Dec), 2021"
150,India,9,Uttar Pradesh,Amanpur,2021,26.05,13.07,5.11,870,687,408,2021,"Calendar Year (Jan - Dec), 2021"
151,India,28,Andhra Pradesh,Amaravati,2021,360.24,76.27,76.36,5069,5069,5069,2021,"Calendar Year (Jan - Dec), 2021"
152,India,3,Punjab,Amargarh,2021,2.87,1.26,0.32,84,26,15,2021,"Calendar Year (Jan - Dec), 2021"
153,India,23,Madhya Pradesh,Amarkantak,2021,40.85,12.67,3.47,845,133,116,2021,"Calendar Year (Jan - Dec), 2021"
154,India,23,Madhya Pradesh,Amarpatan,2021,23.12,8.36,3.36,556,538,278,2021,"Calendar Year (Jan - Dec), 2021"
155,India,10,Bihar,Amarpur,2021,70.9,20.7,3.15,1380,256,0,2021,"Calendar Year (Jan - Dec), 2021"
156,India,9,Uttar Pradesh,Amarpur,2021,0.23,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
157,India,16,Tripura,Amarpur,2021,61.81,40.65,30.67,1935,1686,1071,2021,"Calendar Year (Jan - Dec), 2021"
158,India,23,Madhya Pradesh,Amarwara,2021,57.0,21.61,11.64,1437,1587,1587,2021,"Calendar Year (Jan - Dec), 2021"
159,India,2,Himachal Pradesh,Amb,2021,0.11,0.01,0.01,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
160,India,27,Maharashtra,Ambad,2021,81.36,15.98,2.16,1033,173,120,2021,"Calendar Year (Jan - Dec), 2021"
161,India,22,Chhattisgarh,Ambagarh Chowki,2021,23.66,11.13,4.6,741,491,340,2021,"Calendar Year (Jan - Dec), 2021"
162,India,23,Madhya Pradesh,Ambah,2021,11.24,4.38,3.81,292,290,133,2021,"Calendar Year (Jan - Dec), 2021"
163,India,24,Gujarat,Ambaji (CT),2021,0.07,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
164,India,6,Haryana,Ambala,2021,1641.91,284.31,50.41,15916,1166,890,2021,"Calendar Year (Jan - Dec), 2021"
165,India,6,Haryana,Ambala Cantt.,2021,38.47,4.59,4.59,231,231,231,2021,"Calendar Year (Jan - Dec), 2021"
166,India,6,Haryana,Ambala Sadar,2021,4.43,0.6,0.6,31,145,114,2021,"Calendar Year (Jan - Dec), 2021"
167,India,28,Andhra Pradesh,Ambapuram (OG),2021,2.75,0.19,0.19,10,10,10,2021,"Calendar Year (Jan - Dec), 2021"
168,India,27,Maharashtra,Ambarnath,2021,1635.94,518.12,124.01,31561,5287,5287,2021,"Calendar Year (Jan - Dec), 2021"
169,India,33,Tamil Nadu,Ambasamudram,2021,98.94,33.1,20.04,2208,2208,1475,2021,"Calendar Year (Jan - Dec), 2021"
170,India,16,Tripura,Ambassa,2021,86.46,46.56,29.22,3100,2299,1941,2021,"Calendar Year (Jan - Dec), 2021"
171,India,28,Andhra Pradesh,Ambativalasa,2021,0.34,0.03,0.03,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
172,India,33,Tamil Nadu,Ambattur,2021,286.69,23.11,23.11,1055,1055,1055,2021,"Calendar Year (Jan - Dec), 2021"
173,India,27,Maharashtra,Ambegaon,2021,4.71,0.84,0.84,36,36,36,2021,"Calendar Year (Jan - Dec), 2021"
174,India,27,Maharashtra,Ambegaon Bu.,2021,5.3,0.88,0.88,39,39,39,2021,"Calendar Year (Jan - Dec), 2021"
175,India,27,Maharashtra,Ambegaon Budruk (Part),2021,6.51,1.08,1.08,46,46,46,2021,"Calendar Year (Jan - Dec), 2021"
176,India,27,Maharashtra,Ambegaon Khu.,2021,4.11,0.88,0.88,38,38,38,2021,"Calendar Year (Jan - Dec), 2021"
177,India,27,Maharashtra,Ambegaon Khurd (Part),2021,2.47,0.5,0.5,20,20,20,2021,"Calendar Year (Jan - Dec), 2021"
178,India,9,Uttar Pradesh,Ambehta,2021,35.38,14.54,6.75,968,602,412,2021,"Calendar Year (Jan - Dec), 2021"
179,India,27,Maharashtra,Ambejogai,2021,72.12,11.93,5.83,764,237,115,2021,"Calendar Year (Jan - Dec), 2021"
180,India,22,Chhattisgarh,Ambikapur,2021,280.86,102.48,53.8,6783,6346,1809,2021,"Calendar Year (Jan - Dec), 2021"
181,India,24,Gujarat,Amboli,2021,0.05,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
182,India,24,Gujarat,Amboli Ct,2021,0.06,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
183,India,33,Tamil Nadu,Ambur,2021,46.8,21.54,11.51,1431,1431,487,2021,"Calendar Year (Jan - Dec), 2021"
184,India,36,Telangana,Ameenapur,2021,17.14,1.42,1.42,62,62,62,2021,"Calendar Year (Jan - Dec), 2021"
185,India,28,Andhra Pradesh,Ameenapuram,2021,0.52,0.04,0.04,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
186,India,8,Rajasthan,Amer Chak No.1,2021,3.1,0.82,0.82,37,37,37,2021,"Calendar Year (Jan - Dec), 2021"
187,India,8,Rajasthan,Amer Chak No.2,2021,0.52,0.13,0.13,5,5,5,2021,"Calendar Year (Jan - Dec), 2021"
188,India,8,Rajasthan,Amet,2021,1.01,0.29,0.12,17,6,6,2021,"Calendar Year (Jan - Dec), 2021"
189,India,9,Uttar Pradesh,Amethi,2021,39.76,17.63,7.34,1171,784,319,2021,"Calendar Year (Jan - Dec), 2021"
190,India,9,Uttar Pradesh,Amethi (NP),2021,91.04,39.28,16.57,2618,1984,1235,2021,"Calendar Year (Jan - Dec), 2021"
191,India,18,Assam,Amguri,2021,14.26,4.64,2.39,309,199,79,2021,"Calendar Year (Jan - Dec), 2021"
192,India,9,Uttar Pradesh,Amila,2021,17.94,8.01,4.15,534,390,264,2021,"Calendar Year (Jan - Dec), 2021"
193,India,29,Karnataka,Aminagad,2021,22.33,8.57,2.74,575,523,227,2021,"Calendar Year (Jan - Dec), 2021"
194,India,9,Uttar Pradesh,Aminagar Sarai,2021,19.47,7.88,3.91,525,492,272,2021,"Calendar Year (Jan - Dec), 2021"
195,India,9,Uttar Pradesh,Amka,2021,0.09,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
196,India,23,Madhya Pradesh,Amla,2021,18.88,6.41,5.39,425,425,318,2021,"Calendar Year (Jan - Dec), 2021"
197,India,24,Gujarat,Amleshwar,2021,0.08,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
198,India,3,Punjab,Amloh,2021,17.86,7.22,1.59,491,231,115,2021,"Calendar Year (Jan - Dec), 2021"
199,India,33,Tamil Nadu,Ammainaickanur,2021,9.04,3.83,2.81,256,256,179,2021,"Calendar Year (Jan - Dec), 2021"
200,India,33,Tamil Nadu,Ammapettai (Erode),2021,55.04,12.04,2.65,803,323,127,2021,"Calendar Year (Jan - Dec), 2021"
201,India,33,Tamil Nadu,Ammapettai (Thanjavur),2021,19.34,8.72,5.93,583,579,138,2021,"Calendar Year (Jan - Dec), 2021"
202,India,33,Tamil Nadu,Ammavarikuppam,2021,0.15,,,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
203,India,33,Tamil Nadu,Ammoor,2021,7.46,3.19,1.81,215,214,138,2021,"Calendar Year (Jan - Dec), 2021"
204,India,24,Gujarat,Amod,2021,10.7,3.66,1.16,241,223,113,2021,"Calendar Year (Jan - Dec), 2021"
205,India,24,Gujarat,Amodar,2021,0.16,0.04,0.04,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
206,India,9,Uttar Pradesh,Amraudha,2021,49.41,22.07,5.35,1471,860,323,2021,"Calendar Year (Jan - Dec), 2021"
