ROWID,Country,State LGD Code,State,City,SourceYear,Amount invested for building houses under Pradhan Mantri Awas Yojana,Amount sanctioned for building houses under Pradhan Mantri Awas Yojana,Amount released for building houses under Pradhan Mantri Awas Yojana,Houses sanctioned under Pradhan Mantri Awas Yojana mission,Houses grounded under Pradhan Mantri Awas Yojana mission,Houses completed construction under Pradhan Mantri Awas Yojana mission,YearCode,Year
5562,India,27,Maharashtra,Talegaon Dabhade,2021,509.57,65.01,52.29,3182,2804,2037,2021,"Calendar Year (Jan - Dec), 2021"
5563,India,27,Maharashtra,Talegaon Dhamdhere,2021,0.73,0.2,0.2,8,8,8,2021,"Calendar Year (Jan - Dec), 2021"
5564,India,23,Madhya Pradesh,Talen,2021,39.98,15.18,6.92,1011,1005,377,2021,"Calendar Year (Jan - Dec), 2021"
5565,India,27,Maharashtra,Taleranwadi,2021,0.28,0.05,0.05,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
5566,India,9,Uttar Pradesh,Talgram,2021,27.88,12.3,6.68,820,666,274,2021,"Calendar Year (Jan - Dec), 2021"
5567,India,29,Karnataka,Talikota,2021,104.29,30.77,6.74,2051,418,263,2021,"Calendar Year (Jan - Dec), 2021"
5568,India,32,Kerala,Taliparamba,2021,23.26,7.19,4.84,473,428,332,2021,"Calendar Year (Jan - Dec), 2021"
5569,India,28,Andhra Pradesh,Tallavalasa (Part),2021,0.75,0.05,0.05,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
5570,India,24,Gujarat,Talod,2021,41.02,13.22,5.5,870,867,255,2021,"Calendar Year (Jan - Dec), 2021"
5571,India,27,Maharashtra,Talode,2021,22.58,5.19,0.69,339,171,55,2021,"Calendar Year (Jan - Dec), 2021"
5572,India,27,Maharashtra,Talwade,2021,0.15,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
5573,India,3,Punjab,Talwandi Bhai,2021,9.82,4.39,1.04,295,166,8,2021,"Calendar Year (Jan - Dec), 2021"
5574,India,3,Punjab,Talwandi Sabo,2021,15.33,7.27,2.07,502,277,139,2021,"Calendar Year (Jan - Dec), 2021"
5575,India,3,Punjab,Talwara,2021,3.42,1.66,0.4,113,67,7,2021,"Calendar Year (Jan - Dec), 2021"
5576,India,33,Tamil Nadu,Tambaram,2021,354.93,32.02,31.7,1654,1654,1290,2021,"Calendar Year (Jan - Dec), 2021"
5577,India,9,Uttar Pradesh,Tambaur-Cum-Ahamdabad,2021,73.65,34.83,9.32,2322,1798,640,2021,"Calendar Year (Jan - Dec), 2021"
5578,India,19,West Bengal,Tamluk,2021,132.95,45.87,24.89,3023,2278,1190,2021,"Calendar Year (Jan - Dec), 2021"
5579,India,5,Uttarakhand,Tanakpur,2021,1.04,0.21,0.19,11,9,9,2021,"Calendar Year (Jan - Dec), 2021"
5580,India,8,Rajasthan,Tanawara,2021,0.23,0.05,0.05,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
5581,India,9,Uttar Pradesh,Tanda,2021,177.91,78.19,27.48,5212,3597,1330,2021,"Calendar Year (Jan - Dec), 2021"
5582,India,9,Uttar Pradesh,Tanda(NPP),2021,60.13,24.21,6.52,1614,578,231,2021,"Calendar Year (Jan - Dec), 2021"
