srcYear,srcStateName,City name,Location name,Number of Monitoring Days,Minimum Concentration of Nitrogen Dioxide (NO2) (24-hourly average),Maximum Concentration of Nitrogen Dioxide (NO2) (24-hourly average),Concentration of Nitrogen Dioxide (NO2) (Annual Average),YearCode,Year
2013,Andhra Pradesh,Srikakulam,"SAMKRG Pistons Quarters Bulding,Near IDA,Pydibhimavaram,srikakulam (dt)",105.0,5.0,48.0,16.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vizianagaram,"APIIC Building at IDA Bobbili Growth Center,Vizianagaram",60.0,9.0,34.0,19.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Kurnool,Mourya Inn,102.0,9.0,16.0,10.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Nellore,"Venkatareddy nagar, Vedayapalem",104.0,14.0,30.0,17.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Eluru,At Ashram Diagnostic Centre,37.0,9.0,20.0,15.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Patencheru,"Police Station, Medak, Ramachadrapuram",107.0,13.0,34.0,24.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",81.0,8.0,42.0,15.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",108.0,9.0,9.0,9.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vijaywada,Benz Circle,100.0,13.0,36.0,20.0,2013,"Calendar Year (Jan - Dec), 2013"
2021,West Bengal,Malda,,,,,35.0,2021,"Calendar Year (Jan - Dec), 2021"
2013,Andhra Pradesh,Vijaywada,Autonagar,102.0,12.0,59.0,20.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vijaywada,Police Control Room,75.0,7.0,39.0,18.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Warangal,"KUDA Office, Hanumakonda",102.0,8.0,41.0,15.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Warangal,"On the terrace of MeeSeva Building ,Municipal Complex,Warangal. Dist.",79.0,8.0,23.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi",108.0,9.0,56.0,16.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem",107.0,9.0,131.0,18.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,Police Barracks,103.0,9.0,103.0,25.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,"INSVirabahu, Naval Area",108.0,9.0,59.0,16.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,Seethammadhara,108.0,9.0,65.0,17.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,Ganapuram Area,106.0,9.0,106.0,23.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,"Pedagantyada, Gajuwada",108.0,8.0,88.0,15.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,"CWMP, RAMKY, Parawada",108.0,9.0,42.0,14.0,2013,"Calendar Year (Jan - Dec), 2013"
