ROWID,Country,State LGD Code,State,YearCode,Year,City name,Location name,Number of Monitoring Days,Minimum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Maximum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Concentration of Sulphur Dioxide (SO2) (Annual average)
1154,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Agra,Rambagh,77.0,2.0,14.0,3.0
1155,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Agra,"Regional Office, Bodla",71.0,4.0,22.0,8.0
1156,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Agra,Taj Mahal,294.0,2.0,50.0,3.0
1157,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Allahabad,Alopibagh/Sewage Pumping Stations,112.0,2.0,40.0,5.0
1158,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Allahabad,Bharat Yantra Nigam Ltd,87.0,2.0,11.0,4.0
1159,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Allahabad,Jhonstonganj/cooperative Bank,100.0,2.0,36.0,4.0
1160,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Allahabad,Rambagh/Parag Dairy,110.0,2.0,26.0,4.0
1161,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Allahabad,Square crossing circle of Laxmi Talkies,93.0,2.0,15.0,4.0
1162,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Anpara,"Anpara Colony, Sonabhadra",78.0,14.0,20.0,18.0
1163,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Anpara,"Renusagar Colony, Sonabhadra",84.0,15.0,46.0,19.0
1164,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Bareily,"Indian oetrol pump, Civil Line",52.0,11.0,15.0,12.0
1165,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Bareily,IVRI Izatnaga,52.0,9.0,12.0,11.0
1166,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Firozabad,Center for Development of Glass Industry,105.0,5.0,11.0,9.0
1167,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Firozabad,Raza ka Tal,,,,
1168,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Firozabad,Tilak Nagar,107.0,5.0,13.0,9.0
1169,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Gajraula,"Indira Chowk, J.P. Nagar",100.0,5.0,41.0,23.0
1170,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Gajraula,"Raunaq Auto Ltd, J.P. Nagar",100.0,5.0,35.0,17.0
1171,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Ghaziabad,"Atlas Cycles Industries, Sahibabad Ind. area",111.0,8.0,38.0,15.0
1172,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Ghaziabad,Bulandshaar Road Industrial Area,106.0,8.0,32.0,15.0
1173,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Gorakpur,"India Glycol Ltd. Gida, Gorakhpur",104.0,12.0,68.0,26.0
1174,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Gorakpur,"Jalkal, Muncipal Corporation, Golghar",104.0,11.0,28.0,21.0
1175,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Gorakpur,"M. M.M. Engineering College, Gorakhpur",104.0,4.0,14.0,9.0
1176,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Jhansi,Manik Chawk / Jal chauraha,102.0,5.0,21.0,8.0
1177,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Jhansi,Veeranga Nagar,120.0,4.0,16.0,7.0
1178,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Kanpur,"Associated Chem Pvt Ltd, Fazalganj, Panki, Site5",46.0,6.0,10.0,8.0
1179,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Kanpur,Chamber Of Commerce Darshanpurwa/ Deputy ka Parao,47.0,6.0,9.0,7.0
1180,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Kanpur,Dabauli / Shastri NGR,28.0,5.0,8.0,7.0
1181,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Kanpur,"Dada Nagar, Kanpur",97.0,5.0,28.0,10.0
1182,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Kanpur,"Forest & Training Centre, Kidwai Nagar",51.0,5.0,9.0,6.0
1183,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Kanpur,"I.I.T. Campus, Kanpur",98.0,2.0,2.0,2.0
1184,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Kanpur,Jajmau / Awas Vikas,29.0,5.0,9.0,7.0
1185,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Kanpur,"Ramadevi, Kanpur",100.0,3.0,16.0,7.0
1186,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Kanpur,"Vikas Nagar, Kanpur",,,,
1187,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Khurja,Ahirpara,90.0,17.0,33.0,21.0
1188,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Khurja,Central Glass & Ceramic Research Institute,88.0,19.0,40.0,23.0
1189,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Lucknow,Aminabad / S.M.K Chowk,97.0,5.0,15.0,8.0
1190,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Lucknow,"Ansal Technical Institute Campus, Ansal API",101.0,4.0,14.0,7.0
1191,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Lucknow,"Chandganj Garden, Aliganj",93.0,3.0,15.0,7.0
1192,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Lucknow,"Kapoor Hotel, Hazratganj",101.0,5.0,14.0,8.0
1193,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Lucknow,Mahanagar,99.0,4.0,15.0,8.0
1194,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Lucknow,Nagar Nigam,102.0,4.0,15.0,8.0
1195,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Lucknow,Talkatora,94.0,5.0,14.0,8.0
1196,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Mathura,"CETP, Industrial Area, Mathura",47.0,10.0,14.0,12.0
1197,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Mathura,"RO. UPPCB, 65 Baldevpuri, Maholi Road",38.0,8.0,12.0,10.0
1198,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Meerut,Begum Bridge,64.0,6.0,8.0,7.0
1199,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Meerut,Thana Railway Road / Kesarganj,64.0,5.0,7.0,6.0
1200,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Moradabad,"Central Police Hospital, Civil Lines",103.0,4.0,33.0,15.0
1201,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Moradabad,"Hindu College, Station Road",100.0,6.0,40.0,20.0
1202,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Noida,GeePee Electroplating and Eng. Work,88.0,6.0,11.0,8.0
1203,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Noida,"UP PPCB, E12/1, Sector  1",88.0,6.0,10.0,7.0
1204,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Raebareli,Amawan Road Ind. Area Raebareli,85.0,9.0,11.0,10.0
1205,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Raebareli,Khoya mandi Tiraha Lucknow Road Raebareli,85.0,11.0,17.0,15.0
1206,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Raebareli,"Town Hall Colony, Ahmad Nagar, Gulab Road",85.0,7.0,10.0,9.0
1207,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Saharanpur,"SREA, IIT Roorkee, Saharanpur Campus",92.0,10.0,21.0,15.0
1208,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Saharanpur,"UPCL S.E. Office, Near Clock Tower",92.0,10.0,23.0,16.0
1209,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Unnao,BHU,72.0,6.0,15.0,11.0
1210,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Unnao,Chandpur,80.0,8.0,18.0,12.0
1211,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Unnao,"H. No. 5, Krishna Nagar, Unnao",63.0,8.0,10.0,9.0
1212,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Unnao,"IIA Building, Industrial Area, Site 10, Unnao",68.0,9.0,11.0,10.0
1213,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Unnao,Saket Nagar,76.0,6.0,18.0,11.0
1214,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Agra,DIC Nunhai,84.0,2.0,11.0,2.0
1215,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Agra,Etmaduddaulah,81.0,2.0,19.0,3.0
1216,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Agra,Nunhai,97.0,3.0,12.0,8.0
1217,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Agra,Rambagh,75.0,2.0,8.0,2.0
1218,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Agra,"Regional Office, Bodla",89.0,3.0,9.0,6.0
1219,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Agra,Taj Mahal,245.0,2.0,8.0,2.0
1220,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Allahabad,Alopibagh/Sewage Pumping Stations,113.0,2.0,15.0,4.0
1221,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Allahabad,Bharat Yantra Nigam Ltd,99.0,2.0,13.0,4.0
1222,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Allahabad,Jhonstonganj/cooperative Bank,115.0,2.0,16.0,4.0
1223,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Allahabad,Rambagh/Parag Dairy,112.0,1.0,40.0,3.0
1224,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Allahabad,Square crossing circle of Laxmi Talkies,106.0,2.0,21.0,5.0
1279,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Agra,DIC Nunhai,109.0,2.0,16.0,4.0
1225,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Anpara,"Anpara Colony, Sonabhadra",81.0,8.0,23.0,17.0
1226,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Anpara,"Renusagar Colony, Sonabhadra",81.0,10.0,22.0,16.0
1227,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Bareily,"Indian oetrol pump, Civil Line",51.0,10.0,14.0,12.0
1228,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Bareily,IVRI Izatnaga,53.0,8.0,13.0,11.0
1229,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Firozabad,Center for Development of Glass Industry,62.0,7.0,11.0,9.0
1230,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Firozabad,Raza ka Tal,61.0,7.0,11.0,9.0
1231,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Firozabad,Tilak Nagar,61.0,0.0,11.0,9.0
1232,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Gajraula,"Indira Chowk, J.P. Nagar",95.0,6.0,43.0,24.0
1233,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Gajraula,"Raunaq Auto Ltd, J.P. Nagar",96.0,7.0,42.0,20.0
1234,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Ghaziabad,"Atlas Cycles Industries, Sahibabad Ind. area",69.0,10.0,45.0,24.0
1235,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Ghaziabad,Bulandshaar Road Industrial Area,54.0,9.0,48.0,20.0
1236,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Gorakpur,"India Glycol Ltd. Gida, Gorakhpur",50.0,29.0,35.0,31.0
1237,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Gorakpur,"Jalkal, Muncipal Corporation, Golghar",50.0,22.0,28.0,24.0
1238,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Gorakpur,"M. M.M. Engineering College, Gorakhpur",50.0,6.0,8.0,7.0
1239,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Jhansi,Manik Chawk / Jal chauraha,103.0,5.0,21.0,7.0
1240,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Jhansi,Veeranga Nagar,103.0,4.0,18.0,6.0
1241,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Kanpur,"Associated Chem Pvt Ltd, Fazalganj, Panki, Site5",78.0,7.0,10.0,8.0
1242,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Kanpur,Chamber Of Commerce Darshanpurwa/ Deputy ka Parao,90.0,6.0,9.0,8.0
1243,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Kanpur,Dabauli / Shastri NGR,78.0,6.0,9.0,8.0
1244,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Kanpur,"Dada Nagar, Kanpur",92.0,5.0,24.0,10.0
1245,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Kanpur,"Forest & Training Centre, Kidwai Nagar",61.0,6.0,9.0,7.0
1246,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Kanpur,"I.I.T. Campus, Kanpur",98.0,2.0,2.0,2.0
1247,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Kanpur,Jajmau / Awas Vikas,85.0,6.0,9.0,8.0
1248,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Kanpur,"Ramadevi, Kanpur",69.0,2.0,8.0,5.0
1249,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Khurja,Ahirpara,96.0,19.0,25.0,22.0
