srcYear,srcStateName,City name,Location name,Number of Monitoring Days,Minimum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Maximum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Concentration of Sulphur Dioxide (SO2) (Annual average),YearCode,Year
2013,Andhra Pradesh,Rajahmundry,"Top of the Staff Clud Building, Rajahmundry",60.0,5.0,31.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",81.0,4.0,44.0,10.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi",108.0,4.0,39.0,12.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Delhi,Delhi,Nizamuddin,75.0,4.0,5.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem",107.0,4.0,70.0,13.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,Police Barracks,103.0,4.0,60.0,19.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,"INSVirabahu, Naval Area",108.0,4.0,59.0,12.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,Seethammadhara,108.0,4.0,68.0,14.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,Ganapuram Area,106.0,4.0,75.0,17.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,"Pedagantyada, Gajuwada",108.0,4.0,54.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vishakhapatnam,"CWMP, RAMKY, Parawada",108.0,4.0,24.0,9.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Bongaigaon,"Oil India Ltd. PS6, Chirang",105.0,4.0,9.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Bongaigaon,Barpara Office Building,106.0,4.0,12.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Daranga,"BATAD, Baska",80.0,3.0,8.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Dibrugarh,Dibrugarh Office Building,86.0,3.0,9.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Golaghat,Golaghat Office Building,85.0,4.0,11.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Guwahati,"Head Office, Bamunimaidam",251.0,3.0,10.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Guwahati,"Boragaon, IASST, Kamrup",69.0,3.0,14.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Guwahati,"Guwahati University, Kamrup",142.0,3.0,9.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Guwahati,"ITI Building, Gopinath Nagar",262.0,3.0,18.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Guwahati,"Khanapara, Central Dairy, Kamrup",247.0,3.0,11.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Guwahati,"Near Pragjyotish College, Santipur",260.0,4.0,10.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Margherita,Coal India Office,55.0,5.0,31.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Lakhimpur,"Bazar Patti, North Lakhimpur Town",105.0,3.0,12.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Nagaon,"Water Resources Div., Christian Patty",99.0,3.0,9.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Uttar Pradesh,Varanasi,Sigra,93.0,17.0,50.0,20.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Nalbari,PWD Rural Div Office Complex,55.0,4.0,16.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Sibsagar,Sibasagar Office Building,107.0,4.0,12.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Sibsagar,"Usha Lodge, near ONGCL Colony",106.0,4.0,13.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Silchar,Janiganj Govt. Boys HS School campus,96.0,3.0,9.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Silchar,"RLO, Ithkola Market, Ghaniwala Road",95.0,5.0,25.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Tezpur,Tezpur Office Building,106.0,4.0,11.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Tinsukia,"Digboi Carbon factory Campus, Borguri",85.0,3.0,8.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Assam,Tinsukia,"Shreepuria, Borguri",81.0,5.0,8.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",126.0,2.0,18.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Bihar,Patna,"Gandhi Maidan Test Centre,Patna",115.0,2.0,51.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Chandigarh,Chandigarh,"Modern Foods, Industrial Area",84.0,2.0,2.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Chandigarh,Chandigarh,Sector17 C,87.0,2.0,2.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Chandigarh,Chandigarh,"Punjab Engineering College, Sector 12",80.0,2.0,2.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Chandigarh,Chandigarh,"Sector39, IMTECH",88.0,2.0,2.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Chandigarh,Chandigarh,Kaimbwala Village,86.0,2.0,5.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Chhattisgarh,Bhillai,"Visak Hostel, Sector4",90.0,6.0,12.0,10.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Chhattisgarh,Bhillai,"R.O., 5/32 Banglow Office Building",83.0,3.0,7.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Chhattisgarh,Bhillai,M.P. Laghu Udyog Nigam,69.0,9.0,13.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Chhattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar",76.0,3.0,7.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Chhattisgarh,Korba,"HIG 21,22.Near Ghantaghar, MP Extension",84.0,11.0,14.0,13.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Chhattisgarh,Korba,"Pragati Nagar NTPC Colony, Jamnipali",83.0,10.0,13.0,12.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Chhattisgarh,Korba,"I.T.I., Rampur",81.0,12.0,15.0,13.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Chhattisgarh,Raipur,"M/S Wool Worth India, Sarora",53.0,10.0,18.0,15.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Dadra & Nagar Haveli,Silvassa,"Khadoli Industrial Area, Khadoli",43.0,7.0,9.0,8.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Daman & Diu,Daman,"Kadaiya Industrial Area, Kadaiya",26.0,7.0,22.0,8.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Delhi,Delhi,"N.Y. School, Sarojini Nagar, Delhi",96.0,2.0,11.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",96.0,2.0,40.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Delhi,Delhi,"Mayapuri Industrial Area, Delhi",80.0,2.0,13.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Delhi,Delhi,Pritampura,74.0,4.0,4.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Delhi,Delhi,Shahadra,80.0,4.0,4.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Delhi,Delhi,Shahzada Bagh,78.0,4.0,6.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Delhi,Delhi,Janakpuri,79.0,4.0,7.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Delhi,Delhi,Siri Fort,78.0,4.0,5.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Delhi,Delhi,"ITO, BSZ Marg",364.0,4.0,10.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Panaji,"Old GSPCB premises, Patto",96.0,2.0,18.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Marmagao,"Fire Brigade Station, Port Trust",104.0,4.0,8.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Vasco,"Fuse Call Office, Mormugao",100.0,2.0,21.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Curchorem,"Curchorem, Sanvordem, Quepem",97.0,4.0,14.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Codli,"Codli Tisk, Ponda",99.0,4.0,13.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Honda,"Honda Junction, Sattari",98.0,5.0,13.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Bicholim,Bicholim Taluk,100.0,5.0,9.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Amona,"Amona, Bicholim",98.0,4.0,12.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Assanora,"Assanora Junction, Bardez Taluka",98.0,5.0,10.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Usgao,"Usgao Plae, Junction, Ponda",98.0,5.0,9.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
