srcYear,srcStateName,City name,Location name,Number of Monitoring Days,Minimum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Maximum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Concentration of Sulphur Dioxide (SO2) (Annual average),YearCode,Year
2015,Kerala,Kochi,"Eloor I, FACT, Ambalamughal",120.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Kochi,Eloor II,120.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Kochi,Irumpanam,116.0,2.0,24.0,3.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Kochi,Ernakulum South,99.0,2.0,15.0,3.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Kochi,VYTTILA,114.0,2.0,43.0,3.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Kochi,MG Road Bank Ernakulum,106.0,2.0,48.0,3.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Kochi,KALAMASSERY / CSIR Complex,99.0,2.0,27.0,3.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Kollam,"KSPCB, District Office, Kadappakada",120.0,3.0,6.0,4.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Kollam,KMML Chavara,120.0,3.0,8.0,6.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Kottayam,Kottayam,110.0,4.0,13.0,5.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Kottayam,Vadavathoor,120.0,5.0,7.0,5.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Kozhikode,Kozhikode City,117.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Kozhikode,Nallalam,120.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Malapuram,"Kakkanchery, Sijmak oils",110.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Palakkad,SEPR Refractories India Ltd.,119.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Pathanamthitta,"KSPCB, Makkamkunnu",120.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Wayanad,Sulthan Bathery,120.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Thiruvananthapuram,PRS Hospital/COSMO,108.0,7.0,9.0,8.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Thiruvananthapuram,SMV School,108.0,7.0,9.0,8.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Thiruvananthapuram,VELI / HiTech Chackai,108.0,16.0,22.0,17.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Thiruvananthapuram,PETTAH / Sasthamangalam,108.0,7.0,10.0,8.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Kerala,Thissur,"KSPCB, District Office, Poonkunnam",120.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Bhopal,"Hamidia Road, MP Hastshilp Vikas Nigam",79.0,2.0,4.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Bhopal,C E T P Govindpura,70.0,2.0,8.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Bhopal,"Nutan Subhash School, T.T. Nagar",75.0,2.0,3.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Bhopal,"Kolar Thana, Kolar Road, Bhopal",89.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Bhopal,"AKVN Office, Industrial Area Mandideep, Raisen.",72.0,5.0,13.0,8.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Dewas,EID Perry (I) Limited,64.0,12.0,18.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Dewas,Dewas Metal Section,78.0,5.0,18.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Dewas,Vikas Nagar,41.0,12.0,17.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Gwalior,Dindayal Nagar,71.0,8.0,15.0,10.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Gwalior,Maharaj Bada,71.0,7.0,16.0,11.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Indore,"M.P. Laghu Udyog, Pologround",93.0,9.0,12.0,11.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Indore,"Kothari Market, M.G. Road",85.0,7.0,12.0,11.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Indore,"Telephone Nagar, 26 A, Kanadia Road",93.0,10.0,12.0,11.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Jabalpur,Vijay Nagar,7.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Jabalpur,Udaipur Beverage Racchai,7.0,14.0,18.0,16.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Nagda,Chem. D. Labour Club,52.0,20.0,40.0,30.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Nagda,B C I Labour Club,63.0,12.0,27.0,18.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Nagda,Grasim Kalyan Kendra,95.0,7.0,20.0,14.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Sagar,Pt.Deendayal Nagar,50.0,2.0,4.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Singrauli,Jayant Township,16.0,11.0,17.0,13.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Singrauli,"N.T.P.C., Vidyanagar",18.0,11.0,18.0,13.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Singrauli,Waidhan,15.0,12.0,15.0,13.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Ujjain,District Office,79.0,12.0,21.0,16.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Ujjain,Regional Office,52.0,6.0,13.0,8.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Ujjain,Mahakal Temple,83.0,8.0,17.0,13.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Ujjain,Chamunda Mata Chouraha,73.0,12.0,19.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Chhindwara,"HIG 33, Front of Geetanali",61.0,5.0,9.0,7.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Chhindwara,"Hindustan Unileaver, Narsinghpur Road,",62.0,7.0,10.0,8.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Amlai,HJI,57.0,6.0,18.0,12.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Prithampur,"Vikas Bhavan, Sector2",69.0,5.0,10.0,8.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Madhya Pradesh,Prithampur,"RCC Over Head Tank No. 1, Sector3",68.0,6.0,10.0,8.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Dombivali/Ambernath,Dombivali MIDC PhaseII,104.0,10.0,44.0,21.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Dombivali/Ambernath,Ambernath Municipal Council Office,105.0,10.0,50.0,20.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Amravati,"Apurva Oil Industries, A23, MIDC",82.0,8.0,15.0,12.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Amravati,"Elect. Dept., Govt College Engineering",83.0,7.0,14.0,11.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Amravati,"Rajkamal Square, Vaneeta Samaj",81.0,10.0,16.0,13.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Aurangabad,S.B.E.S. College,97.0,9.0,27.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Aurangabad,Collector Ofiice,101.0,7.0,17.0,11.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Aurangabad,"C.A.D.A. Ofiice, Garkheda",97.0,9.0,25.0,14.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Badlapur,BIWA Office,99.0,10.0,97.0,21.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Chandrapur,Grampanchat Ghughus,65.0,2.0,100.0,8.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Chandrapur,M.I.D.C. Chandrapur,82.0,2.0,40.0,7.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Chandrapur,Nagar Parishad,183.0,2.0,23.0,5.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Chandrapur,"Gadchandur Gram Panchayat, Rajura",65.0,2.0,7.0,4.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Chandrapur,"MIDC, Tadali",65.0,2.0,14.0,4.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Chandrapur,"Muncipal Council, Ballarshah",69.0,2.0,13.0,4.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Jalgaon,B. J. Market,104.0,11.0,22.0,16.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Jalgaon,Girna water tank,103.0,9.0,19.0,14.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Jalgaon,MIDC Jalgaon,104.0,11.0,24.0,17.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Kolhapur,"University Campus, Shivaji University",103.0,7.0,18.0,14.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Kolhapur,"Ruikar Trust, S.T. Stand",97.0,13.0,41.0,27.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Kolhapur,"Mahadwar Road, Near Mahalaxmi Temple",103.0,10.0,36.0,22.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Latur,MIDC Water Works,99.0,4.0,13.0,5.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Latur,Kshewraj Vidyalaya Shyam nagar,97.0,4.0,14.0,5.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Latur,Sidhheshwar Sahakari Bank Ganjgolai,96.0,4.0,12.0,5.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Lote,MIDC Chalkewadi,40.0,11.0,13.0,11.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Lote,"Pump House, CETP",40.0,11.0,12.0,11.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Mumbai,"Parel TT, Ambedkar Road",66.0,2.0,12.0,4.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Mumbai,Worli,96.0,2.0,26.0,4.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nagpur,Institution of Engineers,104.0,6.0,16.0,10.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nagpur,"Govt. Polytechnic College, Sadar",102.0,7.0,17.0,11.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nagpur,MIDC Office Hingana Road,104.0,7.0,16.0,10.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna",95.0,2.0,155.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nagpur,"Nagpur Coop Building, Maskasath, Itwari",90.0,2.0,139.0,13.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nagpur,"NEERI Lab, Nehru Marg, Highway No. 7",6.0,2.0,8.0,3.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nagpur,"MPCB Office Premises, Civil Lines",305.0,6.0,15.0,9.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nashik,R.T.O. Colony Tank,97.0,3.0,30.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura",94.0,3.0,29.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nashik,Nashik Municipal Council Building,89.0,3.0,29.0,16.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nashik,"MPCB Sub R.O. Udyog Bhawan, Nashik",284.0,2.0,30.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Navi Mumbai,"T.B.I.A, Rabale Airoli, TTC",60.0,10.0,26.0,19.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Navi Mumbai,"Dr. D.Y. Patil College, Nerul, TTC",104.0,8.0,36.0,17.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Navi Mumbai,"MPCB Lab, Mhape, TTC",89.0,8.0,34.0,18.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Navi Mumbai,CIDCO Nodal Office Kharghar,101.0,7.0,27.0,17.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Navi Mumbai,"Water Pump House, Panvel, Taloja",103.0,8.0,43.0,18.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Navi Mumbai,"MIDC Collom Facility Building, Taloja",102.0,10.0,42.0,20.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Pune,"Maratha Chamber of commerce, Bhosari",92.0,9.0,97.0,27.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Pune,State Electricity Board BLDG Nalstop,89.0,8.0,74.0,21.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Pune,Swargate Police Chawki,84.0,6.0,55.0,22.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,PimpriChinchwad,"Bank of Baroda Builing, Near",263.0,9.0,84.0,23.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Sangli,"Udyog bhavan / SRO, MPCB Sangli",103.0,4.0,26.0,10.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Sangli,Sangli Miraj Primary school Building,102.0,6.0,32.0,11.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Sangli,Krishna Valley School,103.0,7.0,26.0,12.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Solapur,WIT Campus,104.0,12.0,15.0,13.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Solapur,Voronoko School / Chitale Clinic,102.0,12.0,15.0,13.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Thane,"Maternity Hospital, Dhobighat, Thane East",107.0,19.0,36.0,28.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Thane,"Shahu Market,Naupada, Thane West",103.0,18.0,37.0,29.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Thane,"Kolshet and Balkum, Thane West",101.0,18.0,33.0,26.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Ulhasnagar,Smt. C. H. M. College Campus,103.0,10.0,54.0,20.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Ulhasnagar,"Octroi Naka, PawaiChowk, Vithalwadi",60.0,11.0,47.0,23.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Jalna,"Bachat Bhawan, Near S P Office",84.0,5.0,26.0,12.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Jalna,"Krishidhan Seeds Ltd, MIDC Area",82.0,8.0,19.0,12.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Akola,"LRT Commerce College, Civil Lines, Akola",88.0,5.0,7.0,6.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Akola,"MIDC Water Work, PhashII, MIDC Akola",99.0,6.0,13.0,8.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Akola,"College Of Engineering & Tech, Akola",81.0,6.0,11.0,7.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nanded,Ganesh Nagar,105.0,22.0,30.0,27.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nanded,"Mutha Chowk, Vazirabad",104.0,36.0,43.0,38.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Maharashtra,Nanded,"Industrial Area, MIDC, CIDCO",103.0,37.0,92.0,84.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Meghalaya,khliehriat,"O/o BDO, C & R.D. BlockKhliehriat",65.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Meghalaya,Byrnihat,"EPIP, RiBhoi district",68.0,14.0,60.0,25.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Meghalaya,Dawki,"Terrace building,Jaintia Hills District",64.0,2.0,4.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Meghalaya,Umiam,Umiam Industrial Complex,68.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Meghalaya,Tura,"PHED, Araimille, West Garo Hills District",66.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Meghalaya,Nongstoin,"Office Premises of E.E, PHED, Nongstoin Division",68.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad",68.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Meghalaya,Shillong,State Tuberculosis Hospital,69.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Mizoram,Aizawl,"Khatla, M.GRoad, Mizoram SPCB",107.0,2.0,3.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Mizoram,Aizawl,Laipuitlang,105.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Mizoram,Aizawl,Bawngkawn,108.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Mizoram,Aizawl,"Dawrpui Y.M.A, Building, Dawrpui",102.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Mizoram,Lunglei,"Thangkhuma Building, Salem Veng",83.0,2.0,4.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Mizoram,Lunglei,"K.Lalliantluanga, Chanmari I, Lunglei",82.0,2.0,7.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Mizoram,Kolasib,"H. Lalthuama Building, Project Veng",99.0,2.0,3.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Mizoram,Kolasib,"Synod Bookroom, Building Diakkawn",102.0,2.0,3.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Mizoram,Champhai,"D.T.O Office Building, Kahrawt veng",105.0,2.0,3.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Mizoram,Champhai,"Lalzidinga building, Vengthlang",100.0,2.0,3.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Nagaland,Dimapur,Bank Colony,99.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Nagaland,Dimapur,Dhobinala,100.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Nagaland,Kohima,Opposite NST Office,100.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Nagaland,Kohima,Opposite War Cemetery,100.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Angul,Industrial Estate,105.0,7.0,18.0,11.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Angul,NALCO Township,105.0,8.0,14.0,10.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Balasore,Sahadevkhunta,105.0,2.0,4.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Balasore,DIC office,39.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Balasore,Rasalpur near Balgopalpur I/A,56.0,6.0,11.0,8.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Berhampur,Regional Office Orissa SPCB,87.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Puri,Sadar police station,29.0,2.0,11.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Puri,"TOWN POLICE STATION, PURI",29.0,2.0,10.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Bhubneshwar,Capital Police Station,73.0,2.0,19.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Bhubneshwar,IRC Village,74.0,2.0,18.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Bhubneshwar,Office Premises Bhubaneswar,75.0,2.0,18.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Bhubneshwar,"Patrapara, Khandagiri",73.0,2.0,8.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Bhubneshwar,Chandrashekharpur,63.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Cuttack,"Roof of Traffic Tower, Badambadi",104.0,2.0,11.0,4.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Cuttack,P.H.D Office Barabati,69.0,2.0,4.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Cuttack,"R.O. Cuttack Office, Surya Vihar",104.0,2.0,6.0,3.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Rayagada,Regional Office Orissa SPCB,104.0,2.0,17.0,4.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Rayagada,"LPS High School, Jaykaypur",104.0,2.0,7.0,4.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Paradeep,On roof of PPT Staff Quarter,32.0,10.0,30.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Paradeep,On roof of PPL Gueest,32.0,9.0,37.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Paradeep,On roof of STP building IFFCO,32.0,10.0,26.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Rourkela,"Regional Office, ORPB",105.0,2.0,17.0,7.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Rourkela,"DISIR, Rajgangpur",105.0,6.0,19.0,13.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Rourkela,"IDL Police Outpost, Sonaparbat",86.0,5.0,16.0,6.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Sambalpur,"Filter Plant, PHD Office, Modipara",38.0,4.0,5.0,4.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Talcher,Coal Field Area,52.0,7.0,12.0,10.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Talcher,T.T.P.S.Colony,52.0,8.0,13.0,10.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Konark,Konark Police Station,78.0,2.0,5.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Kalinga Nagar,Over the Guest House of M/s NINL,96.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Kalinga Nagar,Roof of RO OFFICE BUILDING,105.0,2.0,2.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Odisha,Kalinga Nagar,"Roof of maintenance Office of M/s NINL, Duburi",105.0,2.0,3.0,2.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Puducherry,Puducherry,"DSTC Office Upstairs, AnnaNagar",83.0,4.0,11.0,6.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Puducherry,Puducherry,PIPDIC Ind. Estate Mettupalayam,63.0,4.0,8.0,6.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Puducherry,Puducherry,Chamber Of Commerce,76.0,4.0,6.0,5.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Puducherry,Karaikal,B.Ed College,99.0,4.0,16.0,9.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Puducherry,Karaikal,Tourist home,96.0,8.0,27.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Puducherry,Karaikal,PPCL,96.0,7.0,25.0,15.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Amritsar,R.O. Focal Point,88.0,11.0,16.0,13.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Amritsar,"A1,Platers",67.0,12.0,16.0,13.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Amritsar,Rasulpur,26.0,6.0,8.0,7.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Bhatinda,"Bathinda Milk Producers, Dabwali Road",123.0,4.0,9.0,9.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Dera Bassi,"Punjab Chem and Crop Protection, Bhanakarpur Rd",113.0,4.0,8.0,5.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Dera Bassi,"Winsome Yarns Ltd., Barwala Road",89.0,4.0,8.0,5.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Faridkot,Basti Himmatpura,25.0,4.0,5.0,5.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Pathankot/Dera Baba,CPYTE Building,118.0,6.0,9.0,7.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Gobindgarh,"Modi Oil and General Mills, Mandi",131.0,6.0,20.0,7.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Gobindgarh,"Raj Steel Rolling Mills, Mandi",131.0,5.0,7.0,6.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Gobindgarh,"United Rolling Mills, Mandi Gobindgarh",131.0,5.0,9.0,7.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Jalandhar,Municipal Council Tubewell No. 27,18.0,12.0,15.0,13.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Jalandhar,Regional Office,31.0,11.0,15.0,13.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Jalandhar,"Punjab Maltex , Kapurthala Road",118.0,12.0,22.0,14.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Jalandhar,Focal Point,110.0,11.0,22.0,14.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Khanna,"Markfed Vanaspati, Khanna",110.0,5.0,28.0,10.0,2015,"Calendar Year (Jan - Dec), 2015"
2015,Punjab,Khanna,"AS School, Khanna",103.0,4.0,15.0,10.0,2015,"Calendar Year (Jan - Dec), 2015"
