ROWID,Country,State lgd code,State,YearCode,Year,Project proposals considered for development under pradhan mantri awas yojana,Projects sanctioned under pradhan mantri awas yojana mission,Houses for which foundation started under pradhan mantri awas yojana,Houses for which construction is complete under pradhan mantri awas yojana,Amount invested for building houses under pradhan mantri awas yojana,Amount sanctioned by the central government under pradhan mantri awas yojana,Amount released by the central government under pradhan mantri awas yojana
44,India,22,Chhattisgarh,2022,"Calendar Year (Jan - Dec), 2022",1796,301781,252861,147864,13313.86,4755.72,2899.23
45,India,23,Madhya Pradesh,2021,"Calendar Year (Jan - Dec), 2021",1602,864724,774427,464689,47937.76,13962.98,10086.52
46,India,23,Madhya Pradesh,2022,"Calendar Year (Jan - Dec), 2022",1853,958100,845204,512907,52506.62,15709.71,11671.14
47,India,24,Gujarat,2021,"Calendar Year (Jan - Dec), 2021",1604,859051,784329,621631,82639.09,16327.79,12153.73
48,India,24,Gujarat,2022,"Calendar Year (Jan - Dec), 2022",1717,1054790,873597,735070,106172.84,21060.84,15256.81
49,India,27,Maharashtra,2021,"Calendar Year (Jan - Dec), 2021",1167,1352015,789879,526134,154352.59,22724.93,11377.16
50,India,27,Maharashtra,2022,"Calendar Year (Jan - Dec), 2022",1556,1634553,862083,632424,190648.19,28620.19,13916.7
51,India,28,Andhra Pradesh,2021,"Calendar Year (Jan - Dec), 2021",1089,2040375,1644805,467317,87926.49,30993.33,10168.16
52,India,28,Andhra Pradesh,2022,"Calendar Year (Jan - Dec), 2022",1203,2071776,1873838,559100,88685.56,31555.35,14223.58
53,India,29,Karnataka,2021,"Calendar Year (Jan - Dec), 2021",2798,693541,467989,251113,49758.61,11303.83,5246.99
54,India,29,Karnataka,2022,"Calendar Year (Jan - Dec), 2022",2760,700578,590620,271909,51193.35,11493.56,5407.7
55,India,30,Goa,2021,"Calendar Year (Jan - Dec), 2021",10,4154,4096,4096,812.43,94.67,94.13
56,India,30,Goa,2022,"Calendar Year (Jan - Dec), 2022",10,3097,2867,2865,657.98,72.21,67.72
57,India,31,Lakshadweep,2021,"Calendar Year (Jan - Dec), 2021",,,,,,,
58,India,31,Lakshadweep,2022,"Calendar Year (Jan - Dec), 2022",,,,,,,
59,India,32,Kerala,2021,"Calendar Year (Jan - Dec), 2021",599,140443,124133,101267,7335.67,2304.92,1514.5
60,India,32,Kerala,2022,"Calendar Year (Jan - Dec), 2022",699,157430,127629,102281,8270.76,2611.6,1832.43
61,India,33,Tamil Nadu,2021,"Calendar Year (Jan - Dec), 2021",3689,719816,622773,448313,46466.08,11486.03,7632.41
62,India,33,Tamil Nadu,2022,"Calendar Year (Jan - Dec), 2022",4708,691236,625947,455409,48598.21,11257.92,8509.54
63,India,34,Puducherry,2021,"Calendar Year (Jan - Dec), 2021",38,14946,15545,6522,878.72,237.98,167.05
64,India,34,Puducherry,2022,"Calendar Year (Jan - Dec), 2022",45,16039,15594,6845,901.61,252.43,167.64
65,India,35,Andaman And Nicobar Islands,2021,"Calendar Year (Jan - Dec), 2021",2,602,602,43,155.9,9.21,0.9
66,India,35,Andaman And Nicobar Islands,2022,"Calendar Year (Jan - Dec), 2022",2,378,377,45,95.74,5.87,1.97
67,India,36,Telangana,2021,"Calendar Year (Jan - Dec), 2021",286,227332,238723,208268,27409.2,3970.0,2825.34
68,India,36,Telangana,2022,"Calendar Year (Jan - Dec), 2022",303,247079,235044,209576,30099.27,4396.03,3044.09
69,India,37,Ladakh,2021,"Calendar Year (Jan - Dec), 2021",8,1373,1040,497,66.63,30.61,21.72
70,India,37,Ladakh,2022,"Calendar Year (Jan - Dec), 2022",8,1363,1071,594,67.73,31.05,22.15
71,India,38,The Dadra And Nagar Haveli And Daman And Diu,2021,"Calendar Year (Jan - Dec), 2021",9,8171,7726,5514,696.21,164.47,142.52
72,India,38,The Dadra And Nagar Haveli And Daman And Diu,2022,"Calendar Year (Jan - Dec), 2022",9,10011,8789,6370,848.33,210.26,164.95
