srcStateName,srcYear,Country,StateCode,StateName,TotalPopulation,TotalPopulationUrban,YearCode,TotalPopulationRural,TotalPopulationMale,Year,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Gujarat,2022,India,24,GUJARAT,60443083,25748474,2022,34694609,31492973,"Calendar Year (Jan - Dec), 2022",13693814,17799159,28950110,12054660,16895450,12249135,5475577,6773558,733163,1.49574e+07,15690521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maharashtra,2021,India,27,MAHARASHTRA,112374333,50818259,2021,61556074,58243056,"Calendar Year (Jan - Dec), 2021",26704022,31539034,54131277,24114237,30017040,24421519,11206781,13214738,912066,2.88942e+07,29806232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maharashtra,2022,India,27,MAHARASHTRA,112374333,50818259,2022,61556074,58243056,"Calendar Year (Jan - Dec), 2022",26704022,31539034,54131277,24114237,30017040,24421519,11206781,13214738,912066,2.88942e+07,29806232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2021,India,28,ANDHRA PRADESH,49577103,14610410,2021,34966693,24830513,"Calendar Year (Jan - Dec), 2021",7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.30242e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2022,India,28,ANDHRA PRADESH,49577103,14610410,2022,34966693,24830513,"Calendar Year (Jan - Dec), 2022",7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.30242e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karnataka,2021,India,29,KARNATAKA,61095297,23625962,2021,37469335,30966657,"Calendar Year (Jan - Dec), 2021",12037303,18929354,30128640,11588659,18539981,13357027,5410370,7946657,599199.34,1.85419e+07,19141059.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karnataka,2022,India,29,KARNATAKA,61095297,23625962,2022,37469335,30966657,"Calendar Year (Jan - Dec), 2022",12037303,18929354,30128640,11588659,18539981,13357027,5410370,7946657,599199.34,1.85419e+07,19141059.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Goa,2021,India,30,GOA,1458545,906814,2021,551731,739140,"Calendar Year (Jan - Dec), 2021",463704,275436,719405,443110,276295,343611,215403,128208,77854,292350,370204.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Goa,2022,India,30,GOA,1458545,906814,2022,551731,739140,"Calendar Year (Jan - Dec), 2022",463704,275436,719405,443110,276295,343611,215403,128208,77854,292350,370204.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lakshadweep,2021,India,31,LAKSHADWEEP,64473,50332,2021,14141,33123,"Calendar Year (Jan - Dec), 2021",25880,7243,31350,24452,6898,11574,8864,2710,2137,771.28,2908.28009033203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
