ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Calendardaycode,Calendar day,City,Quality of air,Index value of air
37,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200119,2020-01-19,Jammu,,
38,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200119,2020-01-19,Pulwama,,
39,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200120,2020-01-20,Jammu,Moderate,139.87246770710090547241
40,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200120,2020-01-20,Pulwama,,
41,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200121,2020-01-21,Jammu,Moderate,140.85059685190580690928
42,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200121,2020-01-21,Pulwama,,
43,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200122,2020-01-22,Jammu,Moderate,139.87246770710090547241
44,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200122,2020-01-22,Pulwama,,
45,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200123,2020-01-23,Jammu,Moderate,143.78498428632051121989
46,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200123,2020-01-23,Pulwama,Moderate,124.22240139022248248249
47,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200124,2020-01-24,Jammu,Moderate,134.98182198307639828806
48,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200124,2020-01-24,Pulwama,,
49,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200125,2020-01-25,Jammu,Moderate,128.13491796944208822997
50,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200125,2020-01-25,Pulwama,,
51,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200126,2020-01-26,Jammu,,
52,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200126,2020-01-26,Pulwama,,
53,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200127,2020-01-27,Jammu,Moderate,135.95995112788129972493
54,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200127,2020-01-27,Pulwama,Moderate,134.00369283827149685119
55,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200128,2020-01-28,Jammu,,
56,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200128,2020-01-28,Pulwama,,
57,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200129,2020-01-29,Jammu,,
58,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200129,2020-01-29,Pulwama,,
59,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200130,2020-01-30,Jammu,Moderate,127.15678882463718679310
60,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200130,2020-01-30,Pulwama,,
61,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200131,2020-01-31,Jammu,Moderate,123.24427224541758104562
62,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200131,2020-01-31,Pulwama,,
63,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201101,2020-11-01,Jammu,,
64,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201101,2020-11-01,Pulwama,,
65,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201102,2020-11-02,Jammu,Moderate,141.82872599671070834615
66,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201102,2020-11-02,Pulwama,Moderate,155.52253402397932846233
67,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201103,2020-11-03,Jammu,Moderate,135.95995112788129972493
68,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201103,2020-11-03,Pulwama,,
69,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201104,2020-11-04,Jammu,Moderate,145.74124257593031409363
70,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201104,2020-11-04,Pulwama,,
71,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201105,2020-11-05,Jammu,Moderate,143.78498428632051121989
72,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201105,2020-11-05,Pulwama,,
73,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201106,2020-11-06,Jammu,Moderate,136.93808027268620116180
74,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201106,2020-11-06,Pulwama,Moderate,132.04743454866169397745
75,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201107,2020-11-07,Jammu,Moderate,145.74124257593031409363
76,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201107,2020-11-07,Pulwama,,
77,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201108,2020-11-08,Jammu,Moderate,140.85059685190580690928
78,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201108,2020-11-08,Pulwama,,
79,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201109,2020-11-09,Jammu,Moderate,153.56627573436952558859
80,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201109,2020-11-09,Pulwama,,
81,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201110,2020-11-10,Jammu,Moderate,139.87246770710090547241
82,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201110,2020-11-10,Pulwama,Moderate,153.56627573436952558859
83,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201111,2020-11-11,Jammu,Moderate,140.85059685190580690928
84,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201111,2020-11-11,Pulwama,,
85,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201112,2020-11-12,Jammu,Moderate,142.80685514151560978302
86,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201112,2020-11-12,Pulwama,,
87,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201113,2020-11-13,Jammu,Moderate,168.23821290644304714164
88,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201113,2020-11-13,Pulwama,,
89,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201114,2020-11-14,Jammu,Moderate,169.21634205124794857851
90,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201114,2020-11-14,Pulwama,,
91,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201115,2020-11-15,Jammu,,
92,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201115,2020-11-15,Pulwama,,
93,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201116,2020-11-16,Jammu,Moderate,103.68168934931955230822
94,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201116,2020-11-16,Pulwama,,
95,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201117,2020-11-17,Jammu,Moderate,139.87246770710090547241
96,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201117,2020-11-17,Pulwama,Moderate,133.02556369346659541432
97,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201118,2020-11-18,Jammu,Moderate,135.95995112788129972493
98,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201118,2020-11-18,Pulwama,,
99,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201119,2020-11-19,Jammu,Moderate,153.56627573436952558859
100,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201119,2020-11-19,Pulwama,,
101,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201120,2020-11-20,Jammu,Moderate,146.71937172073521553050
102,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201120,2020-11-20,Pulwama,Moderate,151.61001744475972271485
103,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201121,2020-11-21,Jammu,Moderate,152.58814658956462415172
104,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201121,2020-11-21,Pulwama,,
105,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201122,2020-11-22,Jammu,,
106,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201122,2020-11-22,Pulwama,,
107,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201123,2020-11-23,Jammu,,
108,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201123,2020-11-23,Pulwama,,
109,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201124,2020-11-24,Jammu,,
110,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201124,2020-11-24,Pulwama,,
111,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201125,2020-11-25,Jammu,,
112,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201125,2020-11-25,Pulwama,,
113,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201126,2020-11-26,Jammu,Moderate,150.63188829995482127798
114,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201126,2020-11-26,Pulwama,,
115,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201127,2020-11-27,Jammu,Moderate,147.69750086554011696737
116,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201127,2020-11-27,Pulwama,Moderate,127.15678882463718679310
117,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201128,2020-11-28,Jammu,Moderate,145.74124257593031409363
118,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201128,2020-11-28,Pulwama,,
119,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201129,2020-11-29,Jammu,,
120,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201129,2020-11-29,Pulwama,,
121,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201130,2020-11-30,Jammu,,
122,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",20201130,2020-11-30,Pulwama,,
123,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201201,2020-12-01,Jammu,,
124,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201201,2020-12-01,Pulwama,,
125,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201202,2020-12-02,Jammu,Moderate,158.45692145839403277294
126,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201202,2020-12-02,Pulwama,Moderate,128.13491796944208822997
127,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201203,2020-12-03,Jammu,Moderate,158.45692145839403277294
128,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201203,2020-12-03,Pulwama,,
129,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201204,2020-12-04,Jammu,Moderate,149.65375915514991984111
130,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201204,2020-12-04,Pulwama,,
131,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201205,2020-12-05,Jammu,Moderate,137.91620941749110259867
