Rowid,Country,State lgd code,State,District lgd code,District,Block lgd code,Block,Yearcode,Year,Maintenance cost maintenance cost for the road,Road length of state and district,Sanction cost granted by ministry of rural development to for road construction,Total work done for each state in terms of habitations connected
515,India,1,Jammu And Kashmir,12,Rajouri,112,Budhal,2017,"Calendar Year (Jan - Dec), 2017",35.9088107023812,8.33893970468435,611.333181473424,2.07046765533622083393
516,India,1,Jammu And Kashmir,12,Rajouri,112,Budhal,2018,"Calendar Year (Jan - Dec), 2018",0,0,61.7246341724692,0.74081414033208355651
517,India,1,Jammu And Kashmir,12,Rajouri,113,Darhal,2011,"Calendar Year (Jan - Dec), 2011",142.61,59,2376.32,9
518,India,1,Jammu And Kashmir,12,Rajouri,113,Darhal,2016,"Calendar Year (Jan - Dec), 2016",253.69,38.925,3801.29,11
519,India,1,Jammu And Kashmir,12,Rajouri,113,Darhal,2018,"Calendar Year (Jan - Dec), 2018",44.28,5,701.16,3
520,India,1,Jammu And Kashmir,12,Rajouri,114,Kalakote,2011,"Calendar Year (Jan - Dec), 2011",46.7643706828745,19.1313117517927,781.069370039328,4.01460135859849839115
521,India,1,Jammu And Kashmir,12,Rajouri,114,Kalakote,2016,"Calendar Year (Jan - Dec), 2016",31.0183166014003,37.989151372794,3257.60852046992,9.51774059570428384950
522,India,1,Jammu And Kashmir,12,Rajouri,114,Kalakote,2018,"Calendar Year (Jan - Dec), 2018",357.833645139814,60.4030120880822,5222.03880659121,14.30342876165113182420
523,India,1,Jammu And Kashmir,12,Rajouri,115,Manjakote,2011,"Calendar Year (Jan - Dec), 2011",12.7470011465455,19.4736811703251,953.634629071298,3.15363709711665038855
524,India,1,Jammu And Kashmir,12,Rajouri,115,Manjakote,2012,"Calendar Year (Jan - Dec), 2012",35.5792127130466,3.75571968969369,593.032924122036,0.60059440771516952751
525,India,1,Jammu And Kashmir,12,Rajouri,115,Manjakote,2016,"Calendar Year (Jan - Dec), 2016",101.25,20.8,1265.57,3
526,India,1,Jammu And Kashmir,12,Rajouri,115,Manjakote,2017,"Calendar Year (Jan - Dec), 2017",69.54,15,865.48,2
527,India,1,Jammu And Kashmir,12,Rajouri,115,Manjakote,2018,"Calendar Year (Jan - Dec), 2018",92.22,18,1152.83,3
528,India,1,Jammu And Kashmir,12,Rajouri,116,Nowshera,2011,"Calendar Year (Jan - Dec), 2011",32.4,17.82,672.26,7
529,India,1,Jammu And Kashmir,12,Rajouri,117,Rajouri,2011,"Calendar Year (Jan - Dec), 2011",29.3825528967419,15.0182746686262,631.887454683273,3.61260896271416809338
530,India,1,Jammu And Kashmir,12,Rajouri,117,Rajouri,2012,"Calendar Year (Jan - Dec), 2012",21.2692521625895,2.28745500818708,451.887093293647,0.95228350851083620128
531,India,1,Jammu And Kashmir,12,Rajouri,117,Rajouri,2016,"Calendar Year (Jan - Dec), 2016",266.46,49.6,3649.4,7
532,India,1,Jammu And Kashmir,12,Rajouri,117,Rajouri,2017,"Calendar Year (Jan - Dec), 2017",51.0100385535241,10.0934508324858,730.866919246703,2.40840597514277872892
533,India,1,Jammu And Kashmir,12,Rajouri,117,Rajouri,2018,"Calendar Year (Jan - Dec), 2018",81.8254602835502,15.0053243492545,1453.25417537386,5.36853758011264323168
534,India,1,Jammu And Kashmir,12,Rajouri,118,Sunderbani,2011,"Calendar Year (Jan - Dec), 2011",23.5385013995677,19.0473834735977,834.540074584559,3.39660914856677178190
535,India,1,Jammu And Kashmir,12,Rajouri,118,Sunderbani,2012,"Calendar Year (Jan - Dec), 2012",5.07453406795876,3.1097768936486,84.901642277575,0.67932182971335435638
536,India,1,Jammu And Kashmir,12,Rajouri,118,Sunderbani,2016,"Calendar Year (Jan - Dec), 2016",0,16.7344869089466,1286.73744375155,2.03796548914006306914
537,India,1,Jammu And Kashmir,12,Rajouri,118,Sunderbani,2018,"Calendar Year (Jan - Dec), 2018",151.99,43.225,1899.97,6
538,India,1,Jammu And Kashmir,12,Rajouri,6539,Thana Mandi,2016,"Calendar Year (Jan - Dec), 2016",151.62,32.3,1895.27,3
539,India,1,Jammu And Kashmir,12,Rajouri,6539,Thana Mandi,2017,"Calendar Year (Jan - Dec), 2017",56.36,10,704.53,1
540,India,1,Jammu And Kashmir,12,Rajouri,6701,Doongi,2011,"Calendar Year (Jan - Dec), 2011",0,5,235.39,1
541,India,1,Jammu And Kashmir,12,Rajouri,6701,Doongi,2012,"Calendar Year (Jan - Dec), 2012",12.1751638089354,3.83010705985906,245.717047929553,0.46617537018049708088
542,India,1,Jammu And Kashmir,12,Rajouri,6701,Doongi,2016,"Calendar Year (Jan - Dec), 2016",98.8,32.86,1926.38,5
543,India,1,Jammu And Kashmir,12,Rajouri,6701,Doongi,2017,"Calendar Year (Jan - Dec), 2017",21.21,12.8,766.07,3
544,India,1,Jammu And Kashmir,12,Rajouri,6701,Doongi,2018,"Calendar Year (Jan - Dec), 2018",78.19,17.8,977.46,3
545,India,1,Jammu And Kashmir,12,Rajouri,6953,Budhal New,2011,"Calendar Year (Jan - Dec), 2011",61.0322981940232,14.134279771938,1129.01183892473,3.53886006374035811615
546,India,1,Jammu And Kashmir,12,Rajouri,6953,Budhal New,2016,"Calendar Year (Jan - Dec), 2016",86.53,19.3,1081.5,2
547,India,1,Jammu And Kashmir,12,Rajouri,6953,Budhal New,2017,"Calendar Year (Jan - Dec), 2017",12.5632806730405,2.48625932168644,213.884843116904,0.72438673878764894913
548,India,1,Jammu And Kashmir,12,Rajouri,6953,Budhal New,2018,"Calendar Year (Jan - Dec), 2018",0,0,21.5953658275308,0.25918585966791644349
549,India,1,Jammu And Kashmir,12,Rajouri,6954,Khawas,2011,"Calendar Year (Jan - Dec), 2011",74.9187541377346,43.7805042362965,1385.8917799572,4.34404397160936706141
550,India,1,Jammu And Kashmir,12,Rajouri,6954,Khawas,2012,"Calendar Year (Jan - Dec), 2012",75.67,12,1261.01,1
551,India,1,Jammu And Kashmir,12,Rajouri,6954,Khawas,2016,"Calendar Year (Jan - Dec), 2016",155.85,31.8,1948.12,3
552,India,1,Jammu And Kashmir,12,Rajouri,6954,Khawas,2017,"Calendar Year (Jan - Dec), 2017",84.78,15,1059.69,1
553,India,1,Jammu And Kashmir,12,Rajouri,6954,Khawas,2018,"Calendar Year (Jan - Dec), 2018",81.74,8.9,1021.81,2
554,India,1,Jammu And Kashmir,12,Rajouri,6955,Panjgrian,2011,"Calendar Year (Jan - Dec), 2011",7.4629988534545,11.5263188296749,558.325370928702,1.84636290288334961145
555,India,1,Jammu And Kashmir,12,Rajouri,6955,Panjgrian,2012,"Calendar Year (Jan - Dec), 2012",20.8305954186126,2.22298096593386,347.203548654495,0.35163057762681708821
556,India,1,Jammu And Kashmir,12,Rajouri,6955,Panjgrian,2016,"Calendar Year (Jan - Dec), 2016",67.16,23,1258.14,3
557,India,1,Jammu And Kashmir,12,Rajouri,6955,Panjgrian,2017,"Calendar Year (Jan - Dec), 2017",42.08,9,460.33,1
558,India,1,Jammu And Kashmir,12,Rajouri,6955,Panjgrian,2018,"Calendar Year (Jan - Dec), 2018",26.81,6,335.11,1
559,India,1,Jammu And Kashmir,12,Rajouri,6956,Qila Darhal,2011,"Calendar Year (Jan - Dec), 2011",3.45605813087288,5.74963358318552,74.324371446868,0.42492518002535384292
560,India,1,Jammu And Kashmir,12,Rajouri,6956,Qila Darhal,2012,"Calendar Year (Jan - Dec), 2012",2.50174898459058,0.875734957929189,53.1522250126603,0.11201025227627404170
561,India,1,Jammu And Kashmir,12,Rajouri,6956,Qila Darhal,2016,"Calendar Year (Jan - Dec), 2016",41.53,10,519.19,1
562,India,1,Jammu And Kashmir,12,Rajouri,6956,Qila Darhal,2017,"Calendar Year (Jan - Dec), 2017",5.999943541958,3.86420179129676,85.9666131709293,0.28328345335023589528
563,India,1,Jammu And Kashmir,12,Rajouri,6956,Qila Darhal,2018,"Calendar Year (Jan - Dec), 2018",9.6245397164498,5.74467565074553,170.935824626141,0.63146241988735676832
564,India,1,Jammu And Kashmir,12,Rajouri,6957,Moughla,2011,"Calendar Year (Jan - Dec), 2011",30.128694744369,13.1845003798812,503.21645048266,2.58647121916338934576
565,India,1,Jammu And Kashmir,12,Rajouri,6957,Moughla,2016,"Calendar Year (Jan - Dec), 2016",0,23.875,1842.68,4
566,India,1,Jammu And Kashmir,12,Rajouri,6957,Moughla,2018,"Calendar Year (Jan - Dec), 2018",531.2,78.2,6639.98,8
567,India,1,Jammu And Kashmir,12,Rajouri,6958,Seri,2018,"Calendar Year (Jan - Dec), 2018",87.77,17.45,1097.01,2
568,India,1,Jammu And Kashmir,12,Rajouri,6959,Dhangri,2011,"Calendar Year (Jan - Dec), 2011",33.2456752805252,16.7107859184961,662.993206740792,2.96466751697318456552
569,India,1,Jammu And Kashmir,12,Rajouri,6959,Dhangri,2012,"Calendar Year (Jan - Dec), 2012",11.5540269122252,1.52800231839713,245.477160987608,0.51730588369040606042
570,India,1,Jammu And Kashmir,12,Rajouri,6959,Dhangri,2016,"Calendar Year (Jan - Dec), 2016",73.51,18,1576.42,2
571,India,1,Jammu And Kashmir,12,Rajouri,6959,Dhangri,2017,"Calendar Year (Jan - Dec), 2017",31.2679265290963,7.91714834984669,457.59844299204,1.51345617738311559277
572,India,1,Jammu And Kashmir,12,Rajouri,6959,Dhangri,2018,"Calendar Year (Jan - Dec), 2018",29.82,7,372.78,1
573,India,1,Jammu And Kashmir,12,Rajouri,6960,Siot,2011,"Calendar Year (Jan - Dec), 2011",13.4810270952481,6.18829893833611,433.526340145509,1.80680879923444380624
574,India,1,Jammu And Kashmir,12,Rajouri,6960,Siot,2012,"Calendar Year (Jan - Dec), 2012",2.39546593204124,0.890223106351396,40.078357722425,0.32067817028664564362
575,India,1,Jammu And Kashmir,12,Rajouri,6960,Siot,2016,"Calendar Year (Jan - Dec), 2016",1.57168339859974,6.25136171825942,772.474035778532,1.44429391515565308136
576,India,1,Jammu And Kashmir,12,Rajouri,6960,Siot,2018,"Calendar Year (Jan - Dec), 2018",175.97,34.7,2199.59,3
577,India,1,Jammu And Kashmir,12,Rajouri,6961,Lamberi,2011,"Calendar Year (Jan - Dec), 2011",2.27740607794065,1.9485054563923,38.0377647479442,0.19550947443689667502
578,India,1,Jammu And Kashmir,12,Rajouri,6961,Lamberi,2012,"Calendar Year (Jan - Dec), 2012",43.38,8,722.99,1
579,India,1,Jammu And Kashmir,12,Rajouri,6961,Lamberi,2016,"Calendar Year (Jan - Dec), 2016",57.27,10.95,715.95,2
580,India,1,Jammu And Kashmir,12,Rajouri,6961,Lamberi,2018,"Calendar Year (Jan - Dec), 2018",17.4263548601864,6.15198791191773,254.311193408788,0.69657123834886817580
581,India,1,Jammu And Kashmir,12,Rajouri,6962,Planger,2016,"Calendar Year (Jan - Dec), 2016",16.44,9.97,633.97,2
582,India,1,Jammu And Kashmir,12,Rajouri,6962,Planger,2017,"Calendar Year (Jan - Dec), 2017",67.32,13.8,841.55,2
583,India,1,Jammu And Kashmir,12,Rajouri,6962,Planger,2018,"Calendar Year (Jan - Dec), 2018",33.19,6.8,414.85,1
584,India,1,Jammu And Kashmir,13,Srinagar,122,Srinagar,2011,"Calendar Year (Jan - Dec), 2011",9.38,5.5,187.64,2
585,India,1,Jammu And Kashmir,13,Srinagar,122,Srinagar,2018,"Calendar Year (Jan - Dec), 2018",31.7,3.44,317.05,1
586,India,1,Jammu And Kashmir,13,Srinagar,6875,Harwan Rural Area Dara,2011,"Calendar Year (Jan - Dec), 2011",24.91,12.8,498.24,4
587,India,1,Jammu And Kashmir,13,Srinagar,6875,Harwan Rural Area Dara,2016,"Calendar Year (Jan - Dec), 2016",0,3.2,78.28,1
588,India,1,Jammu And Kashmir,13,Srinagar,6875,Harwan Rural Area Dara,2018,"Calendar Year (Jan - Dec), 2018",14.44,3.2,144.46,1
589,India,1,Jammu And Kashmir,14,Udhampur,124,Chenani,2011,"Calendar Year (Jan - Dec), 2011",301.972447163515,138.891177524909,5131.98147942158,13.53281423804226918804
590,India,1,Jammu And Kashmir,14,Udhampur,124,Chenani,2012,"Calendar Year (Jan - Dec), 2012",25.566932726231,5.0230076978709,425.986590477339,0.96716219883605222688
591,India,1,Jammu And Kashmir,14,Udhampur,124,Chenani,2017,"Calendar Year (Jan - Dec), 2017",0,16.3506114188662,912.622235817575,1.84538375973303670746
592,India,1,Jammu And Kashmir,14,Udhampur,124,Chenani,2018,"Calendar Year (Jan - Dec), 2018",218.412573284421,35.4787469664228,2658.83993134318,3.23838050684885403696
593,India,1,Jammu And Kashmir,14,Udhampur,125,Dudu,2011,"Calendar Year (Jan - Dec), 2011",189.923980212305,78.8357583815445,3708.05559105431,11.74337833659692878498
594,India,1,Jammu And Kashmir,14,Udhampur,125,Dudu,2016,"Calendar Year (Jan - Dec), 2016",0,7.9,601.83,2
595,India,1,Jammu And Kashmir,14,Udhampur,125,Dudu,2017,"Calendar Year (Jan - Dec), 2017",0,0,728.351957445237,4.81046137933582061984
596,India,1,Jammu And Kashmir,14,Udhampur,125,Dudu,2018,"Calendar Year (Jan - Dec), 2018",42.36,7.9,529.69,2
597,India,1,Jammu And Kashmir,14,Udhampur,126,Ghordi,2011,"Calendar Year (Jan - Dec), 2011",231.608861939372,159.803064336293,6017.98642058906,18.30471349812089203809
598,India,1,Jammu And Kashmir,14,Udhampur,126,Ghordi,2016,"Calendar Year (Jan - Dec), 2016",0,23.225,2008.92,3
599,India,1,Jammu And Kashmir,14,Udhampur,126,Ghordi,2018,"Calendar Year (Jan - Dec), 2018",116.62,23.225,1457.74,2
600,India,1,Jammu And Kashmir,14,Udhampur,129,Majalta,2011,"Calendar Year (Jan - Dec), 2011",69.99,42.679,1419.97,16
601,India,1,Jammu And Kashmir,14,Udhampur,129,Majalta,2016,"Calendar Year (Jan - Dec), 2016",45.09,13.95,1117.23,4
602,India,1,Jammu And Kashmir,14,Udhampur,129,Majalta,2017,"Calendar Year (Jan - Dec), 2017",0,0,190.7,1
603,India,1,Jammu And Kashmir,14,Udhampur,129,Majalta,2018,"Calendar Year (Jan - Dec), 2018",90.85,15.825,1135.68,4
604,India,1,Jammu And Kashmir,14,Udhampur,130,Panchari,2011,"Calendar Year (Jan - Dec), 2011",213.037263855644,91.8694754958529,4512.79728300497,12.38865770576321119505
605,India,1,Jammu And Kashmir,14,Udhampur,130,Panchari,2012,"Calendar Year (Jan - Dec), 2012",75.7573533083645,19.2520861766098,1331.81835205993,2.83395755305867665420
606,India,1,Jammu And Kashmir,14,Udhampur,130,Panchari,2016,"Calendar Year (Jan - Dec), 2016",0,22.425,2064.18,3
607,India,1,Jammu And Kashmir,14,Udhampur,130,Panchari,2017,"Calendar Year (Jan - Dec), 2017",76.8859156693058,23.0836997720238,2297.56233916406,5.71784201804455901310
608,India,1,Jammu And Kashmir,14,Udhampur,130,Panchari,2018,"Calendar Year (Jan - Dec), 2018",392.5,63.436,5979.59,17
609,India,1,Jammu And Kashmir,14,Udhampur,132,Ramnagar,2011,"Calendar Year (Jan - Dec), 2011",159.781120866567,85.7602995733003,3999.15240992659,13.14625425772737850924
610,India,1,Jammu And Kashmir,14,Udhampur,132,Ramnagar,2016,"Calendar Year (Jan - Dec), 2016",35.51,10.425,728.56,2
611,India,1,Jammu And Kashmir,14,Udhampur,132,Ramnagar,2017,"Calendar Year (Jan - Dec), 2017",63.527313398927,8.75770413730039,900.669744324636,3.19393229758305517205
612,India,1,Jammu And Kashmir,14,Udhampur,132,Ramnagar,2018,"Calendar Year (Jan - Dec), 2018",165.33,31.275,2605.82,8
613,India,1,Jammu And Kashmir,14,Udhampur,134,Udhampur,2011,"Calendar Year (Jan - Dec), 2011",115.351875129117,77.286914365986,3018.74357442901,25.26786411109835877412
614,India,1,Jammu And Kashmir,14,Udhampur,134,Udhampur,2012,"Calendar Year (Jan - Dec), 2012",44.8626851830598,8.02940035173209,747.725004590841,1.63018478136118443704
615,India,1,Jammu And Kashmir,14,Udhampur,134,Udhampur,2016,"Calendar Year (Jan - Dec), 2016",84.87,42.45,3318.26,7
616,India,1,Jammu And Kashmir,14,Udhampur,134,Udhampur,2017,"Calendar Year (Jan - Dec), 2017",0,3.79822124481445,369.114589119706,0.81509239068059221852
617,India,1,Jammu And Kashmir,14,Udhampur,134,Udhampur,2018,"Calendar Year (Jan - Dec), 2018",530.17,89.63,7244.1,19
618,India,1,Jammu And Kashmir,14,Udhampur,6924,Jaganoo,2011,"Calendar Year (Jan - Dec), 2011",146.735556041685,42.6418424437102,2752.77821590945,7.56199529436258458473
619,India,1,Jammu And Kashmir,14,Udhampur,6924,Jaganoo,2012,"Calendar Year (Jan - Dec), 2012",9.98370362552644,1.00703904560154,166.344704439687,0.37766989315401702700
620,India,1,Jammu And Kashmir,14,Udhampur,6924,Jaganoo,2016,"Calendar Year (Jan - Dec), 2016",0,6.85,453.97,1
621,India,1,Jammu And Kashmir,14,Udhampur,6924,Jaganoo,2017,"Calendar Year (Jan - Dec), 2017",0,3.27805671594649,356.372429263677,0.72060910590311073606
622,India,1,Jammu And Kashmir,14,Udhampur,6924,Jaganoo,2018,"Calendar Year (Jan - Dec), 2018",79.42,15.4,992.69,2
623,India,1,Jammu And Kashmir,14,Udhampur,6925,Khoon,2011,"Calendar Year (Jan - Dec), 2011",0,10.2,510.95,2
624,India,1,Jammu And Kashmir,14,Udhampur,6925,Khoon,2016,"Calendar Year (Jan - Dec), 2016",0,23.2,1806.58,5
625,India,1,Jammu And Kashmir,14,Udhampur,6925,Khoon,2017,"Calendar Year (Jan - Dec), 2017",19.58,3.35,209.42,1
626,India,1,Jammu And Kashmir,14,Udhampur,6925,Khoon,2018,"Calendar Year (Jan - Dec), 2018",145.62,30.1,1820.22,6
627,India,1,Jammu And Kashmir,14,Udhampur,6926,Kulwanta,2011,"Calendar Year (Jan - Dec), 2011",0,7,489.72,1
628,India,1,Jammu And Kashmir,14,Udhampur,6926,Kulwanta,2016,"Calendar Year (Jan - Dec), 2016",0,23.45,1337.94,3
629,India,1,Jammu And Kashmir,14,Udhampur,6926,Kulwanta,2017,"Calendar Year (Jan - Dec), 2017",17.3000349522029,3.97491018268116,588.241368527248,3.13494016171185191314
630,India,1,Jammu And Kashmir,14,Udhampur,6926,Kulwanta,2018,"Calendar Year (Jan - Dec), 2018",241.24,41.45,3015.75,5
631,India,1,Jammu And Kashmir,14,Udhampur,6927,Latti,2011,"Calendar Year (Jan - Dec), 2011",0,13.5,724.11,2
632,India,1,Jammu And Kashmir,14,Udhampur,6927,Latti,2012,"Calendar Year (Jan - Dec), 2012",3.77251887143302,0.919846083031203,62.856286624652,0.14270924423805646856
633,India,1,Jammu And Kashmir,14,Udhampur,6927,Latti,2016,"Calendar Year (Jan - Dec), 2016",0,65.65,5051.42,3
634,India,1,Jammu And Kashmir,14,Udhampur,6927,Latti,2017,"Calendar Year (Jan - Dec), 2017",76.22,29.952,2196.98,4
635,India,1,Jammu And Kashmir,14,Udhampur,6927,Latti,2018,"Calendar Year (Jan - Dec), 2018",431.86,82.102,5398.35,5
636,India,1,Jammu And Kashmir,14,Udhampur,6928,Moungri,2011,"Calendar Year (Jan - Dec), 2011",32.95,10.1,549.05,2
637,India,1,Jammu And Kashmir,14,Udhampur,6928,Moungri,2012,"Calendar Year (Jan - Dec), 2012",54.1642534551109,18.0744924956293,952.21049346212,2.02619532601791620125
638,India,1,Jammu And Kashmir,14,Udhampur,6928,Moungri,2016,"Calendar Year (Jan - Dec), 2016",0,22.15,1978.55,2
639,India,1,Jammu And Kashmir,14,Udhampur,6928,Moungri,2017,"Calendar Year (Jan - Dec), 2017",0,18.29,1623.85,2
640,India,1,Jammu And Kashmir,14,Udhampur,6928,Moungri,2018,"Calendar Year (Jan - Dec), 2018",511.19,78.145,6694.61,6
641,India,1,Jammu And Kashmir,14,Udhampur,6929,Narsoo,2011,"Calendar Year (Jan - Dec), 2011",0,7.4,426.41,1
642,India,1,Jammu And Kashmir,14,Udhampur,6929,Narsoo,2012,"Calendar Year (Jan - Dec), 2012",7.53387801666516,2.00121239334927,125.526634100252,0.28499633125270130366
643,India,1,Jammu And Kashmir,14,Udhampur,6929,Narsoo,2017,"Calendar Year (Jan - Dec), 2017",0,38.475,2542.05,4
644,India,1,Jammu And Kashmir,14,Udhampur,6929,Narsoo,2018,"Calendar Year (Jan - Dec), 2018",181.57,38.475,2269.64,4
645,India,1,Jammu And Kashmir,14,Udhampur,6930,Chanunta Dalsar,2011,"Calendar Year (Jan - Dec), 2011",81.2036540785749,35.6257282000996,2109.94727686628,6.41775798413933544135
646,India,1,Jammu And Kashmir,14,Udhampur,6930,Chanunta Dalsar,2016,"Calendar Year (Jan - Dec), 2016",0,75.275,4663.03,9
647,India,1,Jammu And Kashmir,14,Udhampur,6930,Chanunta Dalsar,2018,"Calendar Year (Jan - Dec), 2018",729.96,124.086,8898.24,11
648,India,1,Jammu And Kashmir,14,Udhampur,6931,Parli Dhar,2011,"Calendar Year (Jan - Dec), 2011",83.334898921128,58.3889420451552,1884.8719990191,6.11036740567569270578
649,India,1,Jammu And Kashmir,14,Udhampur,6931,Parli Dhar,2016,"Calendar Year (Jan - Dec), 2016",89.36,24.025,1921.27,2
650,India,1,Jammu And Kashmir,14,Udhampur,6931,Parli Dhar,2017,"Calendar Year (Jan - Dec), 2017",18.6226516488702,4.79238568001845,403.986929702879,1.86066616136927229497
651,India,1,Jammu And Kashmir,14,Udhampur,6931,Parli Dhar,2018,"Calendar Year (Jan - Dec), 2018",59.07,11.025,738.32,1
652,India,1,Jammu And Kashmir,14,Udhampur,6932,Sewna,2011,"Calendar Year (Jan - Dec), 2011",71.019480776853,34.5331874949879,1206.96660721363,3.18271898533491874752
653,India,1,Jammu And Kashmir,14,Udhampur,6932,Sewna,2012,"Calendar Year (Jan - Dec), 2012",6.01296676014434,1.24889478014709,100.18578435807,0.22746233251917297390
654,India,1,Jammu And Kashmir,14,Udhampur,6932,Sewna,2016,"Calendar Year (Jan - Dec), 2016",151.49,20,1893.73,1
655,India,1,Jammu And Kashmir,14,Udhampur,6932,Sewna,2017,"Calendar Year (Jan - Dec), 2017",0,4.06533186518728,214.635334918748,0.43400713436385255648
656,India,1,Jammu And Kashmir,14,Udhampur,6932,Sewna,2018,"Calendar Year (Jan - Dec), 2018",51.367426715579,8.82125303357713,625.320068656817,0.76161949315114596304
657,India,1,Jammu And Kashmir,14,Udhampur,6933,Tikri,2011,"Calendar Year (Jan - Dec), 2011",36.6808610152391,29.7136101381611,907.509142566014,6.34347818313843003083
658,India,1,Jammu And Kashmir,14,Udhampur,6933,Tikri,2012,"Calendar Year (Jan - Dec), 2012",13.9157080534647,4.01902097602877,235.346149887114,0.50966233956222270756
659,India,1,Jammu And Kashmir,14,Udhampur,6933,Tikri,2016,"Calendar Year (Jan - Dec), 2016",0,2.5,202.93,1
660,India,1,Jammu And Kashmir,14,Udhampur,6933,Tikri,2017,"Calendar Year (Jan - Dec), 2017",3.79408433069416,3.24307898316173,197.113071716236,0.46706559127484876838
661,India,1,Jammu And Kashmir,14,Udhampur,6933,Tikri,2018,"Calendar Year (Jan - Dec), 2018",64.53,11.05,806.64,2
662,India,1,Jammu And Kashmir,620,Kishtwar,42,Dachhan,2016,"Calendar Year (Jan - Dec), 2016",0,49,4294.25,1
663,India,1,Jammu And Kashmir,620,Kishtwar,42,Dachhan,2017,"Calendar Year (Jan - Dec), 2017",0,3.6,285.79,1
664,India,1,Jammu And Kashmir,620,Kishtwar,42,Dachhan,2018,"Calendar Year (Jan - Dec), 2018",181.63,38.6,2270.31,2
665,India,1,Jammu And Kashmir,620,Kishtwar,44,Drabshalla,2011,"Calendar Year (Jan - Dec), 2011",18.1,20,1268.41,2
666,India,1,Jammu And Kashmir,620,Kishtwar,44,Drabshalla,2012,"Calendar Year (Jan - Dec), 2012",3.44505056266041,1.24047220680191,57.4848040011407,0.65123829161822449382
667,India,1,Jammu And Kashmir,620,Kishtwar,44,Drabshalla,2017,"Calendar Year (Jan - Dec), 2017",47.957187794766,9.08463469099048,561.562778862395,0.65123829161822449382
668,India,1,Jammu And Kashmir,620,Kishtwar,46,Inderwal,2011,"Calendar Year (Jan - Dec), 2011",0,3.55751991567362,269.407307286167,0.85697524345887598264
669,India,1,Jammu And Kashmir,620,Kishtwar,46,Inderwal,2016,"Calendar Year (Jan - Dec), 2016",112.610831866714,18.7866543940651,1407.62897101959,5.14185146075325589584
670,India,1,Jammu And Kashmir,620,Kishtwar,46,Inderwal,2017,"Calendar Year (Jan - Dec), 2017",78.4646532910947,13.9996703417312,1061.54808870116,2.57092573037662794792
671,India,1,Jammu And Kashmir,620,Kishtwar,46,Inderwal,2018,"Calendar Year (Jan - Dec), 2018",0,0,79.9129414525402,0.42848762172943799132
672,India,1,Jammu And Kashmir,620,Kishtwar,47,Kishtwar,2012,"Calendar Year (Jan - Dec), 2012",60.507326578332,11.2163753464443,1008.27436671863,2.50720966484801247078
673,India,1,Jammu And Kashmir,620,Kishtwar,47,Kishtwar,2016,"Calendar Year (Jan - Dec), 2016",15.2563708106002,10.0601164418088,1964.97125194856,2.50720966484801247078
674,India,1,Jammu And Kashmir,620,Kishtwar,47,Kishtwar,2017,"Calendar Year (Jan - Dec), 2017",90.7568111847233,9.77460870571747,1770.64996687451,3.34294621979734996104
675,India,1,Jammu And Kashmir,620,Kishtwar,47,Kishtwar,2018,"Calendar Year (Jan - Dec), 2018",293.631859898675,20.1714535405907,3077.34914263445,4.59655105222135619643
676,India,1,Jammu And Kashmir,620,Kishtwar,49,Marwah,2012,"Calendar Year (Jan - Dec), 2012",86.89,35.105,1448.22,2
677,India,1,Jammu And Kashmir,620,Kishtwar,49,Marwah,2016,"Calendar Year (Jan - Dec), 2016",0,25.5,1434.37,2
678,India,1,Jammu And Kashmir,620,Kishtwar,49,Marwah,2018,"Calendar Year (Jan - Dec), 2018",117.23,25.5,2419.24,7
679,India,1,Jammu And Kashmir,620,Kishtwar,51,Padder,2012,"Calendar Year (Jan - Dec), 2012",47.54,13.57,792.36,1
680,India,1,Jammu And Kashmir,620,Kishtwar,51,Padder,2016,"Calendar Year (Jan - Dec), 2016",0,39.05,3636.67,3
681,India,1,Jammu And Kashmir,620,Kishtwar,51,Padder,2017,"Calendar Year (Jan - Dec), 2017",0,61.5,5681.77,6
682,India,1,Jammu And Kashmir,620,Kishtwar,51,Padder,2018,"Calendar Year (Jan - Dec), 2018",881.15,118.55,10198.67,15
683,India,1,Jammu And Kashmir,620,Kishtwar,55,Warwan,2011,"Calendar Year (Jan - Dec), 2011",0,11.4,427.15,1
684,India,1,Jammu And Kashmir,620,Kishtwar,55,Warwan,2012,"Calendar Year (Jan - Dec), 2012",31.6,12,526.41,1
685,India,1,Jammu And Kashmir,620,Kishtwar,55,Warwan,2016,"Calendar Year (Jan - Dec), 2016",232.33,25.5,2904.15,1
686,India,1,Jammu And Kashmir,620,Kishtwar,55,Warwan,2017,"Calendar Year (Jan - Dec), 2017",53.81,24,1646.68,2
687,India,1,Jammu And Kashmir,620,Kishtwar,55,Warwan,2018,"Calendar Year (Jan - Dec), 2018",54.31,12,870.22,2
688,India,1,Jammu And Kashmir,620,Kishtwar,6901,Palmar,2012,"Calendar Year (Jan - Dec), 2012",23.2492595479345,9.73729288317695,387.418082618862,0.96336710833982852688
689,India,1,Jammu And Kashmir,620,Kishtwar,6901,Palmar,2016,"Calendar Year (Jan - Dec), 2016",5.86208885424786,8.73350768025157,755.018098207327,0.96336710833982852688
690,India,1,Jammu And Kashmir,620,Kishtwar,6901,Palmar,2017,"Calendar Year (Jan - Dec), 2017",34.8722837100546,8.48564931595252,680.352330475448,1.28448947778643803584
