srcYear,srcStateName,srcDistrictName,srcBlockName,Maintenance cost Maintenance cost for the road,Road length of state and district,Sanction cost granted by ministry of rural development to for road construction,Total work done for each state in terms of Habitations connected,YearCode,Year
2012-13,Manipur,Bishnupur,Moirang,0,0,73.66,1,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Imphal East,Imphal East-I,0,0,186.91,2,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Imphal East,Jiribam,0,0,541.71,4,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Imphal West,Imphal West-I,0,0,221.16,1,2012,"Calendar Year (Jan - Dec), 2012"
2020-21,Manipur,Ukhrul,Chingai,22.2,0,221.96,1,2020,"Calendar Year (Jan - Dec), 2020"
2012-13,Manipur,Imphal West,Imphal West-II,0,0,84.77,1,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Thoubal,Kakching,0,0,167.14,1,2012,"Calendar Year (Jan - Dec), 2012"
2013-14,Manipur,Bishnupur,Moirang,105.77,20.36,1057.77,6,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Imphal East,Imphal East _II,54.48,14.35,544.82,3,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Imphal East,Imphal East-I,187.17,39.063,1871.41,10,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Imphal East,Jiribam,68.8,11.97,683.99,3,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Imphal West,Imphal West-I,130.48,32.09,1266.37,14,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Imphal West,Imphal West-II,81.4,19.26,814.18,10,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Thoubal,Kakching,157.85,24.3,1043.97,5,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Thoubal,Thoubal,303.13,43.3,2069.19,9,2013,"Calendar Year (Jan - Dec), 2013"
2014-15,Manipur,Bishnupur,Moirang,269.33,43.69,2051.61,10,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Imphal East,Imphal East _II,326.5,53.85,2542.24,9,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Imphal East,Imphal East-I,310.61,47.9,2247.78,13,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Imphal East,Jiribam,44.8,6.45,296.33,1,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Imphal West,Imphal West-I,384.9,71.72,3043.77,16,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Imphal West,Imphal West-II,323.31,50.93,2417.69,16,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Thoubal,Kakching,536.67,75.8,4048.87,17,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Thoubal,Thoubal,474.27,70.7,3623.61,16,2014,"Calendar Year (Jan - Dec), 2014"
2017-18,Manipur,Bishnupur,Moirang,426.73,24.2,4267.92,13,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Imphal East,Imphal East _II,541.76,6.54,5971.8,10,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Imphal East,Imphal East-I,651.13,44.85,7792.31,18,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Imphal East,Jiribam,82.62,19.67,1111.04,9,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Imphal West,Imphal West-I,30.82,5.95,518.64,4,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Imphal West,Imphal West-II,131.36,20.49,1094.78,10,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Thoubal,Kakching,249.14,25.1,2625.63,6,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Thoubal,Thoubal,355.76,21.5,3624.45,7,2017,"Calendar Year (Jan - Dec), 2017"
2018-19,Manipur,Imphal East,Imphal East _II,215.01,15,2145.88,3,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Imphal East,Imphal East-I,68.14,0,681.39,1,2018,"Calendar Year (Jan - Dec), 2018"
2020-21,Manipur,Imphal East,Imphal East _II,164.68,0,1634.93,4,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Imphal East,Imphal East-I,172.57,0,1725.8,4,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Imphal West,Imphal West-I,120.05,0,1200.62,4,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Imphal West,Imphal West-II,183.07,0,1830.77,4,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Thoubal,Kakching,259.13,0,2591.02,7,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Thoubal,Thoubal,109.39,0,1094.15,3,2020,"Calendar Year (Jan - Dec), 2020"
2012-13,Manipur,Senapati,Purul,0,0,79.4,1,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Senapati,Saikul,223.17,81.18,3344.13,9,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Senapati,Saitu Gamphazol,74,26.91,1278.61,4,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Tamenglong,Tamei,0,0,307.22,2,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Tamenglong,Tamenglong,49.5,18,852.34,3,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Tamenglong,Tousem,0,0,156.75,1,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Ukhrul,Chingai,101.52,30,2267.57,8,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Ukhrul,Kamjong,181.4,66,2692.85,7,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Ukhrul,Kasom Khullen,103.79,37.75,1268.77,3,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Ukhrul,Phungyar,0,0,372.67,3,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Ukhrul,Ukhrul,40,14.55,928.61,4,2012,"Calendar Year (Jan - Dec), 2012"
2013-14,Manipur,Churachandpur,Singhat,131.04,29.1,1312.36,4,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Churachandpur,Thanlon,347.27,70.51,3472.44,9,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Senapati,Kangpokpi,147.13,34.06,2088.6,10,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Senapati,Paomata,108.2,24.02,1206.91,4,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Senapati,Purul,179.49,41.05,1630.9,4,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Senapati,Saikul,247.04,49.71,2235.45,6,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Senapati,Saitu Gamphazol,111.96,28.62,1119.51,3,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Tamenglong,Nungba,146.44,30.98,1309.42,3,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Tamenglong,Tamei,460.47,86.05,3567.37,9,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Tamenglong,Tamenglong,164.57,30.1,1169.61,4,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Tamenglong,Tousem,113.13,15.95,660.92,2,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Ukhrul,Chingai,375.1,79.73,3588.2,8,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Ukhrul,Kamjong,112.5,82.37,3535.45,8,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Ukhrul,Kasom Khullen,116.87,32.78,1365.44,4,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Ukhrul,Phungyar,227.42,51.5,2144.89,6,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Ukhrul,Ukhrul,69.43,55.9,2093.39,6,2013,"Calendar Year (Jan - Dec), 2013"
2014-15,Manipur,Senapati,Kangpokpi,38.64,11.7,521.12,3,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Senapati,Paomata,145.6,26.3,1327.3,3,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Senapati,Purul,392.16,63.4,3269.65,6,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Senapati,Saikul,97.28,30,1311.42,3,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Senapati,Saitu Gamphazol,142.56,39.1,1983.8,5,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Tamenglong,Nungba,171.82,60.53,2315.77,6,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Tamenglong,Tamei,138.16,40,2311.24,6,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Tamenglong,Tamenglong,211,49.5,2199.52,6,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Tamenglong,Tousem,29.52,10,397.92,1,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Ukhrul,Chingai,326.42,54,2555.09,5,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Ukhrul,Kamjong,616.89,40.55,2005.8,4,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Ukhrul,Phungyar,13.92,4.02,187.52,1,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Ukhrul,Ukhrul,153.76,74.064,3107.9,6,2014,"Calendar Year (Jan - Dec), 2014"
2017-18,Manipur,Churachandpur,Samulamlan,283.68,54.7,2837.06,5,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Churachandpur,Singhat,556.22,108.4,5562.24,10,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Churachandpur,Thanlon,575.57,123.22,5758.64,6,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Senapati,Kangpokpi,591.13,109.339,5960.77,16,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Senapati,Paomata,76.47,14.5,764.69,2,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Senapati,Saitu Gamphazol,346.37,71.31,3463.46,10,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Tamenglong,Nungba,989.44,169.5,10149.99,13,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Tamenglong,Tamei,516.4,99.1,5524.07,8,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Tamenglong,Tamenglong,566.97,89.77,5995.53,8,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Tamenglong,Tousem,818.6,137.93,8698.45,13,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Ukhrul,Chingai,427.42,86,4274.17,6,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Ukhrul,Kamjong,616.23,125.87,6206.07,11,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Ukhrul,Kasom Khullen,255.45,51.93,2554.54,6,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Ukhrul,Phungyar,672.38,107.82,6723.14,9,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Ukhrul,Ukhrul,549.23,110.85,5491.87,9,2017,"Calendar Year (Jan - Dec), 2017"
2018-19,Manipur,Chandel,Machi,202.64,43.1,2026.36,2,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Chandel,Tengnoupal,395.92,89,3959.17,6,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Churachandpur,Churachandpur,484.66,88.45,4846.56,8,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Churachandpur,Henglep,1468.04,244.5,14563.01,13,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Churachandpur,Parbung,630.09,87.4,6329.42,5,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Churachandpur,Samulamlan,171.98,28.03,1719.86,3,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Churachandpur,Singhat,211.64,30,2116.32,2,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Churachandpur,Thanlon,197.1,37.78,1971,2,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Senapati,Kangpokpi,137.67,24.89,1377.03,6,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Senapati,Paomata,54.43,10.5,544.33,1,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Senapati,Purul,87.61,15.87,942.19,3,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Senapati,Saikul,542.94,108.62,5429.82,13,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Senapati,Saitu Gamphazol,132.96,26.54,1329.71,5,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Tamenglong,Nungba,948.73,165.46,9487.28,10,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Tamenglong,Tamei,719.47,148.52,7194.74,8,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Tamenglong,Tamenglong,313.1,61.05,3131.04,3,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Tamenglong,Tousem,76.46,18.05,764.59,2,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Ukhrul,Chingai,71.52,12,816.79,2,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Ukhrul,Kamjong,642.74,106,7016.22,8,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Ukhrul,Kasom Khullen,200.85,38,2120.69,4,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Ukhrul,Phungyar,104.05,17.02,1043.81,4,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Ukhrul,Ukhrul,310.22,72.4,3102.23,5,2018,"Calendar Year (Jan - Dec), 2018"
2020-21,Manipur,Senapati,Kangpokpi,77.22,0,772.75,2,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Tamenglong,Tamei,46.46,0,464.67,2,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Tamenglong,Tamenglong,15,0,198.27,1,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Tamenglong,Tousem,55.2,0,552.24,3,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Ukhrul,Kasom Khullen,13.27,0,132.67,1,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Ukhrul,Phungyar,87.75,0,876.67,6,2020,"Calendar Year (Jan - Dec), 2020"
2013-14,Madhya Pradesh,Bhopal,Phanda,7.82,3.5,1668.71,3,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Madhya Pradesh,Burhanpur,Burhanpur,9.6,4.3,385.57,2,2013,"Calendar Year (Jan - Dec), 2013"
2011-12,West Bengal,South 24-Parganas,Falta,19.95,6.5,340.59,1,2011,"Calendar Year (Jan - Dec), 2011"
2012-13,Jammu And Kashmir,Budgam,Budgam,0,0,112.5,1,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Jharkhand,Bokaro,Chas,0,0,112.67,1,2012,"Calendar Year (Jan - Dec), 2012"
2013-14,Bihar,Darbhanga,Baheri,291.97,57.364,4083.08,27,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Bihar,Gaya,Amas,283.46,55.621,3254.74,23,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Kerala,Palakkad,Nenmara,20.7,4.025,229.98,2,2013,"Calendar Year (Jan - Dec), 2013"
2011-12,Bihar,Arwal,Arwal,55.08,22.569,1044.95,13,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Arwal,Banshi Surajpur,9.74,3.368,168.35,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Arwal,Kaler,36.28,14.947,691.67,7,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Arwal,Karpi,22.61,12.303,591.99,8,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Arwal,Kurtha,74.17,31.42,1481.2,12,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Aurangabad,Aurangabad,51.89,21.824,894.8,6,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Aurangabad,Daudnagar,32.3,12.5,589.71,5,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Aurangabad,Deo,37.87,15.507,729.12,7,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Aurangabad,Goh,27.14,13.496,656.97,7,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Aurangabad,Haspura,36.12,11.739,495.91,6,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Aurangabad,Kutumba,1.64,1.01,54.1,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Aurangabad,Madanpur,72.1,30.686,1438.35,10,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Aurangabad,Nabinagar,133,54.933,2571.62,11,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Aurangabad,Obra,89.81,41.542,1950.89,13,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Aurangabad,Rafiganj,105.44,41.311,1891.78,11,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,East Champaran,Banjaria,0,0,149.74,2,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,East Champaran,Kotwa,0,0,50.01,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,East Champaran,Paharpur,0,0,520.52,3,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,East Champaran,Turkaulia,0,0,82.45,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Amas,20.13,4.5,214.21,2,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Banke Bazar,230.32,53.15,2561.77,11,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Barachatti,24.73,5.8,286.26,2,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Bathani,16.44,6.158,305.28,3,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Bodh Gaya,15.48,8.567,447.12,4,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Dobhi,43.81,15.1,665.56,3,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Fatehpur,21.06,12.37,626.05,7,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Gaya sadar,16.07,9.457,450.44,5,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Gurua,169.65,47.492,2821.86,20,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Imamganj,221.93,56.01,2786.18,13,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Khijasarai,4.33,2.686,147.47,3,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Konch,16.18,9.261,490.12,4,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Mohanpur,403.69,105.3,4806.3,11,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Mohra,10.38,6.117,305.09,3,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Paraiya,23.56,13.782,689.09,7,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Sherghati,107.58,27.95,1218.45,5,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Tankuppa,20.34,12.121,588.14,6,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Gaya,Wazirganj,36.91,13.528,649.66,6,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jahanabad,Ghosi,17.33,5.633,276.08,2,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jahanabad,Hulashganj,4.84,1.703,71.67,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jahanabad,Jahanabad,46.14,21.246,935.45,15,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jahanabad,Kako,64.92,30.053,1356.2,14,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jahanabad,Makhdumpur,91.67,39.39,1828.99,16,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jahanabad,Ratni Faridpur,89.48,37.907,1929.69,18,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jamui,Barhat,7.77,4.23,203.25,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jamui,Chakai,140.98,83.216,4807.24,8,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jamui,Gidhaur,16.54,9.291,467.04,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jamui,Jhajha,86.39,48.508,2382.4,19,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jamui,Khaira,70,35.834,1611.71,4,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jamui,Laxmipur,27.05,17.134,868.49,4,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jamui,Sikandra,32.26,16.313,653.46,6,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Jamui,Sono,70.91,37.204,1838.84,10,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Madhubani,Madhepur,0,0,362.33,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Muzaffarpur,Minapur,0,0,224.5,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Akbarpur,133.31,38.317,1701.37,14,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Govindpur,24.74,6.901,343.71,3,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Hisua,68.77,20.483,876.28,9,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Kashichak,35.34,10.159,436.77,7,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Kauakol,41.16,11.778,528.62,5,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Meskaur,51.13,15.041,673.67,6,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Nardiganj,21.67,6.069,361.73,5,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Narhat,7.36,2.192,80.19,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Nawada,17.14,4.872,272.09,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Pakri Barwan,12.8,3.496,137.21,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Rajauli,19.68,5.535,258.19,3,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Roh,4.86,1.46,58.77,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Sirdala,35.42,9.923,407.14,3,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Nawada,Warsalliganj,3.4,0.992,40.51,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Patna,Fatuhan,0,0,163.21,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Purnia,Amaur,0,0,414.16,4,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Purnia,Dagarua,0,0,469.96,3,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Purnia,Kritya Nand Nagar,0,0,358.93,4,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Rohtas,Akhorhi Gola,46.67,33.917,1625.14,13,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Rohtas,Bikramganj,44,23.623,1234.16,8,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Rohtas,Dawath,21.88,12.029,688.3,4,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Rohtas,Dehri,63.67,41.682,2019.12,18,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Rohtas,Karakat,15.52,10.68,627.26,3,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Rohtas,Kargahar,56.68,30.6,1454.32,12,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Rohtas,Kchas,51.63,26.492,1314.61,10,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Rohtas,Nasri Ganj,11.47,6.12,303.24,2,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Rohtas,Nokha,48.25,26.941,1360.98,11,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Rohtas,Rajpur,39.58,20.557,981.26,7,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Rohtas,Sanjhauli,25.12,14.997,820.93,6,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Rohtas,Sheo Sagar,111.81,65.426,3071.17,29,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Bihar,Rohtas,Suryapura,15.18,8.923,512.57,4,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Balodabazar,Balodabazar,14.44,10.6,423.93,5,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Balodabazar,Bhatapara,13.59,11.325,384.78,3,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Balodabazar,Bilaigarh,47.53,36.25,1351.18,10,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Balodabazar,Kasdol,15.29,11.8,522.15,5,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Balodabazar,Pallari,33.64,28.04,969.27,11,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Balodabazar,Simga,22.34,18.62,649.74,4,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Balod,Dondi Lohara,9.58,8,247.31,4,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Balod,Gunderdahi,4.98,4.15,130.2,2,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Balod,Gurur,1.2,1,30.77,1,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Bemetra,Bemetara,26.54,22.12,856.13,7,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Bemetra,Berla,27.26,22.71,725,6,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Bemetra,Nawagarh,31.26,26.05,843.76,9,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Bemetra,Saja,41.68,34.74,1297.33,14,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Bilaspur,Bilha,31.82,26.52,789.35,6,2011,"Calendar Year (Jan - Dec), 2011"
2011-12,Chhattisgarh,Bilaspur,Kota,12.1,10.09,292.29,4,2011,"Calendar Year (Jan - Dec), 2011"
