srcStateName,srcSubDistrictName,srcYear,Number of telemetric raingauge Stations Working,Number of telemetric raingauge Stations Under Repair,Number of telemetric raingauge Stations,Annual Normal Rainfall (1961 - 2010) Rainy Days,Annual Normal Rainfall (1961 - 2010) Normal Rainfall,srcDistrictName,YearCode,Year
Karnataka,Kanakagiri,2019-20,12,0,12,35,525,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kanakpura,2019-20,39,5,44,48,797,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kapu,2019-20,19,0,19,116,3757,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Karatagi,2019-20,14,0,14,35,640,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Karkala,2019-20,27,1,28,129,4777,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Karwar,2019-20,19,0,19,103,3234,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,K.G.F,2019-20,17,0,17,45,890,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Khanapur,2019-20,12,0,12,88,1950,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kitthuru,2019-20,18,0,18,50,1036,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kolar,2019-20,37,0,37,46,784,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kolhara,2019-20,13,0,13,40,606,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kollegala,2019-20,16,0,16,47,843,CHAMARAJANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kollegala(Hanur),2019-20,26,0,26,47,754,CHAMARAJANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Koppa,2019-20,21,2,23,111,2907,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Koppal,2019-20,42,1,43,38,635,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
