srcStateName,srcSubDistrictName,Year,srcDistrictName,StateCode,StateName,DistrictCode,DistrictName,SubDistrictCode,SubDistrictName,IntermediateRatio
Karnataka,Mudigere,2019,CHIKKAMAGALURU,29,KARNATAKA,532,CHIKKAMAGALURU,5531,MUDIGERE,1
Karnataka,Narasimharajapura,2019,CHIKKAMAGALURU,29,KARNATAKA,532,CHIKKAMAGALURU,5527,NARASIMHARAJAPURA,1
Karnataka,Sringeri,2019,CHIKKAMAGALURU,29,KARNATAKA,532,CHIKKAMAGALURU,5525,SRINGERI,1
Karnataka,Badami,2019,BAGALKOTE,29,KARNATAKA,524,BAGALKOTE,5446,BADAMI,1
Karnataka,Tarikere,2019,CHIKKAMAGALURU,29,KARNATAKA,532,CHIKKAMAGALURU,5528,TARIKERE,1
Karnataka,Chitradurga,2019,CHITRADURGA,29,KARNATAKA,533,CHITRADURGA,5505,CHITRADURGA,1
Karnataka,Hiriyur,2019,CHITRADURGA,29,KARNATAKA,533,CHITRADURGA,5508,HIRIYUR,1
Karnataka,Holalkere,2019,CHITRADURGA,29,KARNATAKA,533,CHITRADURGA,5506,HOLALKERE,1
Karnataka,Hosadurga,2019,CHITRADURGA,29,KARNATAKA,533,CHITRADURGA,5507,HOSDURGA,1
Karnataka,Molakalmuru,2019,CHITRADURGA,29,KARNATAKA,533,CHITRADURGA,5503,MOLAKALMURU,1
Karnataka,Bantwal,2019,DAKSHINA KANNADA,29,KARNATAKA,534,DAKSHINA KANNADA,5562,BANTVAL,1
Karnataka,Belthangady,2019,DAKSHINA KANNADA,29,KARNATAKA,534,DAKSHINA KANNADA,5563,BELTANGADI,1
Karnataka,Kadaba,2019,DAKSHINA KANNADA,29,KARNATAKA,534,DAKSHINA KANNADA,7104,KADABA,1
Karnataka,Mangalore,2019,DAKSHINA KANNADA,29,KARNATAKA,534,DAKSHINA KANNADA,5561,MANGALURU,1
Karnataka,Mudabidri,2019,DAKSHINA KANNADA,29,KARNATAKA,534,DAKSHINA KANNADA,7102,MOODUBIDIRE,1
Karnataka,Puttur,2019,DAKSHINA KANNADA,29,KARNATAKA,534,DAKSHINA KANNADA,5564,PUTTUR,1
Karnataka,Sulya,2019,DAKSHINA KANNADA,29,KARNATAKA,534,DAKSHINA KANNADA,5565,SULYA,1
Karnataka,Channagiri,2019,DAVANGERE,29,KARNATAKA,535,DAVANGERE,5514,CHANNAGIRI,1
Karnataka,Davanagere,2019,DAVANGERE,29,KARNATAKA,535,DAVANGERE,5512,DAVANAGERE,1
Karnataka,Harihar,2019,DAVANGERE,29,KARNATAKA,535,DAVANGERE,5509,HARIHAR,1
Karnataka,Honnali,2019,DAVANGERE,29,KARNATAKA,535,DAVANGERE,5513,HONNALI,1
Karnataka,Jagaluru,2019,DAVANGERE,29,KARNATAKA,535,DAVANGERE,5511,JAGALUR,1
Karnataka,Nyamati,2019,DAVANGERE,29,KARNATAKA,535,DAVANGERE,7076,NYAMATHI,1
Karnataka,Alnavara,2019,DHARWAD,29,KARNATAKA,536,DHARWAD,7081,ALNAVAR,1
Karnataka,Annigeri,2019,DHARWAD,29,KARNATAKA,536,DHARWAD,7080,ANNIGERI,1
Karnataka,Dharwad,2019,DHARWAD,29,KARNATAKA,536,DHARWAD,5473,DHARWAD,1
Karnataka,Hubli,2019,DHARWAD,29,KARNATAKA,536,DHARWAD,5475,HUBBALLI,1
Karnataka,Hubballi Nagara,2019,DHARWAD,29,KARNATAKA,536,DHARWAD,7079,HUBBALLI URBAN,1
Karnataka,Kalgatgi,2019,DHARWAD,29,KARNATAKA,536,DHARWAD,5476,KALGHATGI,1
Karnataka,Kundgol,2019,DHARWAD,29,KARNATAKA,536,DHARWAD,5477,KUNDGOL,1
Karnataka,Navalgund,2019,DHARWAD,29,KARNATAKA,536,DHARWAD,5474,NAVALGUND,1
Karnataka,Gadag,2019,GADAG,29,KARNATAKA,537,GADAG,5470,GADAG,1
Karnataka,Gajendragad,2019,GADAG,29,KARNATAKA,537,GADAG,7082,GAJENDRAGAD,1
Karnataka,Laxmeshwar,2019,GADAG,29,KARNATAKA,537,GADAG,7083,LAXMESHWAR,1
Karnataka,Mundargi,2019,GADAG,29,KARNATAKA,537,GADAG,5472,MUNDARGI,1
Karnataka,Rona,2019,GADAG,29,KARNATAKA,537,GADAG,5469,RON,1
Karnataka,Shirahatti,2019,GADAG,29,KARNATAKA,537,GADAG,5471,SHIRHATTI,1
Karnataka,Alur,2019,HASSAN,29,KARNATAKA,539,HASSAN,5557,ALUR,1
Karnataka,Arkalgud,2019,HASSAN,29,KARNATAKA,539,HASSAN,5558,ARKALGUD,1
