ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Name of the fertilizer used,Required fertilizer quantity,Available fertilizer quantity
39,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201207,"October, 2012",Muriate of Potash (MOP) or Potassium Chloride,2439.14724191823500000,706.13312653532903250
40,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201207,"October, 2012","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
41,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201207,"October, 2012",Triple superphosphate,0.00000000000000000,0.00000000000000000
42,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201207,"October, 2012",UREA,12195.73620959117500000,2617.98551769567999020
305,India,2,Himachal Pradesh,2012,"Financial Year (Apr - Mar), 2012",201203,"June, 2012","nitrogen, phosphorus, and potassium",500.00,56.90
43,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201208,"November, 2012",Diammonium Phosphate,2439.14724191823500000,2575.30044096211087770
44,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201208,"November, 2012",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
45,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201208,"November, 2012",Muriate of Potash (MOP) or Potassium Chloride,487.82944838364700000,684.18080135806491750
46,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201208,"November, 2012","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
47,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201208,"November, 2012",Triple superphosphate,0.00000000000000000,0.00000000000000000
48,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201208,"November, 2012",UREA,7805.27117413835200000,1068.88310435340894170
49,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201301,"April, 2013",Diammonium Phosphate,5610.03865641194050000,3991.81081023370667160
50,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201301,"April, 2013",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
51,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201301,"April, 2013",Muriate of Potash (MOP) or Potassium Chloride,2926.97669030188200000,2194.15929293996747660
52,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201301,"April, 2013","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
53,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201301,"April, 2013",Single super Phosphate,848.82324018754578000,0.00000000000000000
54,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201301,"April, 2013",Triple superphosphate,0.00000000000000000,0.00000000000000000
55,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201301,"April, 2013",UREA,14000.70516861066890000,1439.82861690433412050
56,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201302,"May, 2013",Diammonium Phosphate,7375.98125956074264000,8311.05274622251720960
57,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201302,"May, 2013",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
58,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201302,"May, 2013",Muriate of Potash (MOP) or Potassium Chloride,2926.97669030188200000,4380.65966354031169530
59,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201302,"May, 2013","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
60,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201302,"May, 2013",Single super Phosphate,1112.25114231471516000,55.41742533638229920
