srcYear,srcMonth,Name of the fertilizer used,srcStateName,Required fertilizer quantity,Available fertilizer quantity,YearCode,Year,MonthCode,Month
2012-13,Apr-2012,Monoammonium Phosphate,Jammu & Kashmir,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Kerala,0.00,3156.75,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Goa,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Punjab,5000.00,3502.10,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Rajasthan,2560.00,4751.70,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Dadra & Nagar Haveli,40.00,37.15,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,West Bengal,68930.00,22827.15,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Andaman & Nicobar,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Delhi,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Chattishgarh,10000.00,21021.40,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Manipur,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Andhra Pradesh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Karnataka,0.00,3.80,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Lakshadeeep,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Megalaya,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Madhya Pradesh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Daman & Diu,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Kerala,2000.00,1402.90,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Megalaya,200.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Dadra & Nagar Haveli,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Maharastra,52000.00,74038.30,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Madhya Pradesh,8630.00,202752.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Pondicherry,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Daman & Diu,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Goa,100.00,30.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Nagaland,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Mizoram,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Rajasthan,0.00,3526.25,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Bihar,235000.00,19449.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Tripura,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Lakshadeeep,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Manipur,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Uttar Pradesh,40000.00,250642.60,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Megalaya,1200.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Lakshadeeep,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Tripura,630.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Sikkim,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Goa,450.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Maharastra,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Kerala,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Andaman & Nicobar,500.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Nagaland,120.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Delhi,400.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Punjab,2500.00,3057.90,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Odisha,40000.00,46589.35,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Pondicherry,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
