ROWID,Country,State lgd code,State,Station code,Station name,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of hydrogen value in water,Maximum potential of hydrogen value in water,Minimum conductivity level,Maximum conductivity level,Minimum biochemical oxygen demand,Maximum biochemical oxygen demand,Minimum  of nitrate n + nitrite n required required for ground water,Maximum  of nitrate n + nitrite n required required for ground water,Minimum  of faecal coliforms required for ground water,Maximum   of faecal coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,Source year,Year code,Year
378,India,9,Uttar Pradesh,2475,"INDUSTRIAL AREA, SULTANPUR  ROAD",18,18,8.1,8.1,1118,1118,,,0.14,0.14,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
532,India,9,Uttar Pradesh,2473,"KHEKRA, BAGHPAT",20,21,7.3,7.7,210,710,,,0,0.8,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
1127,India,10,Bihar,2577,ARRARIA,24,29,7.1,7.5,,,,,,,2,8,4,21,2013,2013,"Calendar Year (Jan - Dec), 2013"
1485,India,10,Bihar,1836,BEGUSARAI,25,28,7.4,7.8,,,,,,,4,7,11,13,2013,2013,"Calendar Year (Jan - Dec), 2013"
1569,India,19,West Bengal,2542,DWARIKA AT BISHNUPUR TOWN,25,29,6.5,6.7,1021,1074,0.5,1.1,0.2,2.4,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1636,India,14,Manipur,1924,PALLEL,25,25,6.3,6.3,,,,,,,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
2462,India,19,West Bengal,1775,"DHAPA CALCUTTA, WEST BENGAL",27,34,7.3,7.3,1779,1850,0.6,1.5,0.05,1,,,4,4,2013,2013,"Calendar Year (Jan - Dec), 2013"
2495,India,16,Tripura,1731,"LANKAMURA, TRIPURA",27,28,7.2,7.8,80,105,,,0.1,0,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
3301,India,10,Bihar,1826,PATNA,29,29,7.5,7.5,25,25,,,,,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
3315,India,31,Lakshadweep,4566,WELL NEAR S & T,29,29,,,1615,2110,,,,,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
1,India,9,Uttar Pradesh,1755,"PILKHUA INDUSTRIAL AREA GHAZIABAD, U.P",0,24,7.2,7.5,1490,1525,0.2,0.2,0.3,0.3,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2,India,24,Gujarat,6,WELL AT BARODA,0,29,8.2,8.5,471,484,0,0.3,0.5,0.6,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
3,India,2,Himachal Pradesh,2637,HAND PUMP AT JWALAJI  TEMPLE,0,0,7.2,7.7,188,1080,0.1,0.1,0,0.09,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
4,India,2,Himachal Pradesh,2638,HAND PUMP AT CHINTPURNI  TEMPLE/ TOWN,0,0,8.2,8.2,482,482,0.1,0.1,0.09,0.09,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
5,India,28,Andhra Pradesh,16,Open well at Tadavai,0,0,7.6,7.6,1577,1577,12,12,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
6,India,36,Telangana,3094,"Bore well at Akbarnagar,  Ramagundam",0,0,7.6,7.6,896,896,16,16,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
7,India,36,Telangana,1793,Open well at Kundanpally  near ash ponds of NTPC,0,0,8.1,8.1,1784,1784,21,21,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
8,India,36,Telangana,1794,Borewell at Manakondur,0,0,8,8,1099,1099,24,24,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
9,India,36,Telangana,1791,Borewell at Pydipally near  East side of Sai cheruvu,0,0,7.9,7.9,1184,1184,34,34,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
10,India,36,Telangana,1792,"Borewell at CKM College,  Enamamula",0,0,8.1,8.1,1312,1312,56,56,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
11,India,15,Mizoram,3742,"CHANMARI HAND PUMP,  LAWNGTLAI",3.1,24,6,7.3,156,1520,0.5,2.7,0,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
12,India,2,Himachal Pradesh,1872,SHIMLA D/S OF MSW DUMPING  SIOT,4,17,6.9,8.1,142,782,0.2,54,8.48,12.44,12,1344,42,3360,2013,2013,"Calendar Year (Jan - Dec), 2013"
13,India,2,Himachal Pradesh,2638,HAND PUMP AT CHINTPURNI TEMPLE/ TOWN,5,15,7.6,7.9,640,1337,0.1,0.2,0,0.09,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
14,India,2,Himachal Pradesh,2634,HAND PUMP AT SHIMLA,6,7,7.9,8.1,236,347,0.1,0.1,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
15,India,2,Himachal Pradesh,1872,SHIMLA D/S OF MSW DUMPING  SIOT,7,20,5.9,7.9,268,632,0.8,35,0,10.1,8,40,28,168,2014,2014,"Calendar Year (Jan - Dec), 2014"
16,India,2,Himachal Pradesh,2634,HAND PUMP AT SHIMLA,7,8,7.6,7.9,200,334,0.1,0.1,0.1,1.1,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
17,India,23,Madhya Pradesh,2146,"BHAGATPURI VILLAGE, NAGDA",7.8,7.8,7.8,7.8,5630,5630,1.2,1.2,6,6.32,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
18,India,2,Himachal Pradesh,1872,GROUND WATER AT SHIMLA D/S  OF MSW DUMPING SITE,8,25,7.1,8.5,434,39630,5.2,42,0.14,10.32,94,1600,5,920,2019,2019,"Calendar Year (Jan - Dec), 2019"
19,India,15,Mizoram,3738,"SAP TUIKHUR, SERKAWN NEARBY",8,24,6.8,7.2,114,505,0.9,1.6,0,0.1,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
20,India,2,Himachal Pradesh,2648,HAND PUMP AT KEYLONG,9,9,7.8,7.8,365,365,,,,,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
21,India,2,Himachal Pradesh,1872,SHIMLA D/S OF MSW  DUMPING SIOT,9,20,6.8,8.4,409,686,2.6,18,0,12.3,3.6,40,22,220,2016,2016,"Calendar Year (Jan - Dec), 2016"
22,India,2,Himachal Pradesh,1872,SHIMLA D/S OF MSW DUMPING SIOT,9,20,6.4,7.9,245,902,4,16,0.52,12.34,14,94,26,920,2017,2017,"Calendar Year (Jan - Dec), 2017"
23,India,2,Himachal Pradesh,2633,HAND PUMP AT RECONGPEO,9,9,8.85,8.85,244,244,0,0,4.93,8.253,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
24,India,15,Mizoram,3737,"VAITUI TUIKHUR,THEIRIAT, LUNGLEI",9,25,7,7.4,111,1258,0.8,1.4,0,0.2,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
25,India,15,Mizoram,4126,"PAWHHAWN TUIKHUR, NR GM  HSS, VENGSANG, CHAMPHAI  (SPRING)",9,21,5.7,7.2,170,170,1.1,2.2,0,0.16,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
26,India,2,Himachal Pradesh,2634,HAND PUMP AT SHIMLA,10,10.6,7.89,7.98,245,250,0.2,0.5,0.03,0.025,6,6,2,26,2012,2012,"Calendar Year (Jan - Dec), 2012"
27,India,15,Mizoram,2055,MISSION VENGTHLANG  (SOUTHERN PART),10,24,6.1,8,122,662,0.4,2.3,0,0.2,7,23,210,290,2016,2016,"Calendar Year (Jan - Dec), 2016"
28,India,2,Himachal Pradesh,1872,SHIMLA D/S OF MSW DUMPING SITE,10,19,6.8,8.5,98,1137,1,15,0.8,30.9,22,170,70,540,2018,2018,"Calendar Year (Jan - Dec), 2018"
29,India,2,Himachal Pradesh,2635,HAND PUMP AT RAMPUR,10,10,7.88,8.46,248,502,0,0.2,0.07,0.18,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
30,India,15,Mizoram,3753,"HMAG VENG TUIKHUR, KOLASIB",10,25,6.2,7.4,142,400,1,2.5,0.02,0.09,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
31,India,18,Assam,2261,GROUND WATER FROM HAFLONG,10,25,5.6,7.6,86,166,1.2,6.5,0.1,0.12,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
32,India,2,Himachal Pradesh,2628,HAND PUMP AT SHAMSHI,10,16,7.29,8.21,301,568,,,,,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
33,India,31,Lakshadweep,1596,WELL C/O KADAT PALLI,10.3,27.5,7.2,7.5,838,4190,,,,,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
34,India,2,Himachal Pradesh,1872,SHIMLA D/S OF MSW DUMPING  SITE,10.4,14.1,6.62,7.86,232,758,2.5,45,,,6,128,27,390,2012,2012,"Calendar Year (Jan - Dec), 2012"
35,India,15,Mizoram,3738,"SAP TUIKHUR, SERKAWN  NEARBY",11,24,6.7,7.3,755,755,1.1,1.6,0,0.15,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
36,India,1,Jammu And Kashmir,2762,"R.S. PURA TEHSIL, JAMMU,  J&K",11,26,8.1,8.5,1800,2000,,,2.4,2.66,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
37,India,2,Himachal Pradesh,2628,HAND PUMP AT SHAMSHI,11.5,19,6.9,7.5,372,785,,,0.3,4.6,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
38,India,18,Assam,2262,GROUND WATER FROM KARIMGANJ  (COLLEGE),12,12,6.5,6.5,330,330,0.9,0.9,4.7,4.7,0,0,430,430,2014,2014,"Calendar Year (Jan - Dec), 2014"
39,India,18,Assam,2261,GROUND WATER FROM HAFLONG,12,20,7.1,7.1,464,668,0.4,3.9,0.2,0.2,0,0,0,150,2014,2014,"Calendar Year (Jan - Dec), 2014"
40,India,15,Mizoram,2055,MISSION VENGTHLANG (SOUTHERN PART),12,22,6.6,7.8,147,351,0.4,5.7,0.04,0.09,0,0,1100,1100,2017,2017,"Calendar Year (Jan - Dec), 2017"
41,India,2,Himachal Pradesh,1874,SOLAN-D/S OF MSW DUMPING  SITE,12,24,7.27,8.5,369,580,0.1,2,4.46,4.79,2,108,12,340,2012,2012,"Calendar Year (Jan - Dec), 2012"
42,India,2,Himachal Pradesh,4478,"INFTING WATER SUPLY SCHEME  SAMSHI, NEAR SABJI MANDI  BHUNTAR, TEHSIL KULLU, DISTT  KULLU",12,12,7.7,7.7,78,78,0.1,0.1,,,120,120,13,13,2019,2019,"Calendar Year (Jan - Dec), 2019"
43,India,2,Himachal Pradesh,1562,"AT UNA, H.P",12,22,7.6,7.6,673,698,0.4,0.8,2.2,3.1,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
44,India,18,Assam,2264,GROUND WATER IN PANCHGRAM  MARKET NEAR CACHAR PAPER MILL,12,15,6.7,6.8,431,690,3.3,5.2,0.1,0.1,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
45,India,18,Assam,1538,"*SILCHAR, ASSAM",12,15,6.5,7.1,711,913,3.9,6.5,0.17,0.31,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
46,India,1,Jammu And Kashmir,2761,"TUBE WELL KATHUA SICOP  INDUSTRIAL AREA KATHUA, J&K",12,28,6.2,6.2,92,92,,,0.914,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
47,India,18,Assam,2263,GROUND WATER FROM HIALAKANDI  (NEAR ASTC BUS STAND ),13,20,6.2,6.9,309,417,0.4,0.5,0.5,1.6,0,0,0,0,2014,2014,"Calendar Year (Jan - Dec), 2014"
48,India,2,Himachal Pradesh,2630,HAND PUMP AT HAMIRPUR TOWN,13,18,7.1,8.2,306,796,0.1,0.1,0.3,2.3,2,2,46,46,2018,2018,"Calendar Year (Jan - Dec), 2018"
49,India,2,Himachal Pradesh,2640,HAND PUMP AT SANSARPUR TERRACE IA,13,13,8.1,8.3,461,524,0.1,0.1,0,0.09,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
50,India,2,Himachal Pradesh,2647,HAND PUMP AT TAHLIWAL IA,13,14,8.2,8.4,639,643,0.1,0.1,0.2,0.5,2,2,63,63,2018,2018,"Calendar Year (Jan - Dec), 2018"
51,India,2,Himachal Pradesh,2637,HAND PUMP AT JWALAJI TEMPLE,13,13,7.3,8,1429,1430,0.1,0.1,0,0.09,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
52,India,2,Himachal Pradesh,2634,HAND PUMP AT SHIMLA,13,13,7.3,8.1,253,355,0.1,0.4,0.42,0.59,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
53,India,2,Himachal Pradesh,2634,HAND PUMP AT SHIMLA,13,14,7.4,8,99,326,0.5,0.5,0.2,0.6,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
54,India,2,Himachal Pradesh,2631,HAND PUMP AT NADAUN TOWN,13,13,6.65,6.78,527,811,0.5,0.5,6.05,6.11,2,2,7,10,2012,2012,"Calendar Year (Jan - Dec), 2012"
55,India,17,Meghalaya,1638,SHANGPUNG (UMSAHEP  SPRING),13,15,5.9,6,118,153,1,1,0.32,0.7,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
56,India,2,Himachal Pradesh,2631,HAND PUMP AT NADAUN TOWN,13,17,7.2,8.1,284,788,0.1,1,0.4,2.7,2,2,63,63,2018,2018,"Calendar Year (Jan - Dec), 2018"
57,India,2,Himachal Pradesh,2634,HAND PUMP AT SHIMLA,13,13,7.1,7.1,166,166,12,12,4.97,5,2,2,8,8,2013,2013,"Calendar Year (Jan - Dec), 2013"
58,India,15,Mizoram,2054,RAMHLUM (NORTHERN  PART),13,25,5.8,8,131,1020,1,2.1,0,0.2,0,3.6,44,120,2016,2016,"Calendar Year (Jan - Dec), 2016"
59,India,15,Mizoram,2054,RAMHLUM (NORTHERN PART),13,23,5.3,8.5,56,505,0.9,2.3,0,0.3,7,11,75,460,2014,2014,"Calendar Year (Jan - Dec), 2014"
60,India,2,Himachal Pradesh,1875,MANDI-D/S OF MSW DUMPING  SIOT,13,18,8.1,8.5,244,592,0.5,16,0.1,0.9,26,94,180,280,2014,2014,"Calendar Year (Jan - Dec), 2014"
61,India,20,Jharkhand,4758,"GOVT. HANDPUMP NEAR HOUSE  OF RAJENDRA SINGH MUNDA,  KOKRANA MURI",13,28,6.5,7.6,,,0,0,,,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
62,India,2,Himachal Pradesh,1883,UNA INDUSTRIAL AREA,13,13,8.2,8.2,533,690,0.1,0.1,0.3,0.5,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
63,India,2,Himachal Pradesh,1883,UNA INDUSTRIAL AREA,13,23,7.6,8,719,735,0.1,0.1,1.3,2.2,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
64,India,2,Himachal Pradesh,1882,MEHATPUR INDUSTRIAL AREA,13,19,7.8,8.1,901,1065,0.1,0.1,0,0.03,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
65,India,2,Himachal Pradesh,2637,HAND PUMP AT JWALAJI TEMPLE,13,13,7.1,7.1,1125,1125,0.1,0.1,2,2,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
66,India,2,Himachal Pradesh,1882,MEHATPUR INDUSTRIAL AREA,13,22,7.6,7.7,828,899,0.1,0.4,3.6,5.1,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
67,India,2,Himachal Pradesh,2647,HAND PUMP AT TAHLIWAL IA,13,24,7.4,8.2,440,686,0.3,0.6,0.5,1.2,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
68,India,2,Himachal Pradesh,2630,HAND PUMP AT HAMIRPUR TOWN,13,21,7.4,7.9,867,1130,0.1,1,0.5,5.1,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
69,India,15,Mizoram,3730,SELESIH HAND PUMP,13,22,6.1,8.2,137,526,0.5,1.1,0.1,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
70,India,15,Mizoram,3753,"HMAR VENG TUIKHUR, KOLASIB",13,23,6.6,7.2,45,45,1.6,1.9,0,0.16,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
71,India,15,Mizoram,3748,"PROJECT VENG HAND  PUMP,SERCHHIP",13,22,4.7,7.5,59,59,1.3,1.9,0,0.48,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
72,India,15,Mizoram,4133,"NGHARPET VENG TUIKHUR,  LUNGSIR, MAMIT (SPRING)",13,25,5.3,7.8,284,284,1.7,1.9,0,0.19,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
73,India,15,Mizoram,3758,"BETHEL VENG HAND PUMP,  CHAMPHAI",13,17,6.9,7.2,,,1.9,1.9,0.03,0.17,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
74,India,1,Jammu And Kashmir,3292,GROUND WATER AT SADAKADAL,13,13,7.7,7.7,1000,1000,2.7,2.7,,,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
75,India,15,Mizoram,3738,"SAP TUIKHUR, SERKAWN NEARBY",13,23,7.1,7.4,114,278,0.9,4,0.02,0.06,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
76,India,18,Assam,2262,GROUND WATER FROM KARIMGANJ  (COLLEGE),13,13,6.5,6.5,302,302,5.4,5.4,0.1,0.19,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
77,India,1,Jammu And Kashmir,2760,"MALADHAR TALAB(POND)HATLI  (KATHUA), J&K",13,28,6.2,6.8,312,320,,,0.65,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
78,India,1,Jammu And Kashmir,4064,BOREWELL NEAR INDUSTRIAL  AREA GANGYAL,13,23,7.3,7.5,500,587,,,0,0.01,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
79,India,1,Jammu And Kashmir,4072,BOREWELL IN SMAILPUR NEAR  CHRISTIAN HOSPITAL,13,23,6.8,7.4,708,1122,,,0,0.05,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
80,India,2,Himachal Pradesh,2630,HAND PUMP AT HAMIRPUR  TOWN,13.5,13.5,7.2,7.2,209,209,0.1,0.1,0.45,0.45,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
81,India,2,Himachal Pradesh,2628,HAND PUMP AT SHAMSHI,13.5,19,7.7,8.6,132,740,0.1,0.1,0,1.2,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
82,India,2,Himachal Pradesh,2631,HAND PUMP AT NADAUN TOWN,13.5,25,7.2,7.7,245,7240,0.1,0.1,0,0.36,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
83,India,15,Mizoram,3733,S HLIMEN HAND PUMP,14,21,6.1,7.8,28,1870,0.6,1.3,0,0.1,0,0,3.6,3.6,2016,2016,"Calendar Year (Jan - Dec), 2016"
84,India,15,Mizoram,3729,"BAWNGKAWN HAND PUMP,  NEAR HB PETROLPUMP",14,23,6.2,7.7,134,528,0.6,1.5,0,0.2,0,0,7.2,7.2,2016,2016,"Calendar Year (Jan - Dec), 2016"
85,India,15,Mizoram,3732,CHALTLANG HAND PUMP  NEAR TEMI TYRE WORKS,14,24,5.2,7.2,135,523,0.1,1.6,0.1,0.1,0,0,15,15,2016,2016,"Calendar Year (Jan - Dec), 2016"
86,India,2,Himachal Pradesh,1882,MEHATPUR INDUSTRIAL AREA,14,14,7.4,8.3,304,796,0.1,0.2,0.2,0.4,2,2,70,70,2018,2018,"Calendar Year (Jan - Dec), 2018"
87,India,2,Himachal Pradesh,1562,AT UNA,14,18,7.1,8.2,328,768,0.1,0.2,0.3,2.9,2,2,49,49,2018,2018,"Calendar Year (Jan - Dec), 2018"
88,India,2,Himachal Pradesh,2636,HAND PUMP AT KANGRA TEMPLE/ TOWN,14,14,7.1,7.4,883,984,0.2,0.3,0.07,0.09,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
89,India,15,Mizoram,2055,MISSION VENGTHLANG (SOUTHERN PART),14,21,6.7,7.9,118,713,0.4,2.9,0,0.2,2,2,2400,2400,2018,2018,"Calendar Year (Jan - Dec), 2018"
90,India,2,Himachal Pradesh,2642,HAND PUMP AT DALHOUSIE TOWN,14,16,6.41,6.85,222,229,0.4,0.9,0.06,0.25,4,4,9,9,2012,2012,"Calendar Year (Jan - Dec), 2012"
91,India,17,Meghalaya,1637,"SOHRA, CHERRAPUNJEE (WAH U  DKHAR - SPRING)",14,23,6,6.6,98,118,1,1,1.4,5.37,4,4,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
92,India,2,Himachal Pradesh,2647,HAND PUMP AT TAHLIWAL IA,14,26,6.87,7.22,696,1080,0.5,0.6,0.29,1.75,7,7,2,18,2012,2012,"Calendar Year (Jan - Dec), 2012"
93,India,17,Meghalaya,3385,MAWTHADRISHAN WELL AT MARKASA,14,16,6.7,6.9,47,50,2,2,0.27,0.4,8,8,22,30,2017,2017,"Calendar Year (Jan - Dec), 2017"
94,India,2,Himachal Pradesh,1883,UNA INDUSTRIAL AREA,14,25,7.46,7.75,516,794,0.5,0.6,4.86,5.71,9,9,43,43,2012,2012,"Calendar Year (Jan - Dec), 2012"
95,India,15,Mizoram,2055,MISSION VENGTHLANG  (SOUTHERN PART),14,24,6.1,8,70,743,0.4,1.2,0,0.3,16,93,150,1100,2014,2014,"Calendar Year (Jan - Dec), 2014"
96,India,18,Assam,2264,GROUND WATER IN PANCHGRAM  MARKET NEAR CACHAR PAPER MILL,14,21,6.4,6.5,134,1190,3.1,4.1,0.6,4,0,910,280,29000,2014,2014,"Calendar Year (Jan - Dec), 2014"
97,India,2,Himachal Pradesh,2647,HAND PUMP AT TAHLIWAL IA,14,21,6.8,7.2,212,5350,0.1,0.1,0,0.42,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
98,India,2,Himachal Pradesh,2647,HAND PUMP AT TAHLIWAL IA,14,20,7.5,7.5,775,910,0.1,0.1,0,0.1,,,3.7,3.7,2016,2016,"Calendar Year (Jan - Dec), 2016"
99,India,2,Himachal Pradesh,1883,UNA INDUSTRIAL AREA,14,18,7.5,7.5,919,932,0.2,0.2,0,0.2,,,3.7,3.7,2016,2016,"Calendar Year (Jan - Dec), 2016"
100,India,2,Himachal Pradesh,1562,"AT UNA, H.P",14,14,7.5,7.8,725,1067,0.1,0.4,0.1,0.2,,,2,2,2016,2016,"Calendar Year (Jan - Dec), 2016"
101,India,2,Himachal Pradesh,1882,MEHATPUR INDUSTRIAL  AREA,14,14,7.2,7.7,475,938,0.2,0.5,0,0.1,,,3.6,3.6,2016,2016,"Calendar Year (Jan - Dec), 2016"
102,India,2,Himachal Pradesh,2631,HAND PUMP AT NADAUN TOWN,14,20,7.2,7.7,754,794,0.4,0.8,0.2,3.5,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
103,India,15,Mizoram,3739,"ZOBAWK VENG HAND PUMP,  LUNGLEI",14,24,6.2,7.4,111,703,0.1,1.9,0,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
104,India,15,Mizoram,3745,"CHHOCHHOPA TUIKHUR, SAIHA",14,23,7.2,8.3,97,302,1.1,2.1,0.02,0.09,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
105,India,1,Jammu And Kashmir,2759,"DUGWELL AT GAGHWAL(KATHUA  DISTT), J&K",14,27,6.4,6.8,460,487,,,0.424,1.03,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
106,India,1,Jammu And Kashmir,4073,"BOREWELL NEAR MAIN CHOWK,  SMAILPUR",14,23,6.8,7.5,527,993,,,0,0.01,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
107,India,2,Himachal Pradesh,1877,BADDI INDUSTRIAL AREA,14.3,22.5,7.3,8.5,349,973,0.1,0.8,0,13.78,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
108,India,2,Himachal Pradesh,2641,HAND PUMP AT CHAMBA TOWN,14.3,14.3,7.6,7.7,317,838,0.1,0.1,0,0.12,15,15,280,280,2017,2017,"Calendar Year (Jan - Dec), 2017"
109,India,2,Himachal Pradesh,2642,HAND PUMP AT DALHOUSIE TOWN,14.4,14.6,7.9,8.2,553,730,0.1,0.1,0.02,0.02,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
110,India,2,Himachal Pradesh,1874,SOLAN-D/S OF MSW DUMPING  SIOT-,14.5,22,6.9,7.9,215,572,0.1,2.4,0,10.6,6,40,8,84,2014,2014,"Calendar Year (Jan - Dec), 2014"
111,India,2,Himachal Pradesh,1562,WELL AT UNA,14.5,19.5,7.3,7.4,193,728,0.1,0.1,0,0.28,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
112,India,2,Himachal Pradesh,2648,HAND PUMP AT KEYLONG,14.5,14.5,8.1,8.1,281,281,,,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
113,India,2,Himachal Pradesh,1878,BAROTIWALA INDUSTRIAL AREA,14.8,24,7.3,8,775,1222,0.1,0.4,12.67,14.67,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
114,India,15,Mizoram,3728,"KHURPUI TUIKHUR, S HLIMEN",15,22,6.2,7.4,156,944,0.9,2.1,0.02,0.06,0,0,2400,2400,2017,2017,"Calendar Year (Jan - Dec), 2017"
115,India,2,Himachal Pradesh,2648,HAND PUMP AT KEYLONG,15,15,8.3,8.3,383,383,0,0,,,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
116,India,2,Himachal Pradesh,2628,HAND PUMP AT SHAMSHI,15,15,7.2,7.2,372,372,0.1,0.1,,,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
117,India,2,Himachal Pradesh,2628,HAND PUMP AT SHAMSHI,15,19,7.8,8.5,432,626,0,0.1,0,2.1,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
118,India,2,Himachal Pradesh,2646,HAND PUMP AT KALA AMB,15,24,6.7,7.9,268,1194,0.6,0.8,0.17,0,1,2,3,6,2013,2013,"Calendar Year (Jan - Dec), 2013"
119,India,18,Assam,2246,"GROUND WATER FROM SEMENCHAPARI, ASSAM",15,22,6.9,7,110,152,1,1.3,0.3,0.7,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
120,India,2,Himachal Pradesh,2628,HAND PUMP AT SHAMSHI,15,17,6.8,7.8,210,711,1.6,2.8,1.98,0,2,2,2,2,2013,2013,"Calendar Year (Jan - Dec), 2013"
121,India,18,Assam,2247,"GROUND WATER FROM SILAPATHAR, ASSAM",15,24,6.3,6.4,234,250,4.6,4.8,0.6,1.9,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
122,India,5,Uttarakhand,3456,"GROUND WATER AT SELAQUI  INDUSTRIAL AREA- 1,  DEHRADUN",15,16,7.2,7.4,,,,,,,2,2,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
123,India,5,Uttarakhand,3457,"GROUND WATER AT SELAQUI  INDUSTRIAL AREA- 2,  DEHRADUN",15,17,7.3,7.3,,,,,,,2,2,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
124,India,2,Himachal Pradesh,2640,HAND PUMP AT SANSARPUR TERRACE IA,15,15,7.5,8,369,617,0.1,0.1,0.4,0.5,4,4,70,70,2018,2018,"Calendar Year (Jan - Dec), 2018"
