ROWID,Country,State lgd code,State,Station code,Station name,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of hydrogen value in water,Maximum potential of hydrogen value in water,Minimum conductivity level,Maximum conductivity level,Minimum biochemical oxygen demand,Maximum biochemical oxygen demand,Minimum  of nitrate n + nitrite n required required for ground water,Maximum  of nitrate n + nitrite n required required for ground water,Minimum  of faecal coliforms required for ground water,Maximum   of faecal coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,Source year,Year code,Year
2053,India,36,Telangana,1793,"O/W - BHOOMAIAH NEAR  ASHPONDS OF NTPC ,  KUNDANPALLY (V) ,  RAMAGUNDAM ,  KARIMNAGAR",26,26,8,8.2,1456,1547,3,20,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2054,India,1,Jammu And Kashmir,2760,"MALADHAR TALAB(POND)HATLI  (KATHUA),J&K",26,26,6.64,6.64,236,236,158,158,,,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2055,India,16,Tripura,1731,"LANKAMURA, TRIPURA",26,28.5,7.68,7.94,82,94,,,,,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2056,India,1,Jammu And Kashmir,2761,"TUBE WELL KATHUA SICOP  INDUSTRIAL AREA KATHUA,J&K",26,26,6.1,6.1,106,106,,,0.06,0.057,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2057,India,16,Tripura,1732,"A.D.NAGAR, AGARTALA,  TRIPURA",26,27,7.5,7.8,110,120,,,0,0,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2058,India,16,Tripura,1734,"GANDHIGRAM, AGARTALA,  TRIPURA",26,27.5,7.42,7.62,162,178,,,,,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2059,India,16,Tripura,1405,"WELL AT UDAIPUR (TUBEWELL),  TRIPURA",26,27,7,7.7,172,188,,,0.78,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2060,India,16,Tripura,1405,"WELL AT UDAIPUR (TUBEWELL),  TRIPURA",26,27.5,7.4,8,178,186,,,0.6,1.2,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2061,India,16,Tripura,1730,"KUNJBAN, AGARTALA, TRIPURA",26,27,7.3,7.76,182,193,,,0.22,0.24,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2062,India,16,Tripura,1730,"KUNJBAN, AGARTALA, TRIPURA",26,27,7.6,7.9,190,196,,,0.62,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2063,India,28,Andhra Pradesh,1523,"B/W. - NEAR M/S ANDHRA  SUGARS LTD. , KOVVUR , W.G.DIST., A.P",26,26,7,7,248,248,,,0.19,0,,,4,11,2013,2013,"Calendar Year (Jan - Dec), 2013"
2064,India,23,Madhya Pradesh,2144,"MADAI GRAM, JABALPUR",26,26,7.3,7.7,324,562,,,0,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2065,India,10,Bihar,2598,ROHTAS BORE WELL WATER FROM WATER TANK NEAR DHARMA  SHALA SASARAM,26,28,7.4,7.9,329,890,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2066,India,16,Tripura,1406,"WELL AROUND UDAIPUR  (TUBEWELL), TRIPURA",26,27,7.4,7.8,342,364,,,0,0,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2067,India,10,Bihar,1843,"PHED WATER SUPPLY NEAR BUS STAND, RAJGIR",26,26,7.5,7.7,462,966,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2068,India,10,Bihar,1844,"CHAPRA (SPECIFY LOCATION),  BIHAR",26,26,7.7,7.7,516,516,,,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2069,India,10,Bihar,3142,BIKRAMGANJ  HAND PUMP WATER AT BUS STAND CHOWK,26,26,7.3,7.3,518,518,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2070,India,14,Manipur,2882,"HAND PUMP AT KANGPOKPI, SENAPATI",26,26,7.3,7.3,581,581,,,,,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
2071,India,10,Bihar,3138,ARRAH (SPECIFY LOCATION),26,26,7.8,7.8,585,585,,,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2072,India,10,Bihar,3146,"DUMRAON BORE WELL WATER AT PANI TANKI, BUXAR DUMRAON  ROAD",26,27,7.3,7.6,606,2090,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2073,India,10,Bihar,1831,"BORE WELL WATER MMC PUMP HOUSE BRAHMPURA NAKA,  MUZAFFARPUR",26,35,7.7,7.9,619,754,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2074,India,13,Nagaland,2904,"OPENWELL AT NAGA CEMETERY, DIMAPUR",26,26,6.5,6.8,620,827,,,3.2,8.6,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
2075,India,10,Bihar,1830,"BORE WELL WATER (PHED PUMP HOUSE) SADAR HOSPITAL  CAMPUS, MUZAFFARPUR",26,36,7.2,7.5,649,709,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2076,India,4,Chandigarh,2045,DADU MAJRA,26,26,7.3,7.3,673,673,,,,,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2077,India,9,Uttar Pradesh,1738,"SITE 1, INDUSTRIAL AREA  NEAR M/S WOODWARM CHEMICAL LTD., UNNAO, U.P",26,26,7.7,7.7,674,674,,,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2078,India,10,Bihar,3153,PIRO HAND PUMP WATER AT CHURCH HIGH SCHOOL PIRO,26,26,7.2,7.2,849,849,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2079,India,10,Bihar,3162,GROUND WATER FROM  VAISHALI,26,26,7.4,7.4,861,861,,,0.06,0.06,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
