Station name,srcStateName,Year,StateCode,StateName,IntermediateRatio
"VAPI INDUSTRIAL AREA IN D/S, VAPI",GUJARAT,2016,24,GUJARAT,1
GAYA,BIHAR,2012,10,BIHAR,1
WELL AT VASANT VIHAR,DELHI,2019,7,DELHI,1
"BOREWELL NEAR TSDF OF GUJARAT MARITIME BOARD, ALANG, BHAVNAGAR",GUJARAT,2018,24,GUJARAT,1
JAYNAGAR HAND PUMP WATER AT RAILWAY STATION,BIHAR,2016,10,BIHAR,1
"TUBE WELL AT SHANTIR BAZAR, SOUTH TRIPURA",TRIPURA,2018,16,TRIPURA,1
"PETROL PUMP OPP. HERO CYCLE,  LUDHIANA",PUNJAB,2019,3,PUNJAB,1
WELL C/O CIRCUIT HOUSE,LAKSHADWEEP,2019,31,LAKSHADWEEP,1
"NEAR RIVER KUSHABHADRA,  PURI",ODISHA,2019,21,ODISHA,1
KAROOR (PALA),Kerala,2014,32,KERALA,1
GAYA,Bihar,2013,10,BIHAR,1
"GROUND WATER FROM SECTOR  15, CHANDIGARH",CHANDIGARH,2019,4,CHANDIGARH,1
"B/W - SRI RAMNAGAR  COLONY, SAKKAR NAGAR,  BODHAN, NIZAMABAD DIST.",TELANGANA,2016,36,TELANGANA,1
"GROUND WATER AT NOONMATI  GUWAHATI, ASSAM",ASSAM,2019,18,ASSAM,1
DERA BASSI,PUNJAB,2016,3,PUNJAB,1
SURI TOWN NEAR BUS STAND,WEST BENGAL,2014,19,WEST BENGAL,1
"GROUND WATER FROM MALIGAON, GUWAHATI",ASSAM,2017,18,ASSAM,1
"DERA BASSI, PUNJAB",PUNJAB,2017,3,PUNJAB,1
URUVAIYAR,PONDICHERRY,2013,34,PUDUCHERRY,1
"WELL AT MAYUR VIHAR, DELHI",DELHI,2019,7,DELHI,1
"NEAR FOJI NAGAR, KACCHI  BASTI, AMBABARI, JAIPUR.",Rajasthan,2013,8,RAJASTHAN,1
"OUTSIDE JLN HOSPITAL, AJMER",Rajasthan,2014,8,RAJASTHAN,1
WELL AT MADHUBANI,BIHAR,2012,10,BIHAR,1
"WELL AT PUNALUR, KERALA",KERALA,2018,32,KERALA,1
"NEAR BADABAZAR, BERHAMPUR",ODISHA,2019,21,ODISHA,1
MEHSANA,Gujarat,2013,24,GUJARAT,1
WATER WORKS OF NAVSARI NEAR DHUDIA TALAV.,GUJARAT,2017,24,GUJARAT,1
"PABUPURA ROAD NEAR CIVIL  AIR PORT, JODHPUR (MANGILAL  RATHOR)",RAJASTHAN,2019,8,RAJASTHAN,1
"POLICE BAZAR, SHILLONG",MEGHALAYA,2016,17,MEGHALAYA,1
"NEAR FLY ASH DUMPING  SITE-KUNTIGHAT, BANDEL",WEST BENGAL,2014,19,WEST BENGAL,1
"GANDHIGRAM, AGARTALA,  TRIPURA",TRIPURA,2019,16,TRIPURA,1
BOREWELL NEAR TUNGBHADRA  RIVER KURNOOL,ANDHRA PRADESH,2019,28,ANDHRA PRADESH,1
"CHANMARI HAND PUMP, LAWNGTLAI",MIZORAM,2018,15,MIZORAM,1
"WELL AT ALIPUR, DELHI",DELHI,2019,7,DELHI,1
"WELL AT OKHLA, DELHI",DELHI,2019,7,DELHI,1
TUBE WELL WATER SAMPLE OF SIDHI CITY,MADHYA PRADESH,2018,23,MADHYA PRADESH,1
WELL AT MUTHIALPET AREA(I)  RAMAKRISHNA NAGAR/  KRISHNA NAGAR,PUDUCHERRY,2019,34,PUDUCHERRY,1
WELL AT VERNA  INDI.ESTATE.(M/S CIPLA LIMITED),GOA,2012,30,GOA,1
"OPEN WELL/TUBE WELL INDUSTRIAL AREA, GOVINDPURA, BHOPAL, M.P",MADHYA PRADESH,2018,23,MADHYA PRADESH,1
GROUND WATER AT  SHANTIPURI KICHHA- 1,UTTARAKHAND,2016,5,UTTARAKHAND,1
WELL AT KUDAI INDL.  ESTATE(M/S CADILA HEALTHCARE LIMITED),GOA,2012,30,GOA,1
WELL AT MUTHIALPET  AREA(I),PUDUCHERRY,2016,34,PUDUCHERRY,1
"MEHATWAS, NAGDA",Madhya Pradesh,2013,23,MADHYA PRADESH,1
"WELL AT ZUARI INDUSTRIES  LTD, ZUARI NAGAR",Goa,2014,30,GOA,1
"NEAR SEA BEACH, PURI,  ORISSA",ORISSA,2012,21,ODISHA,1
"JAGATPUR INDUSTRIAL AREA, CUTTACK",ODISHA,2016,21,ODISHA,1
GROUND WATER AT UNA  INDUSTRIAL AREA,HIMACHAL PRADESH,2019,2,HIMACHAL PRADESH,1
"Durgwell no. 2 owned by  Group Gram Panchayat at Brahmanwadi Vill Anjanwell, Tal. Guhagar, Dist.  Ratnagiri.",Maharashtra,2014,27,MAHARASHTRA,1
"WELL AT KALKA JI, DELHI",DELHI,2018,7,DELHI,1
"BOREWELL OF SHRI MAHAVIR  METAL CRAFT PVT. LTD., PLOT  NO. 3059, ROAD NO.6, NR.  MAHAVIR CIRCLE, PHASE-III,  GIDC, DARED, JAMNAGAR",GUJARAT,2019,24,GUJARAT,1
"OLD TOWN- SAMANTARAAIPUR AREA,  BHUBANESWAR",ODISHA,2016,21,ODISHA,1
HAND PUMP AT CHAMUNDA DEVI  TEMPLE/ TOWN,HIMACHAL PRADESH,2012,2,HIMACHAL PRADESH,1
HANDPUMP IN VILLAGE  DAMAUDA AT KASHIPUR NEAR  M/S INDIA GLYCOLES LTD.,UTTARAKHAND,2019,5,UTTARAKHAND,1
PATAN BOREWELL,GUJARAT,2018,24,GUJARAT,1
"WELL OF BIRMA RAM PATEL, SALAWAS, JODHPUR, RAJASTHAN",RAJASTHAN,2017,8,RAJASTHAN,1
"WELL AT MARUTHI SCHOOL, KARUVADIKUPPAM",PUDUCHERRY,2018,34,PUDUCHERRY,1
"PHANDARPUR, GANGAPUR, AURANGABAD",MAHARASHTRA,2017,27,MAHARASHTRA,1
HAND PUMP AT SHIMLA,HIMACHAL PRADESH,2012,2,HIMACHAL PRADESH,1
"RIICO TUBE WELL, RIA, BEHROR,  RAJASTHAN",Rajasthan,2014,8,RAJASTHAN,1
"NEAR ARVIND GENERAL  STORE, ALOO FACTORY,  KACCHI BASTI, SARDARPURA,  UDAIPUR",RAJASTHAN,2016,8,RAJASTHAN,1
"SAVALI, MIRAJ, SANGLI",MAHARASHTRA,2018,27,MAHARASHTRA,1
CENTRAL HOWRAH-RESIDENTAIL  AREA,WEST BENGAL,2019,19,WEST BENGAL,1
"Bore well at MIDC Shiroli  nearM/s Pratibha Enterprises. Village- Shiroli, Taluka-  Hatkanangale,District- Kolhapur.",Maharashtra,2013,27,MAHARASHTRA,1
"RIICO TUBE WELL, RIA,  NEEMRANA, RAJASTHAN",RAJASTHAN,2019,8,RAJASTHAN,1
"WELL AT KARIMBAM, KANNUR",KERALA,2017,32,KERALA,1
OPEN WELL NEAR PARTAP NAGAR BRIDGE - KAKINADA,ANDHRA PRADESH,2017,28,ANDHRA PRADESH,1
"Dug well at 5 -Star  Industrial estate, Village-Kashimira Taluka- Mira- Bhayander District-Thane",Maharashtra,2014,27,MAHARASHTRA,1
WELL AT KUYYURA,TELANGANA,2019,36,TELANGANA,1
"DEVA ROAD, INDUSTRIAL AREA,  CHAINHAT, LKO NEAR UPTRON POLICE CHOWKI, LUCKNOW",Uttar Pradesh,2013,9,UTTAR PRADESH,1
"WELL OF RAM CHANDRA DEWRA,  VILLAGE- SANGARIA, JODHPUR, RAJASTHAN",Rajasthan,2014,8,RAJASTHAN,1
"BORE WELL. - NEAR RAMA TEMPLE , WARD NO.2  , MINDI , VISAKHAPATNAM",ANDHRA PRADESH,2016,28,ANDHRA PRADESH,1
BOREWELL OF GIDC KANSARI,GUJARAT,2019,24,GUJARAT,1
"WELL AT VADAMATTAM, KARAIKAL",PUDUCHERRY,2018,34,PUDUCHERRY,1
"SITE 1, INDUSTRIAL AREA  NEAR M/S WOODWARM  CHEMICAL LTD., UNNAO",UTTAR PRADESH,2016,9,UTTAR PRADESH,1
"DIGBOI, TINSUKIA DISTT., ASSAM",ASSAM,2018,18,ASSAM,1
"BORE WELL AT ARINAMA  AKKIVALASA, SRIKAKULAM",ANDHRA PRADESH,2019,28,ANDHRA PRADESH,1
"DUG WELL NO.2 AT  ARKETWADI.VILLAGE- ARKETWADI, TALUKA- KHED, DISTRICT- RATNAGIRI.",MAHARASHTRA,2012,27,MAHARASHTRA,1
GAYA-,BIHAR,2012,10,BIHAR,1
"GORAKHPUR INDUSTRIAL  DEVELOPMENT AUTHORITY  AREA (GIDA), GORAKHPUR",UTTAR PRADESH,2019,9,UTTAR PRADESH,1
"GROUND WATER AT SELAQUI INDUSTRIAL AREA- 2, DEHRADUN",UTTARAKHAND,2018,5,UTTARAKHAND,1
WELL AT UNA,HIMACHAL PRADESH,2019,2,HIMACHAL PRADESH,1
"Gram Panchayath Dug well ,  Near Jagadamba G M S Mandir Sahakari Sanstha Village-Koradi, Taluka- Kamptee,  District- Nagpur",Maharashtra,2013,27,MAHARASHTRA,1
"TRENCHING GROUND IN THE PREMISES OF M/S LAKHANI FOOT WEAR, INDORE",MADHYA PRADESH,2017,23,MADHYA PRADESH,1
B/W NEAR PITTAM PALLE  VILLAGE (OPEN LAND BESIDE  VILLAGE ROAD) CHITYAL  MANDAL,TELANGANA,2019,36,TELANGANA,1
HAND PUMP AT JWALAJI  TEMPLE,HIMACHAL PRADESH,2019,2,HIMACHAL PRADESH,1
"BOREWELL, CETP-NARODA, GIDC,  NARODA-AHMEDABAD",GUJARAT,2016,24,GUJARAT,1
"WELL AROUND UDAIPUR  (TUBEWELL), TRIPURA",TRIPURA,2019,16,TRIPURA,1
"O/W - BHOOMAIAH NEAR ASHPONDS OF NTPC ,  KUNDANPALLY (V) , RAMAGUNDAM , KARIMNAGAR, A.P",ANDHRA PRADESH,2012,36,TELANGANA,1
"AT RAIPUR  REGION,CHHATISSGARH",Chhattisgarh,2013,22,CHHATTISGARH,1
"TUBE WELL AT KUMARGHAT, INDUSTRIAL ESTATE AREA, NORTH TRIPURA",TRIPURA,2017,16,TRIPURA,1
"VILLAGE BHIMPORE, DAMAN","DAMAN & DIU, DADRA & 
NAGAR HAVELI",2018,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,1
"VILLAGE VINAYAKIA, JODHPUR  (BADRI KUMHAR)",Rajasthan,2013,8,RAJASTHAN,1
URUVAIYAR,PONDICHERRY,2012,34,PUDUCHERRY,1
"NEAR IOC REFINERY HALDIA,  WEST BENGAL",WEST BENGAL,2019,19,WEST BENGAL,1
"SECRETARIAT- GOVERNOR  HOUSE- OLDBUS STAND AREA,  BHUBANESWAR",ODISHA,2019,21,ODISHA,1
"CAPITAL HOSPITAL AREA,  BHUBANESWAR, ORISSA",ORISSA,2013,21,ODISHA,1
"PRATAL NAGAR, DEWAS",MADHYA PRADESH,2018,23,MADHYA PRADESH,1
ENGLISH BAZAR- MALDAH,WEST BENGAL,2012,19,WEST BENGAL,1
"HANDPUMP IN FRONT OF  URBAN IMPROVEMENT TRUST,  CIVIL LINES, AJMER",RAJASTHAN,2019,8,RAJASTHAN,1
SELESIH HAND PUMP,MIZORAM,2018,15,MIZORAM,1
"GROUND WATER NEAR BUS  STAND, DIST BALAGHAT",MADHYA PRADESH,2019,23,MADHYA PRADESH,1
"WELL AT KARIMBAM, KANNUR",KERALA,2016,32,KERALA,1
TUBE WELL AT BELONIA,TRIPURA,2018,16,TRIPURA,1
SDO OFFICE AT BISHNUPUR  TOWN,WEST BENGAL,2013,19,WEST BENGAL,1
"WELL OF SH MOOL CHAND RAIGER, MANPUR MACHERI, JAIPUR, RAJASTHAN",RAJASTHAN,2017,8,RAJASTHAN,1
"BOREWELL AT APLLC OFFICE  INDUSTRIAL ESTATE GROWTH  CENTRE, THUMAKUNTA,  HINDUPUR (M)",ANDHRA PRADESH,2019,28,ANDHRA PRADESH,1
"BORE WELL AT BALE RAILWAY STATION  PREMISES OWNED BY SHRI  DIGAMBAR JOSHI,  DAHEGAON, NORTH  SOLAPUR",MAHARASHTRA,2016,27,MAHARASHTRA,1
"WELL AT INDIA PUBLIC  SCHOOL, MANPUR  MACHERI, JAIPUR",RAJASTHAN,2016,8,RAJASTHAN,1
"CHHOCHHOPA TUIKHUR, SAIHA",MIZORAM,2017,15,MIZORAM,1
DHANAS VILLAGE,CHANDIGARH,2012,4,CHANDIGARH,1
"AT RAIPUR REGION,  CHHATISSGARH",Chhattisgarh,2013,22,CHHATTISGARH,1
"GROUND WATER FROM  KHANAPARA, GUWAHATI",ASSAM,2019,18,ASSAM,1
"NEAR GALVANISATION UNIT, HOWRAH",WEST BENGAL,2017,19,WEST BENGAL,1
"WELL OF BIRMA RAM PATEL,  SALAWAS, JODHPUR, RAJASTHAN",Rajasthan,2013,8,RAJASTHAN,1
"GHARATWADI,ALIYALI,PALGHAR, THANE",MAHARASHTRA,2018,27,MAHARASHTRA,1
GROUND WATER AT  SHANTIPURI KICHHA- 2,UTTARAKHAND,2016,5,UTTARAKHAND,1
HAND PUMP AT NAHAN,HIMACHAL PRADESH,2013,2,HIMACHAL PRADESH,1
"TOPSIA CALCUTTA, WEST BENGAL",WEST BENGAL,2017,19,WEST BENGAL,1
HAND PUMP AT SOLAN,HIMACHAL PRADESH,2014,2,HIMACHAL PRADESH,1
KATIHAR-HAND PUMP WATER AT BUS STAND,BIHAR,2017,10,BIHAR,1
"AT INDUSTRIAL AREA. NAINI, ALLAHABAD",UTTAR PRADESH,2017,9,UTTAR PRADESH,1
UNA INDUSTRIAL AREA,HIMACHAL PRADESH,2012,2,HIMACHAL PRADESH,1
"TOANSA, PUNJAB",PUNJAB,2014,3,PUNJAB,1
"SHRI GIRDHARI SINGH RAJPUROHIT NEAR VILLAGE PUNAYATA, JODHPUR- SUMERPUR BYE PASS ROAD, PALI, RAJASTHAN",RAJASTHAN,2018,8,RAJASTHAN,1
"*KARBI ANGLONG DISTT., ASSAM",Assam,2013,18,ASSAM,1
"AT INDUSTRIAL AREA. NAINI,  ALLAHABAD",Uttar Pradesh,2013,9,UTTAR PRADESH,1
VISVA BHARATI,WEST BENGAL,2018,19,WEST BENGAL,1
"NEW FATEHPURA, 200 FT.FROM  PANCHWATI NALLAH, UDAIPUR",RAJASTHAN,2012,8,RAJASTHAN,1
SHAHPUR HAND PUMP WATER AT SHAHPUR HIGH SCHOOL,BIHAR,2018,10,BIHAR,1
"WELL AT DHANDERAR KULAM, SEDARAPET",PUDUCHERRY,2017,34,PUDUCHERRY,1
"HOUSE OF THIRU MURUGAN,  S/O. ESAKKI, NO.16B,  MEENAKSHIPURAM, ANNA  NAGAR, TIRUNELVELI",TAMIL NADU,2019,33,TAMIL NADU,1
"BOREWELL NEAR TSDF OF  GUJARAT MARITIME BOARD,  ALANG, BHAVNAGAR",GUJARAT,2019,24,GUJARAT,1
GROUND WATER AT  SADAKADAL,JAMMU & KASHMIR,2016,1,JAMMU AND KASHMIR,1
"AT RAIPUR REGION, CHHATISGARH.",CHHATTISGARH,2018,22,CHHATTISGARH,1
"PUNJAB AGRICULTUREAL UNIVERSITY,  LUDHIANA",PUNJAB,2016,3,PUNJAB,1
"AT ROADWAYS BUS STATION,  UNNAO",UTTAR PRADESH,2012,9,UTTAR PRADESH,1
MUZAFFARPUR,Bihar,2013,10,BIHAR,1
"PAYYANNUR, KANNUR DISTT. , KERALA",KERALA,2017,32,KERALA,1
"PABUPURA ROAD NEAR CIVIL AIR  PORT, JODHPUR (MANGILAL RATHOR)",Rajasthan,2014,8,RAJASTHAN,1
"WELL AT PARIVESH BHAWAN,  DELHI",DELHI,2019,7,DELHI,1
"WELL AT HAIDERPUR, DELHI",DELHI,2018,7,DELHI,1
BORE WELL OF SACHIN GIDC.,GUJARAT,2019,24,GUJARAT,1
GROUND WATER NEAR BPMS H.S. SCHOOL SONARI TOWN DIST CHARAIDEO,ASSAM,2017,18,ASSAM,1
"RIICO TUBE WELL, RIA, NEEMRANA, RAJASTHAN",RAJASTHAN,2017,8,RAJASTHAN,1
"NEAR SAMSHAN VISHWAKARMA NAGAR, MAHARANIFARM, JAIPUR",RAJASTHAN,2018,8,RAJASTHAN,1
"WELL AT KALAMASSERY  ERNAKULAM DISTT. , KERALA",KERALA,2019,32,KERALA,1
WELL NEAR HALIPAD,LAKSHADWEEP,2016,31,LAKSHADWEEP,1
"MOTAPADA,DAHANU, THANE",MAHARASHTRA,2018,27,MAHARASHTRA,1
"MAWLAI, SHILLONG, MEGHALAYA",MEGHALAYA,2012,17,MEGHALAYA,1
"B/W. - PRIMARY SCHOOL -  RUDRAVELLI (V) , BIBINAGAR (M), NALGONDA DIST., A.P",ANDHRA PRADESH,2012,36,TELANGANA,1
GROUND WATER POINT INSIDE  BURDWAN UNIVERSITY,WEST BENGAL,2013,19,WEST BENGAL,1
"WELL AT VILLAGE GATTAL, NEAR,  BHIWADI TO BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",Rajasthan,2014,8,RAJASTHAN,1
"KHANDAGIRI AREA,  BHUBANESWAR, ORISSA",ORISSA,2012,21,ODISHA,1
"BORE WELL OFFICE OF RAJ. HOUSING BOARD, BHIWADI, RAJASTHAN",RAJASTHAN,2018,8,RAJASTHAN,1
WELL AT KUYYURA,TELANGANA,2017,36,TELANGANA,1
"B/W NEAR PEDDAKONDUR VILLAGE (AGRICULTURAL FIELD), CHOUTUPPAL MANDAL",TELANGANA,2018,36,TELANGANA,1
VADODARA (INDUSTRIAL-NANDESARI),GUJARAT,2017,24,GUJARAT,1
"SH. POL SINGH PUROHIT,  VILLAGE PUNAYATA, PALI, RAJASTHAN",Rajasthan,2014,8,RAJASTHAN,1
"BOREWELL NEAR M/S ANDHRA SUGARS LTD. ,  KOVVUR",ANDHRA PRADESH,2018,28,ANDHRA PRADESH,1
GROUND WATER POINT AT PURULIA RK MISSION,WEST BENGAL,2018,19,WEST BENGAL,1
"Bore well at MSW Site, Village-Pathardi ,  Taluka- Nashik, District- Nashik",Maharashtra,2013,27,MAHARASHTRA,1
TUBE WELL AT JOLAIBARI,TRIPURA,2019,16,TRIPURA,1
"LANKAMURA, TRIPURA",TRIPURA,2017,16,TRIPURA,1
"M/S AGNI REFRACTORIES PVT. LTD, G.T. ROAD VILLAGE AJNALI MANDI GOBINDGARH.",PUNJAB,2018,3,PUNJAB,1
VISNAGAR BOREWELL,GUJARAT,2017,24,GUJARAT,1
"BORE WELL WATER MMC PUMP  HOUSE BRAHMPURA NAKA,  MUZAFFARPUR",BIHAR,2019,10,BIHAR,1
WELL-1 ROHTAS BOREWELL WATER FROM WATER TANK NEAR DHARAMSHALA SASARAM,BIHAR,2017,10,BIHAR,1
"BADAMANI INDUSTRIAL ESTATE,  JHARSUGUDA",ODISHA,2019,21,ODISHA,1
"MINE PIT WATER ASSANSOL,  WEST BENGAL",WEST BENGAL,2019,19,WEST BENGAL,1
SHERGHATI (SPECIFY LOCATION),Bihar,2013,10,BIHAR,1
HAND PUMP AT CHAMUNDA  DEVI TEMPLE/ TOWN,HIMACHAL PRADESH,2016,2,HIMACHAL PRADESH,1
"BORE WELL OFFICE OF RAJ. HOUSING BOARD, BHIWADI, RAJASTHAN",RAJASTHAN,2017,8,RAJASTHAN,1
"GROUND AROUND STP DINAPUR, VARANASI, U.P",UTTAR PRADESH,2018,9,UTTAR PRADESH,1
"AT INDUSTRIAL AREA,  FATEHPUR",Uttar Pradesh,2013,9,UTTAR PRADESH,1
"WELL AT MUTHIALPET AREA(I),  PONDICHERRY",PONDICHERRY,2014,34,PUDUCHERRY,1
HAND PUMP AT SHAMSHI,HIMACHAL PRADESH,2016,2,HIMACHAL PRADESH,1
"TUBE WELL AT NAGICHERRA, WEST TRIPURA",TRIPURA,2018,16,TRIPURA,1
"BORE WELL AT SHETE VASTI NEAR OLD TULJAPUR ROAD, TULJAPUR NAKA, SOLAPUR",MAHARASHTRA,2018,27,MAHARASHTRA,1
"Dug well near Jilla Parishet Primary school,  Visapur. Village- Visapur, Taluka- Ballarpur,District- Chandrapur.",Maharashtra,2014,27,MAHARASHTRA,1
"SHIBNAGAR, AGARTALA, TRIPURA",TRIPURA,2017,16,TRIPURA,1
"GROUND WATER FROM  MALIGAON, GUWAHATI",ASSAM,2019,18,ASSAM,1
BOLPUR NEAR RAILWAY STATION,WEST BENGAL,2018,19,WEST BENGAL,1
"TUBE WELL AT SECTOR-III, PITHAMPUR INDUSTRIAL AREA",MADHYA PRADESH,2018,23,MADHYA PRADESH,1
"WELL AT CHEVALIER SELLANE GOVERNMENT HIGH SECONDARY SCHOOL, KALAPET",PUDUCHERRY,2018,34,PUDUCHERRY,1
BOREWELL NERA TSDF OF NANDESARI  ENVIRO CONTROL LIM,GUJARAT,2016,24,GUJARAT,1
WELL AT NEHRU STATUE MISSION ST. - CHETTY KOIL,PUDUCHERRY,2018,34,PUDUCHERRY,1
VADAVATHOOR (KOTTAYAM),KERALA,2018,32,KERALA,1
"HAND PUMP WATER AT THAWAY MANDIR CAMPUS, GOPALGANJ",BIHAR,2018,10,BIHAR,1
"TUBE WELL AT  KAILASHAHAR, NORTH  TRIPURA",TRIPURA,2016,16,TRIPURA,1
"TUBE WELL IN INDUSTRIAL  AREA AT GAJRAULA, MORADABAD, U.P",Uttar Pradesh,2013,9,UTTAR PRADESH,1
"AT BILASPUR REGION, CHHATISGARH.",CHHATTISGARH,2017,22,CHHATTISGARH,1
HANDPUMP IN VILLAGE DAMAUDA AT KASHIPUR NEAR M/S INDIA GLYCOLES LTD.,UTTARAKHAND,2017,5,UTTARAKHAND,1
"DUG WELL AT GHANE KUNT, NEAR AWASTHI, OWNED BY SHRI RAJENDRA AMRE , KHED, RATNAGIRI",MAHARASHTRA,2018,27,MAHARASHTRA,1
"RISHRA, WEST BENGAL",WEST BENGAL,2012,19,WEST BENGAL,1
"BORE WELL AT ALLADAPALEM  VILLAGE, PYDIBHIMAVARAM",ANDHRA PRADESH,2019,28,ANDHRA PRADESH,1
"MIDC, SHINOLI, CHENDGAD",MAHARASHTRA,2016,27,MAHARASHTRA,1
"AT BADDI, H.P",HIMACHAL PRADESH,2016,2,HIMACHAL PRADESH,1
"WELL AT T.R.PATTINAM,  KARAIKAL",PUDUCHERRY,2019,34,PUDUCHERRY,1
"BHADOHI INDUSTRIAL AREA, DEVELOPMENT AUTHORITY, SANT RAVIDAS NAGAR",UTTAR PRADESH,2018,9,UTTAR PRADESH,1
"B/W. - NANDYAL, KURNOOL  DIST., A.P.",ANDHRA PRADESH,2014,28,ANDHRA PRADESH,1
"WELL AT BARODA, GUJARAT",Gujarat,2013,24,GUJARAT,1
GROUND WATER FROM DHUBRI  DISTRICT (COLLEGE NAGAR ),Assam,2013,18,ASSAM,1
MINE PIT WATER ASSANSOL,WEST BENGAL,2016,19,WEST BENGAL,1
TUBE WELL WATER SAMPLE OF  SIDHI CITY,MADHYA PRADESH,2019,23,MADHYA PRADESH,1
"KHANDAGIRI AREA,  BHUBANESWAR, ODISHA",Odisha,2014,21,ODISHA,1
GROUND WATER FROM JAGIROAD  NEAR HPC EFFLUENT DISCHARGE POINT,Assam,2013,18,ASSAM,1
HAND PUMP AT SANSARPUR  TERRACE IA,HIMACHAL PRADESH,2013,2,HIMACHAL PRADESH,1
GROUND WATER AT KASHIPUR  MORADABAD ROAD- 2,UTTARAKHAND,2019,5,UTTARAKHAND,1
K.M.M.L. (KOLLAM),Kerala,2013,32,KERALA,1
"WELL AT KATHODA, JABALPUR",MADHYA PRADESH,2019,23,MADHYA PRADESH,1
"WELL AT SOMNATH INDUSTRIAL ESTATE, DAMAN","DAMAN & DIU, DADRA & 
NAGAR HAVELI",2018,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,1
"GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI, ASSAM",ASSAM,2018,18,ASSAM,1
GROUND WATER AT  KASHIPUR MORADABAD  ROAD- 1,UTTARAKHAND,2016,5,UTTARAKHAND,1
"WELL AT RAJPURA ROAD, DELHI",DELHI,2019,7,DELHI,1
GROUND WATER FROM NALBARI,ASSAM,2016,7,DELHI,1
"B/W - IDA , NEAR CHAITANYA  CHLORIDES , PASHAMAYLAM , MEDAK DIST.",ANDHRA PRADESH,2013,36,TELANGANA,1
BOLPUR NEAR RAILWAY STATION,WEST BENGAL,2013,19,WEST BENGAL,1
WELL AT URUVAIYAR,PUDUCHERRY,2018,34,PUDUCHERRY,1
MANDI-D/S OF MSW DUMPING SITE,HIMACHAL PRADESH,2018,2,HIMACHAL PRADESH,1
GROUND WATER AT KASHIPUR BAJPUR ROAD- 1,UTTARAKHAND,2018,5,UTTARAKHAND,1
"WELL OF SHRI DEVARAM, HEER  KHERA, JODHPUR",RAJASTHAN,2019,8,RAJASTHAN,1
GROUND WATER FROM DEMOW  WATER SUPPLY DEMOW TOWN,ASSAM,2019,18,ASSAM,1
"HAPUR ROAD INDUSTRIAL  AREA GHAZIABAD, U.P",UTTAR PRADESH,2012,9,UTTAR PRADESH,1
"BEHALA CALCUTTA, WEST BENGAL",WEST BENGAL,2012,19,WEST BENGAL,1
B/W NEAR PITTAM PEDDAKAPARTHI VIKKAGE (OPEN LAND BESIDE VILLAGE ROAD) CHITYAL MANDAL,TELANGANA,2018,36,TELANGANA,1
"GROUND WATER FROM SEMENCHAPARI, ASSAM",ASSAM,2017,18,ASSAM,1
"NEAR SHREE KALYANESHWAR  MPCBADEV TEMPLE, JAI SINGH PURA KHURD, JAIPUR.",Rajasthan,2014,8,RAJASTHAN,1
DUMRAON (SPECIFY LOCATION),Bihar,2014,10,BIHAR,1
HAND PUMP AT NAHAN,HIMACHAL PRADESH,2019,2,HIMACHAL PRADESH,1
KATIHAR,Bihar,2013,10,BIHAR,1
GROUND WATER POINT NEAR BURDWAN STATION,WEST BENGAL,2018,19,WEST BENGAL,1
"ANJANGAON,AKOT, AKOLA",MAHARASHTRA,2018,27,MAHARASHTRA,1
"DOMJUR HOWRAH, WEST BENGAL",WEST BENGAL,2018,19,WEST BENGAL,1
"KUNJBAN, AGARTALA, TRIPURA",TRIPURA,2012,16,TRIPURA,1
BOREWELL IDA KATTEDAN,TELANGANA,2018,36,TELANGANA,1
"GARIA CALCUTTA, WEST BENGAL",WEST BENGAL,2012,19,WEST BENGAL,1
CHELLORA TRENCHING GROUND (KANNUR),KERALA,2016,32,KERALA,1
"HAND PUMP AT TANAM VILL.,  VISHAKHAPATNAM",ANDHRA PRADESH,2019,28,ANDHRA PRADESH,1
GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),ASSAM,2016,18,ASSAM,1
"HAND PUMP, NEW SAIHA BAZAR",MIZORAM,2019,15,MIZORAM,1
BARRAKPORE MUNICIPALITY,WEST BENGAL,2016,19,WEST BENGAL,1
"HAND PUMP AT VILLAGE  ATOON, BHILWARA",RAJASTHAN,2019,8,RAJASTHAN,1
"KUNJBAN, AGARTALA, TRIPURA",TRIPURA,2013,16,TRIPURA,1
"GROUND WATER FROM TITABAT URBAN WATER SUPPLY, TITABAR",ASSAM,2017,7,DELHI,1
"AMTOLA ON DIAMOND HARBOUR ROAD, 24 PARGANAS (S)",WEST BENGAL,2017,19,WEST BENGAL,1
"GANDHIGRAM, AGARTALA, TRIPURA",TRIPURA,2018,16,TRIPURA,1
WELL AT PEDDAVOORA,TELANGANA,2016,36,TELANGANA,1
GROUND WATER FROM NAGAON  (PANIGAON),Assam,2013,18,ASSAM,1
"WELL NEAR HALIPAD,  LAKSHDWEEP",Lakshadweep,2013,31,LAKSHADWEEP,1
"WELL AT GANDHI NAGAR, DELHI",DELHI,2019,7,DELHI,1
WELL C/O CIRCUIT  HOUSELAKSHDWEEP,Lakshadweep,2013,31,LAKSHADWEEP,1
