Station name,srcStateName,Year,StateCode,StateName,IntermediateRatio
"HAND PUMP WATER NEAR SADAR HOSPITAL, KHAGARIA",BIHAR,2018,10,BIHAR,1
"WELL AT THENGAITHITTU AREA,  (II)",PUDUCHERRY,2019,34,PUDUCHERRY,1
"WELL AT DILSHAD GARDEN,  DELHI",DELHI,2019,7,DELHI,1
"B/W. - VIJAY KUMAR AUTONAGAR  VIJAYAWADA, KRISHNA DIST.",ANDHRA PRADESH,2012,28,ANDHRA PRADESH,1
"INDUSTRIAL AREA, SULTANPUR  ROAD",Maharashtra,2013,27,MAHARASHTRA,1
KHARAGPUR INDUSTRIAL AREA,WEST BENGAL,2018,19,WEST BENGAL,1
"Hand Pump, At Industrial  Area Naini, Allahabad",Uttar Pradesh,2014,9,UTTAR PRADESH,1
"NEAR RANA PRATAP NAGAR,  RAILWAY STATION, UDAIPUR",RAJASTHAN,2016,8,RAJASTHAN,1
"GROUND WATER NEAR SUB STATION SECTOR-B, DUDHICHUA NCL PROJECT, SINGROULI",MADHYA PRADESH,2017,23,MADHYA PRADESH,1
"WELL AT BAWANA, DELHI",DELHI,2018,7,DELHI,1
"WELL AT VELLIPARAMBA, KOZHEKODE",KERALA,2017,32,KERALA,1
"LANKAMURA, TRIPURA",TRIPURA,2012,16,TRIPURA,1
"BORE WELL OF M/S MODERN  PUBLIC SCHOOL, BHIWADI",RAJASTHAN,2012,8,RAJASTHAN,1
HAND PUMP AT SANSARPUR  TERRACE IA,HIMACHAL PRADESH,2014,2,HIMACHAL PRADESH,1
WELL AT CORLIM INDL. ESTATE,Goa,2014,30,GOA,1
"BORE WELL OFFICE OF RAJ.  HOUSING BOARD, BHIWADI, RAJASTHAN",Rajasthan,2014,8,RAJASTHAN,1
"BORE WELL SH. PREM CHAND, VILLAGE PHALSHA MODE RIA CHOPNADI, RAJASTHAN",RAJASTHAN,2018,8,RAJASTHAN,1
"VILLAGE DUNETHA, DAMAN",DAMAN & DIU,2017,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,1
"MADHUPATNA- KALYAN NAGAR AREA, CUTTACK",ODISHA,2018,21,ODISHA,1
MOHANIA (SPECIFY LOCATION),Bihar,2013,10,BIHAR,1
HAND PUMP NEAR  SECONDARY SCHOOL ABOUT  300MT. FROM KANSUA  NALLAH KOTA,RAJASTHAN,2016,8,RAJASTHAN,1
"TAP WATER NEAR VEER KUWAR SINGH CHOWK, MUNGER",BIHAR,2018,10,BIHAR,1
"WELL OF BHAG JI LAXMAN RAM  MALI, SAKARNA BERA, BALOTRA, JODHPUR, RAJASTHAN",Rajasthan,2013,8,RAJASTHAN,1
"GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ), ASSAM",ASSAM,2018,18,ASSAM,1
"TUBE WELL AT R/O SRI ANIL BAORA AT BOSAGAON NEAR BY THE ATHKHALIA, NAMGHAR, PO: PULIKAITONI",ASSAM,2018,18,ASSAM,1
"Bore well Opp. Gajanan  Maharaj Temple at Anjangaon road.  Village-Anjangaon, Taluka- Akot, District- Akola",Maharashtra,2013,27,MAHARASHTRA,1
"GROUND WATER FROM SECTOR  34, CHANDIGARH",CHANDIGARH,2019,4,CHANDIGARH,1
"GROUND WATER VILL BHEEMJORI, MALAJKH, DIST BALAGHAT",MADHYA PRADESH,2017,23,MADHYA PRADESH,1
"VILLAGE ATHAL, DADRA","DADRA & NAGAR 
HAVELI",2017,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,1
"GROUND WATER FROM  KOKRAJHAR DISTRICT (HS  SCHOOL ), ASSAM",ASSAM,2019,18,ASSAM,1
HAND PUMP AT MANDI TOWN,HIMACHAL PRADESH,2012,2,HIMACHAL PRADESH,1
BORE WELL AT PILERNE INDUSTRIAL ESTATE,GOA,2018,30,GOA,1
"Bore well at Khanjirenagar.  Village-Khanjirenagar, Taluka- Hatkanangale, District- Kolhapur",Maharashtra,2013,27,MAHARASHTRA,1
WELL AT VIJAYWADA,ANDHRA PRADESH,2017,28,ANDHRA PRADESH,1
"T.R.PATTINAM,  KARAIKAL",PUDUCHERRY,2016,34,PUDUCHERRY,1
"BORE WELL OF PIRANA TERMINAL PUMPING STATION, PIRANA, NR. V. N. BRIDGE, AHMEDABAD.",GUJARAT,2017,24,GUJARAT,1
"BORE WELL OFFICE OF RAJ.  HOUSING BOARD, BHIWADI",RAJASTHAN,2016,8,RAJASTHAN,1
WELL AT KUYYURA,TELANGANA,2018,36,TELANGANA,1
"NEAR ABN CENTRAL ACADEMY,  SUSILPURA, SODALA, JAIPUR.",Rajasthan,2013,8,RAJASTHAN,1
WELL C/O HIGH SCHOOL,LAKSHADWEEP,2019,31,LAKSHADWEEP,1
"TUBE WELL AT 82 MILE, DHALAI",TRIPURA,2019,16,TRIPURA,1
BODHGAYA (SPECIFY LOCATION),Bihar,2013,10,BIHAR,1
"BOREWELL KRISHNA MURTHY,  D.NO. 48-16-43 AUTONAGAR  VIJJAYAWADA",ANDHRA PRADESH,2019,28,ANDHRA PRADESH,1
"WELL OF TEMPLE PARASSINIKADAVU, KANNUR",KERALA,2017,32,KERALA,1
"NEAR RAILWAY STATION, SAMBALPUR",ODISHA,2017,21,ODISHA,1
WELL AT OLPAD.,GUJARAT,2017,24,GUJARAT,1
"T.R.PATTINAM, KARAIKAL",PONDICHERRY,2014,34,PUDUCHERRY,1
COSSIPORE - NORTH KOLKATA,WEST BENGAL,2016,19,WEST BENGAL,1
"TUBE WELL WATER AT COLLECTRIATE CAMPUS, BUXAR",BIHAR,2016,10,BIHAR,1
"NEAR KHANPURA TALAB, AJMER",RAJASTHAN,2012,8,RAJASTHAN,1
